group,invariant,invariantType,variables,pptname,tp
allow_merge_commit,input.allow_merge_commit == return.allow_merge_commit,daikon.inv.binary.twoScalar.IntEqual,"(input.allow_merge_commit, return.allow_merge_commit)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
allow_rebase_merge,input.allow_rebase_merge == return.allow_rebase_merge,daikon.inv.binary.twoScalar.IntEqual,"(input.allow_rebase_merge, return.allow_rebase_merge)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
allow_squash_merge,input.allow_squash_merge == return.allow_squash_merge,daikon.inv.binary.twoScalar.IntEqual,"(input.allow_squash_merge, return.allow_squash_merge)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
archive_url,return.archive_url is Url,daikon.inv.unary.string.IsUrl,(return.archive_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
assignees_url,return.assignees_url is Url,daikon.inv.unary.string.IsUrl,(return.assignees_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
blobs_url,return.blobs_url is Url,daikon.inv.unary.string.IsUrl,(return.blobs_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
branches_url,return.branches_url is Url,daikon.inv.unary.string.IsUrl,(return.branches_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
clone_url,return.clone_url is Url,daikon.inv.unary.string.IsUrl,(return.clone_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
collaborators_url,return.collaborators_url is Url,daikon.inv.unary.string.IsUrl,(return.collaborators_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
comments_url,return.comments_url is Url,daikon.inv.unary.string.IsUrl,(return.comments_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
commits_url,return.commits_url is Url,daikon.inv.unary.string.IsUrl,(return.commits_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
compare_url,return.compare_url is Url,daikon.inv.unary.string.IsUrl,(return.compare_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
contents_url,return.contents_url is Url,daikon.inv.unary.string.IsUrl,(return.contents_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
contributors_url,return.contributors_url is Url,daikon.inv.unary.string.IsUrl,(return.contributors_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
created_at,"LENGTH(return.created_at)==20
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
default_branch,"return.default_branch == ""main""
LENGTH(return.default_branch)==4","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.default_branch)
(return.default_branch)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
delete_branch_on_merge,input.delete_branch_on_merge == return.delete_branch_on_merge,daikon.inv.binary.twoScalar.IntEqual,"(input.delete_branch_on_merge, return.delete_branch_on_merge)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
deployments_url,return.deployments_url is Url,daikon.inv.unary.string.IsUrl,(return.deployments_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
description,input.description == return.description,daikon.inv.binary.twoString.StringEqual,"(input.description, return.description)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
downloads_url,return.downloads_url is Url,daikon.inv.unary.string.IsUrl,(return.downloads_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
events_url,return.events_url is Url,daikon.inv.unary.string.IsUrl,(return.events_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
fork,"return.fork == return.has_pages
return.fork == return.archived
return.fork == return.disabled
return.fork == return.allow_update_branch
return.fork == return.web_commit_signoff_required
return.fork == false","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.OneOfScalar","(return.fork, return.has_pages)
(return.fork, return.archived)
(return.fork, return.disabled)
(return.fork, return.allow_update_branch)
(return.fork, return.web_commit_signoff_required)
(return.fork)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
forks,"return.forks == return.forks_count
return.forks == return.stargazers_count
return.forks == return.watchers_count
return.forks == return.size
return.forks == return.open_issues_count
return.forks == return.subscribers_count
return.forks == return.network_count
return.forks == return.open_issues
return.forks == return.watchers
return.forks == size(return.topics[])","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual","(return.forks, return.forks_count)
(return.forks, return.stargazers_count)
(return.forks, return.watchers_count)
(return.forks, return.size)
(return.forks, return.open_issues_count)
(return.forks, return.subscribers_count)
(return.forks, return.network_count)
(return.forks, return.open_issues)
(return.forks, return.watchers)
(return.forks, size(return.topics[..]))","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
forks_url,return.forks_url is Url,daikon.inv.unary.string.IsUrl,(return.forks_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
full_name,"input.org is a substring of return.full_name
return.full_name is a substring of return.html_url
return.full_name is a substring of return.url
return.full_name is a substring of return.git_url
return.full_name is a substring of return.ssh_url","daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(input.org, return.full_name)
(return.full_name, return.html_url)
(return.full_name, return.url)
(return.full_name, return.git_url)
(return.full_name, return.ssh_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
git_commits_url,return.git_commits_url is Url,daikon.inv.unary.string.IsUrl,(return.git_commits_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
git_refs_url,return.git_refs_url is Url,daikon.inv.unary.string.IsUrl,(return.git_refs_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
git_tags_url,return.git_tags_url is Url,daikon.inv.unary.string.IsUrl,(return.git_tags_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
has_downloads,return.has_downloads == true,daikon.inv.unary.scalar.OneOfScalar,(return.has_downloads),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
has_issues,input.has_issues == return.has_issues,daikon.inv.binary.twoScalar.IntEqual,"(input.has_issues, return.has_issues)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
has_projects,input.has_projects == return.has_projects,daikon.inv.binary.twoScalar.IntEqual,"(input.has_projects, return.has_projects)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
has_wiki,input.has_wiki == return.has_wiki,daikon.inv.binary.twoScalar.IntEqual,"(input.has_wiki, return.has_wiki)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
homepage,input.homepage == return.homepage,daikon.inv.binary.twoString.StringEqual,"(input.homepage, return.homepage)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
hooks_url,return.hooks_url is Url,daikon.inv.unary.string.IsUrl,(return.hooks_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
html_url,"return.html_url == return.svn_url
return.html_url is Url
return.html_url is a substring of return.clone_url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString","(return.html_url, return.svn_url)
(return.html_url)
(return.html_url, return.clone_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
is_template,input.is_template == return.is_template,daikon.inv.binary.twoScalar.IntEqual,"(input.is_template, return.is_template)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
issue_comment_url,return.issue_comment_url is Url,daikon.inv.unary.string.IsUrl,(return.issue_comment_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
issue_events_url,return.issue_events_url is Url,daikon.inv.unary.string.IsUrl,(return.issue_events_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
issues_url,return.issues_url is Url,daikon.inv.unary.string.IsUrl,(return.issues_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
keys_url,return.keys_url is Url,daikon.inv.unary.string.IsUrl,(return.keys_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
labels_url,return.labels_url is Url,daikon.inv.unary.string.IsUrl,(return.labels_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
languages_url,return.languages_url is Url,daikon.inv.unary.string.IsUrl,(return.languages_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
license.key,"input.license_template == return.license.key
return.license.key is a substring of return.license.url","daikon.inv.binary.twoString.StringEqual
daikon.inv.binary.twoString.StdString$SubString","(input.license_template, return.license.key)
(return.license.key, return.license.url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
license.node_id,LENGTH(return.license.node_id)==16,daikon.inv.unary.string.FixedLengthString,(return.license.node_id),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
license.url,"return.license.url is Url
input.license_template is a substring of return.license.url","daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString","(return.license.url)
(input.license_template, return.license.url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
merge_commit_message,"input.merge_commit_message == return.merge_commit_message
return.merge_commit_message one of { ""BLANK"", ""PR_BODY"", ""PR_TITLE"" }","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString","(input.merge_commit_message, return.merge_commit_message)
(return.merge_commit_message)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
merge_commit_title,"input.merge_commit_title == return.merge_commit_title
return.merge_commit_title one of { ""MERGE_MESSAGE"", ""PR_TITLE"" }","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString","(input.merge_commit_title, return.merge_commit_title)
(return.merge_commit_title)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
merges_url,return.merges_url is Url,daikon.inv.unary.string.IsUrl,(return.merges_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
milestones_url,return.milestones_url is Url,daikon.inv.unary.string.IsUrl,(return.milestones_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
name,return.name is a substring of return.full_name,daikon.inv.binary.twoString.StdString$SubString,"(return.name, return.full_name)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
node_id,LENGTH(return.node_id)==12,daikon.inv.unary.string.FixedLengthString,(return.node_id),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
notifications_url,return.notifications_url is Url,daikon.inv.unary.string.IsUrl,(return.notifications_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
organization.login,input.org == return.organization.login,daikon.inv.binary.twoString.StringEqual,"(input.org, return.organization.login)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
organization.site_admin,return.organization.site_admin == return.fork,daikon.inv.binary.twoScalar.IntEqual,"(return.organization.site_admin, return.fork)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
owner.avatar_url,"return.owner.avatar_url == return.organization.avatar_url
LENGTH(return.owner.avatar_url)==53
return.owner.avatar_url is Url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.owner.avatar_url, return.organization.avatar_url)
(return.owner.avatar_url)
(return.owner.avatar_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.events_url,"return.owner.events_url == return.organization.events_url
return.owner.events_url is Url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl","(return.owner.events_url, return.organization.events_url)
(return.owner.events_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.followers_url,"return.owner.followers_url == return.organization.followers_url
return.owner.followers_url is Url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl","(return.owner.followers_url, return.organization.followers_url)
(return.owner.followers_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.following_url,"return.owner.following_url == return.organization.following_url
return.owner.following_url is Url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl","(return.owner.following_url, return.organization.following_url)
(return.owner.following_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.gists_url,"return.owner.gists_url == return.organization.gists_url
return.owner.gists_url is Url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl","(return.owner.gists_url, return.organization.gists_url)
(return.owner.gists_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.gravatar_id,"return.owner.gravatar_id == return.organization.gravatar_id
return.owner.gravatar_id == """"
LENGTH(return.owner.gravatar_id)==0","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.owner.gravatar_id, return.organization.gravatar_id)
(return.owner.gravatar_id)
(return.owner.gravatar_id)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.html_url,"return.owner.html_url == return.organization.html_url
return.owner.html_url is Url
input.org is a substring of return.owner.html_url
return.owner.html_url is a substring of return.html_url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.owner.html_url, return.organization.html_url)
(return.owner.html_url)
(input.org, return.owner.html_url)
(return.owner.html_url, return.html_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.id,return.owner.id == return.organization.id,daikon.inv.binary.twoScalar.IntEqual,"(return.owner.id, return.organization.id)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
owner.login,input.org == return.owner.login,daikon.inv.binary.twoString.StringEqual,"(input.org, return.owner.login)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
owner.node_id,"return.owner.node_id == return.organization.node_id
LENGTH(return.owner.node_id)==12","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.FixedLengthString","(return.owner.node_id, return.organization.node_id)
(return.owner.node_id)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.organizations_url,"return.owner.organizations_url == return.organization.organizations_url
return.owner.organizations_url is Url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl","(return.owner.organizations_url, return.organization.organizations_url)
(return.owner.organizations_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.received_events_url,"return.owner.received_events_url == return.organization.received_events_url
return.owner.received_events_url is Url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl","(return.owner.received_events_url, return.organization.received_events_url)
(return.owner.received_events_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.repos_url,"return.owner.repos_url == return.organization.repos_url
return.owner.repos_url is Url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl","(return.owner.repos_url, return.organization.repos_url)
(return.owner.repos_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.site_admin,return.owner.site_admin == return.fork,daikon.inv.binary.twoScalar.IntEqual,"(return.owner.site_admin, return.fork)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
owner.starred_url,"return.owner.starred_url == return.organization.starred_url
return.owner.starred_url is Url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl","(return.owner.starred_url, return.organization.starred_url)
(return.owner.starred_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.subscriptions_url,"return.owner.subscriptions_url == return.organization.subscriptions_url
return.owner.subscriptions_url is Url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl","(return.owner.subscriptions_url, return.organization.subscriptions_url)
(return.owner.subscriptions_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.type,"return.owner.type == return.organization.type
return.owner.type == ""Organization""
LENGTH(return.owner.type)==12","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.owner.type, return.organization.type)
(return.owner.type)
(return.owner.type)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
owner.url,"return.owner.url == return.organization.url
return.owner.url is Url
input.org is a substring of return.owner.url
return.owner.url is a substring of return.owner.followers_url
return.owner.url is a substring of return.owner.following_url
return.owner.url is a substring of return.owner.gists_url
return.owner.url is a substring of return.owner.starred_url
return.owner.url is a substring of return.owner.subscriptions_url
return.owner.url is a substring of return.owner.organizations_url
return.owner.url is a substring of return.owner.repos_url
return.owner.url is a substring of return.owner.events_url
return.owner.url is a substring of return.owner.received_events_url","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.owner.url, return.organization.url)
(return.owner.url)
(input.org, return.owner.url)
(return.owner.url, return.owner.followers_url)
(return.owner.url, return.owner.following_url)
(return.owner.url, return.owner.gists_url)
(return.owner.url, return.owner.starred_url)
(return.owner.url, return.owner.subscriptions_url)
(return.owner.url, return.owner.organizations_url)
(return.owner.url, return.owner.repos_url)
(return.owner.url, return.owner.events_url)
(return.owner.url, return.owner.received_events_url)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
permissions.admin,return.permissions.admin == return.has_downloads,daikon.inv.binary.twoScalar.IntEqual,"(return.permissions.admin, return.has_downloads)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
permissions.maintain,return.permissions.maintain == return.has_downloads,daikon.inv.binary.twoScalar.IntEqual,"(return.permissions.maintain, return.has_downloads)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
permissions.pull,return.permissions.pull == return.has_downloads,daikon.inv.binary.twoScalar.IntEqual,"(return.permissions.pull, return.has_downloads)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
permissions.push,return.permissions.push == return.has_downloads,daikon.inv.binary.twoScalar.IntEqual,"(return.permissions.push, return.has_downloads)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
permissions.triage,return.permissions.triage == return.has_downloads,daikon.inv.binary.twoScalar.IntEqual,"(return.permissions.triage, return.has_downloads)",/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
pulls_url,return.pulls_url is Url,daikon.inv.unary.string.IsUrl,(return.pulls_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
pushed_at,"LENGTH(return.pushed_at)==20
return.pushed_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.pushed_at)
(return.pushed_at)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
releases_url,return.releases_url is Url,daikon.inv.unary.string.IsUrl,(return.releases_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
squash_merge_commit_message,"input.squash_merge_commit_message == return.squash_merge_commit_message
return.squash_merge_commit_message one of { ""BLANK"", ""COMMIT_MESSAGES"", ""PR_BODY"" }","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString","(input.squash_merge_commit_message, return.squash_merge_commit_message)
(return.squash_merge_commit_message)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
squash_merge_commit_title,"input.squash_merge_commit_title == return.squash_merge_commit_title
return.squash_merge_commit_title one of { ""COMMIT_OR_PR_TITLE"", ""PR_TITLE"" }","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString","(input.squash_merge_commit_title, return.squash_merge_commit_title)
(return.squash_merge_commit_title)","/orgs/{org}/repos&createOrganizationRepository&201():::EXIT
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT",1.0
stargazers_url,return.stargazers_url is Url,daikon.inv.unary.string.IsUrl,(return.stargazers_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
statuses_url,return.statuses_url is Url,daikon.inv.unary.string.IsUrl,(return.statuses_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
subscribers_url,return.subscribers_url is Url,daikon.inv.unary.string.IsUrl,(return.subscribers_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
subscription_url,return.subscription_url is Url,daikon.inv.unary.string.IsUrl,(return.subscription_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
tags_url,return.tags_url is Url,daikon.inv.unary.string.IsUrl,(return.tags_url),/orgs/{org}/repos&createOrganizationRepository&201():::EXIT,1.0
