pptname;invariant;invariantType;variables;postmanAssertion;tp;fp;enter;bug
/orgs/{org}/repos&getOrganizationRepositories&200%array():::EXIT;input.per_page >= size(return.array[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.per_page, size(return.array[..]));pm.expect(input_per_page).to.be.at.least(return_array_size_array);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.owner.site_admin == return.disabled;daikon.inv.binary.twoScalar.IntEqual;(return.owner.site_admin, return.disabled);pm.expect(return_owner_site_admin).to.eql(return_disabled);0;1;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.html_url == return.svn_url;daikon.inv.binary.twoString.StringEqual;(return.html_url, return.svn_url);pm.expect(return_html_url).to.eql(return_svn_url);0;1;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.forks_count == return.forks;daikon.inv.binary.twoScalar.IntEqual;(return.forks_count, return.forks);pm.expect(return_forks_count).to.eql(return_forks);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.stargazers_count == return.watchers_count;daikon.inv.binary.twoScalar.IntEqual;(return.stargazers_count, return.watchers_count);pm.expect(return_stargazers_count).to.eql(return_watchers_count);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.stargazers_count == return.watchers;daikon.inv.binary.twoScalar.IntEqual;(return.stargazers_count, return.watchers);pm.expect(return_stargazers_count).to.eql(return_watchers);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.open_issues_count == return.open_issues;daikon.inv.binary.twoScalar.IntEqual;(return.open_issues_count, return.open_issues);pm.expect(return_open_issues_count).to.eql(return_open_issues);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.permissions.admin == return.permissions.maintain;daikon.inv.binary.twoScalar.IntEqual;(return.permissions.admin, return.permissions.maintain);pm.expect(return_permissions_admin).to.eql(return_permissions_maintain);0;1;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.permissions.push == return.permissions.triage;daikon.inv.binary.twoScalar.IntEqual;(return.permissions.push, return.permissions.triage);pm.expect(return_permissions_push).to.eql(return_permissions_triage);0;1;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.template_repository == return.template_repository.template_repository;daikon.inv.binary.twoScalar.IntEqual;(return.template_repository, return.template_repository.template_repository);pm.expect(return_template_repository).to.eql(return_template_repository_template_repository);0;0;0;1
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.template_repository.permissions == return.template_repository.template_repository.permissions;daikon.inv.binary.twoScalar.IntEqual;(return.template_repository.permissions, return.template_repository.template_repository.permissions);pm.expect(return_template_repository_permissions).to.eql(return_template_repository_template_repository_permissions);0;0;0;1
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.template_repository.owner == return.template_repository.template_repository.owner;daikon.inv.binary.twoScalar.IntEqual;(return.template_repository.owner, return.template_repository.template_repository.owner);pm.expect(return_template_repository_owner).to.eql(return_template_repository_template_repository_owner);0;0;0;1
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.template_repository.topics == return.template_repository.template_repository.topics;daikon.inv.binary.twoScalar.IntEqual;(return.template_repository.topics, return.template_repository.template_repository.topics);pm.expect(return_template_repository_topics).to.eql(return_template_repository_template_repository_topics);0;0;0;1
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.owner.avatar_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.avatar_url);pm.expect(return_owner_avatar_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;"return.owner.gravatar_id == """"";daikon.inv.unary.string.OneOfString;(return.owner.gravatar_id);"pm.expect([""""].includes(return_owner_gravatar_id)).to.be.true";1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;LENGTH(return.owner.gravatar_id)==0;daikon.inv.unary.string.FixedLengthString;(return.owner.gravatar_id);pm.expect(return_owner_gravatar_id).to.have.length(0);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.owner.url is Url;daikon.inv.unary.string.IsUrl;(return.owner.url);pm.expect(return_owner_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.owner.html_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.html_url);pm.expect(return_owner_html_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.owner.followers_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.followers_url);pm.expect(return_owner_followers_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.owner.following_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.following_url);pm.expect(return_owner_following_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT;return.owner.gists_url is Url;daikon.inv.unary.string.IsUrl;(return.owner.gists_url);pm.expect(return_owner_gists_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
