group,invariant,invariantType,variables,pptname,tp
archive_url,return.archive_url is Url,daikon.inv.unary.string.IsUrl,(return.archive_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
array,input.per_page >= size(return.array[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.per_page, size(return.array[..]))",/orgs/{org}/repos&getOrganizationRepositories&200%array():::EXIT,1.0
assignees_url,return.assignees_url is Url,daikon.inv.unary.string.IsUrl,(return.assignees_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
blobs_url,return.blobs_url is Url,daikon.inv.unary.string.IsUrl,(return.blobs_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
branches_url,return.branches_url is Url,daikon.inv.unary.string.IsUrl,(return.branches_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
clone_url,return.clone_url is Url,daikon.inv.unary.string.IsUrl,(return.clone_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
collaborators_url,return.collaborators_url is Url,daikon.inv.unary.string.IsUrl,(return.collaborators_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
comments_url,return.comments_url is Url,daikon.inv.unary.string.IsUrl,(return.comments_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
commits_url,return.commits_url is Url,daikon.inv.unary.string.IsUrl,(return.commits_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
compare_url,return.compare_url is Url,daikon.inv.unary.string.IsUrl,(return.compare_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
contents_url,return.contents_url is Url,daikon.inv.unary.string.IsUrl,(return.contents_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
contributors_url,return.contributors_url is Url,daikon.inv.unary.string.IsUrl,(return.contributors_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
created_at,"LENGTH(return.created_at)==20
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.created_at)
(return.created_at)","/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT
/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT",1.0
deployments_url,return.deployments_url is Url,daikon.inv.unary.string.IsUrl,(return.deployments_url),/orgs/{org}/repos&getOrganizationRepositories&200():::EXIT,1.0
