pptname,invariant,invariantType,variables,postmanAssertion,tp,fp,enter,bug,group
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT,return.amount is Numeric,daikon.inv.unary.string.IsNumeric,(return.amount),"pm.expect(return_amount).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,data.offers.price.taxes.amount
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT,LENGTH(return.currency)==3,daikon.inv.unary.string.FixedLengthString,(return.currency),pm.expect(return_currency).to.have.length(3),1,0,0,0,data.offers.price.taxes.currency
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT,return.percentage is Numeric,daikon.inv.unary.string.IsNumeric,(return.percentage),"pm.expect(return_percentage).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,data.offers.price.taxes.percentage
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT,"return.pricingFrequency one of { ""PER_NIGHT"", ""PER_STAY"" }",daikon.inv.unary.string.OneOfString,(return.pricingFrequency),"pm.expect([""PER_NIGHT"", ""PER_STAY""].includes(return_pricingFrequency)).to.be.true",1,0,0,0,data.offers.price.taxes.pricingFrequency
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT,"return.pricingMode one of { ""PER_OCCUPANT"", ""PER_PRODUCT"" }",daikon.inv.unary.string.OneOfString,(return.pricingMode),"pm.expect([""PER_OCCUPANT"", ""PER_PRODUCT""].includes(return_pricingMode)).to.be.true",1,0,0,0,data.offers.price.taxes.pricingMode
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT,return.startDate is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.startDate),pm.expect(return_startDate).to.match(/^(?:1\d{3}|20[01234][0-9]|2050|9999)[-/.](?:0[1-9]|1[012])[-/.](?:0[1-9]|[12][0-9]|3[01])$/),1,0,0,0,data.offers.price.variations.changes.startDate
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT,return.endDate is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.endDate),pm.expect(return_endDate).to.match(/^(?:1\d{3}|20[01234][0-9]|2050|9999)[-/.](?:0[1-9]|1[012])[-/.](?:0[1-9]|[12][0-9]|3[01])$/),1,0,0,0,data.offers.price.variations.changes.endDate
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT,return.total is Numeric,daikon.inv.unary.string.IsNumeric,(return.total),"pm.expect(return_total).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,data.offers.price.variations.changes.total
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT,return.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.base),"pm.expect(return_base).to.match(/^[+-]{0,1}(0|([0-9](\d*|\d{0,2}(,\d{3})*)))?(\.\d*[0-9])?$/)",1,0,0,0,data.offers.price.variations.changes.base
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,input.adults == return.guests.adults,daikon.inv.binary.twoScalar.IntEqual,"(input.adults, return.guests.adults)",pm.expect(input_adults).to.eql(return_guests_adults),1,0,0,0,data.offers.guests.adults
