group,invariant,invariantType,variables,pptname,tp
attributionHTML,"return.attributionHTML == ""<a href=\""http://marvel.com\"">Data provided by Marvel. \251 2022 MARVEL</a>""
LENGTH(return.attributionHTML)==70","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.attributionHTML)
(return.attributionHTML)","/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT",1.0
attributionText,"return.attributionText == ""Data provided by Marvel. \251 2022 MARVEL""
LENGTH(return.attributionText)==38
return.attributionText is a substring of return.attributionHTML","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.attributionText)
(return.attributionText)
(return.attributionText, return.attributionHTML)","/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT",1.0
code,return.code == 200,daikon.inv.unary.scalar.OneOfScalar,(return.code),/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT,1.0
copyright,"return.copyright == ""\251 2022 MARVEL""
LENGTH(return.copyright)==13
return.copyright is a substring of return.attributionText","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.copyright)
(return.copyright)
(return.copyright, return.attributionText)","/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT",1.0
data.limit,return.data.limit == 20,daikon.inv.unary.scalar.OneOfScalar,(return.data.limit),/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT,1.0
data.offset,return.data.offset == 0,daikon.inv.unary.scalar.OneOfScalar,(return.data.offset),/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT,1.0
data.results,return.data.results[] elements == return.data.results[return.data.offset],daikon.inv.binary.sequenceScalar.SeqIntEqual,"(return.data.results[..], return.data.results[return.data.offset])",/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT,1.0
data.results.characters.available,"return.characters.available >= 1
return.characters.available >= return.characters.returned
return.characters.available > return.events.available
return.characters.available >= size(return.collections[])","daikon.inv.unary.scalar.LowerBound
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.twoScalar.IntGreaterThan
daikon.inv.binary.twoScalar.IntGreaterEqual","(return.characters.available)
(return.characters.available, return.characters.returned)
(return.characters.available, return.events.available)
(return.characters.available, size(return.collections[..]))","/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT",0.25
data.results.characters.collectionURI,return.characters.collectionURI is Url,daikon.inv.unary.string.IsUrl,(return.characters.collectionURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.characters.data.resultsed,"return.characters.returned == size(return.characters.items[])
return.characters.returned >= 1
return.characters.returned >= size(return.collections[])","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.unary.scalar.LowerBound
daikon.inv.binary.twoScalar.IntGreaterEqual","(return.characters.returned, size(return.characters.items[..]))
(return.characters.returned)
(return.characters.returned, size(return.collections[..]))","/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT",0.3333333333333333
data.results.characters.items.resourceURI,"LENGTH(return.resourceURI)==54
return.resourceURI is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.resourceURI)
(return.resourceURI)","/v1/public/comics/{comicId}&getComicIndividual&200&data&results&characters&items():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&characters&items():::EXIT",1.0
data.results.collectedIssues,"return has only one value
size(return.collectedIssues[]) one of { 0, 9 }","daikon.inv.unary.scalar.OneOfScalar
daikon.inv.unary.scalar.OneOfScalar","(return)
(size(return.collectedIssues[..]))","/v1/public/comics/{comicId}&getComicIndividual&200&data&results&collectedIssues():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT",0.0
data.results.collectedIssues.resourceURI,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results&collectedIssues():::EXIT,1.0
data.results.collections,"size(return.collections[]) one of { 0, 1, 4 }
size(return.collections[]) <= size(return.dates[])","daikon.inv.unary.scalar.OneOfScalar
daikon.inv.binary.twoScalar.IntLessEqual","(size(return.collections[..]))
(size(return.collections[..]), size(return.dates[..]))","/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT",0.0
data.results.collections.resourceURI,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results&collections():::EXIT,1.0
data.results.creators.available,"return.creators.available == return.creators.returned
return.creators.available == size(return.creators.items[])
return.creators.available >= return.events.available
return.creators.available >= size(return.collectedIssues[])","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.twoScalar.IntGreaterEqual","(return.creators.available, return.creators.returned)
(return.creators.available, size(return.creators.items[..]))
(return.creators.available, return.events.available)
(return.creators.available, size(return.collectedIssues[..]))","/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT",0.0
data.results.creators.collectionURI,return.creators.collectionURI is Url,daikon.inv.unary.string.IsUrl,(return.creators.collectionURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.creators.items.resourceURI,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results&creators&items():::EXIT,1.0
data.results.dates,"size(return.dates[]) one of { 2, 3, 4 }",daikon.inv.unary.scalar.OneOfScalar,(size(return.dates[..])),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,0.0
