group,invariant,invariantType,variables,pptname,tp
attributionHTML,"return.attributionHTML == ""<a href=\""http://marvel.com\"">Data provided by Marvel. \251 2022 MARVEL</a>""
LENGTH(return.attributionHTML)==70","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.attributionHTML)
(return.attributionHTML)","/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT",1.0
attributionText,"return.attributionText == ""Data provided by Marvel. \251 2022 MARVEL""
LENGTH(return.attributionText)==38
return.attributionText is a substring of return.attributionHTML","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.attributionText)
(return.attributionText)
(return.attributionText, return.attributionHTML)","/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT",1.0
code,return.code == 200,daikon.inv.unary.scalar.OneOfScalar,(return.code),/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT,1.0
copyright,"return.copyright == ""\251 2022 MARVEL""
LENGTH(return.copyright)==13
return.copyright is a substring of return.attributionText","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.copyright)
(return.copyright)
(return.copyright, return.attributionText)","/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT",1.0
data.limit,return.data.limit == 20,daikon.inv.unary.scalar.OneOfScalar,(return.data.limit),/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT,1.0
data.offset,return.data.offset == 0,daikon.inv.unary.scalar.OneOfScalar,(return.data.offset),/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT,1.0
data.results,return.data.results[] elements == return.data.results[return.data.offset],daikon.inv.binary.sequenceScalar.SeqIntEqual,"(return.data.results[..], return.data.results[return.data.offset])",/v1/public/comics/{comicId}&getComicIndividual&200():::EXIT,1.0
data.results.characters.collectionURI,return.characters.collectionURI is Url,daikon.inv.unary.string.IsUrl,(return.characters.collectionURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.characters.items.resourceURI,"LENGTH(return.resourceURI)==54
return.resourceURI is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.resourceURI)
(return.resourceURI)","/v1/public/comics/{comicId}&getComicIndividual&200&data&results&characters&items():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&characters&items():::EXIT",1.0
data.results.collectedIssues.resourceURI,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results&collectedIssues():::EXIT,1.0
data.results.collections.resourceURI,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results&collections():::EXIT,1.0
data.results.creators.collectionURI,return.creators.collectionURI is Url,daikon.inv.unary.string.IsUrl,(return.creators.collectionURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.creators.items.resourceURI,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results&creators&items():::EXIT,1.0
data.results.diamondCode,LENGTH(return.diamondCode)==9,daikon.inv.unary.string.FixedLengthString,(return.diamondCode),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.events.collectionURI,return.events.collectionURI is Url,daikon.inv.unary.string.IsUrl,(return.events.collectionURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.id,input.comicId == return.id,daikon.inv.binary.twoScalar.IntEqual,"(input.comicId, return.id)",/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.images.path,"LENGTH(return.path)==57
return.path is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.path)
(return.path)","/v1/public/comics/{comicId}&getComicIndividual&200&data&results&images():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&images():::EXIT",1.0
data.results.issn,LENGTH(return.issn)==9,daikon.inv.unary.string.FixedLengthString,(return.issn),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.prices,"size(return.prices[]) one of { 1, 2 }",daikon.inv.unary.scalar.OneOfScalar,(size(return.prices[..])),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.prices.price,return.price >= 0.0,daikon.inv.unary.scalar.LowerBoundFloat,(return.price),/v1/public/comics/{comicId}&getComicIndividual&200&data&results&prices():::EXIT,1.0
data.results.prices.type,"return.type one of { ""digitalPurchasePrice"", ""printPrice"" }",daikon.inv.unary.string.OneOfString,(return.type),/v1/public/comics/{comicId}&getComicIndividual&200&data&results&prices():::EXIT,1.0
data.results.resourceURI,"return.resourceURI is Url
return.resourceURI is a substring of return.creators.collectionURI
return.resourceURI is a substring of return.characters.collectionURI
return.resourceURI is a substring of return.stories.collectionURI
return.resourceURI is a substring of return.events.collectionURI","daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.resourceURI)
(return.resourceURI, return.creators.collectionURI)
(return.resourceURI, return.characters.collectionURI)
(return.resourceURI, return.stories.collectionURI)
(return.resourceURI, return.events.collectionURI)","/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT
/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT",1.0
data.results.series.resourceURI,return.series.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.series.resourceURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.stories.collectionURI,return.stories.collectionURI is Url,daikon.inv.unary.string.IsUrl,(return.stories.collectionURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results():::EXIT,1.0
data.results.stories.items.resourceURI,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),/v1/public/comics/{comicId}&getComicIndividual&200&data&results&stories&items():::EXIT,1.0
