pptname,invariant,invariantType,variables,postmanAssertion,tp,fp,enter,bug,group
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&characters&items():::EXIT,LENGTH(return.resourceURI)==54,daikon.inv.unary.string.FixedLengthString,(return.resourceURI),pm.expect(return_resourceURI).to.have.length(54),1,0,0,0,data.results.characters.items.resourceURI
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&characters&items():::EXIT,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),"pm.expect(return_resourceURI).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",1,0,0,0,data.results.characters.items.resourceURI
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&collectedIssues():::ENTER,input has only one value,daikon.inv.unary.scalar.OneOfScalar,(input),//,0,0,1,0,
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&collectedIssues():::EXIT,input has only one value,daikon.inv.unary.scalar.OneOfScalar,(input),//,0,0,1,0,
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&collectedIssues():::EXIT,return has only one value,daikon.inv.unary.scalar.OneOfScalar,(return),//,0,0,1,0,data.results.collectedIssues
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&collectedIssues():::EXIT,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),"pm.expect(return_resourceURI).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",1,0,0,0,data.results.collectedIssues.resourceURI
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&collections():::EXIT,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),"pm.expect(return_resourceURI).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",1,0,0,0,data.results.collections.resourceURI
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&creators&items():::EXIT,return.resourceURI is Url,daikon.inv.unary.string.IsUrl,(return.resourceURI),"pm.expect(return_resourceURI).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",1,0,0,0,data.results.creators.items.resourceURI
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&events&items():::EXIT,"return.resourceURI one of { ""http://gateway.marvel.com/v1/public/events/270"", ""http://gateway.marvel.com/v1/public/events/315"", ""http://gateway.marvel.com/v1/public/events/319"" }",daikon.inv.unary.string.OneOfString,(return.resourceURI),"pm.expect([""http://gateway.marvel.com/v1/public/events/270"", ""http://gateway.marvel.com/v1/public/events/315"", ""http://gateway.marvel.com/v1/public/events/319""].includes(return_resourceURI)).to.be.true",0,1,0,0,data.results.events.items.resourceURI
/v1/public/comics/{comicId}&getComicIndividual&200&data&results&events&items():::EXIT,LENGTH(return.resourceURI)==46,daikon.inv.unary.string.FixedLengthString,(return.resourceURI),pm.expect(return_resourceURI).to.have.length(46),0,1,0,0,data.results.events.items.resourceURI
