group,invariant,invariantType,variables,pptname,tp
href,"return.href is Url
input.id is a substring of return.href
input.market is a substring of return.href","daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.href)
(input.id, return.href)
(input.market, return.href)","/albums/{id}/tracks&getAlbumTracks&200():::EXIT
/albums/{id}/tracks&getAlbumTracks&200():::EXIT
/albums/{id}/tracks&getAlbumTracks&200():::EXIT",1.0
items,input.limit >= size(return.items[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.items[..]))",/albums/{id}/tracks&getAlbumTracks&200():::EXIT,1.0
items.artists,"size(return.artists[]) >= 1
input.limit >= size(return.artists[])
input.offset > size(return.artists[])","daikon.inv.unary.scalar.LowerBound
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.twoScalar.IntGreaterThan","(size(return.artists[..]))
(input.limit, size(return.artists[..]))
(input.offset, size(return.artists[..]))","/albums/{id}/tracks&getAlbumTracks&200&items():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items():::EXIT",0.3333333333333333
items.artists.href,"LENGTH(return.href)==57
return.href is Url
return.id is a substring of return.href
return.type is a substring of return.href","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.href)
(return.href)
(return.href, return.id)
(return.href, return.type)","/albums/{id}/tracks&getAlbumTracks&200&items&artists():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items&artists():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items&artists():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items&artists():::EXIT",1.0
items.artists.id,"LENGTH(return.id)==22
return.id is a substring of return.uri","daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.id)
(return.id, return.uri)","/albums/{id}/tracks&getAlbumTracks&200&items&artists():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items&artists():::EXIT",1.0
items.artists.type,"return.type == ""artist""
LENGTH(return.type)==6
return.type is a substring of return.uri","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.type)
(return.type)
(return.type, return.uri)","/albums/{id}/tracks&getAlbumTracks&200&items&artists():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items&artists():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items&artists():::EXIT",1.0
items.artists.uri,LENGTH(return.uri)==37,daikon.inv.unary.string.FixedLengthString,(return.uri),/albums/{id}/tracks&getAlbumTracks&200&items&artists():::EXIT,1.0
items.available_markets,All the elements of return.available_markets[] have LENGTH=2,daikon.inv.unary.stringsequence.SequenceFixedLengthString,(return.available_markets[..]),/albums/{id}/tracks&getAlbumTracks&200&items():::EXIT,1.0
items.disc_number,"return.disc_number >= 1
input.limit > return.disc_number","daikon.inv.unary.scalar.LowerBound
daikon.inv.binary.twoScalar.IntGreaterThan","(return.disc_number)
(input.limit, return.disc_number)","/albums/{id}/tracks&getAlbumTracks&200&items():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items():::EXIT",0.5
items.href,"LENGTH(return.href)==56
return.href is Url
return.id is a substring of return.href
return.type is a substring of return.href","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.href)
(return.href)
(return.href, return.id)
(return.href, return.type)","/albums/{id}/tracks&getAlbumTracks&200&items():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items():::EXIT
/albums/{id}/tracks&getAlbumTracks&200&items():::EXIT",1.0
