pptname,invariant,invariantType,variables,postmanAssertion,tp,fp,enter,bug,group
/businesses/search&getBusinesses&200&businesses():::EXIT,LENGTH(return.id)==22,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(22),1,0,0,0,businesses.id
/businesses/search&getBusinesses&200&businesses():::EXIT,LENGTH(return.image_url)==68,daikon.inv.unary.string.FixedLengthString,(return.image_url),pm.expect(return_image_url).to.have.length(68),1,0,0,0,businesses.image_url
/businesses/search&getBusinesses&200&businesses():::EXIT,return.image_url is Url,daikon.inv.unary.string.IsUrl,(return.image_url),"pm.expect(return_image_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",1,0,0,0,businesses.image_url
/businesses/search&getBusinesses&200&businesses():::EXIT,return.url is Url,daikon.inv.unary.string.IsUrl,(return.url),"pm.expect(return_url).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/)",1,0,0,0,businesses.url
/businesses/search&getBusinesses&200&businesses():::EXIT,"return.transactions[] elements one of { ""delivery"", ""pickup"", ""restaurant_reservation"" }",daikon.inv.unary.stringsequence.EltOneOfString,(return.transactions[..]),"pm.expect(return_transactions_array.every(element => [""delivery"", ""pickup"", ""restaurant_reservation""].includes(element))).to.be.true",1,0,0,0,businesses.transactions
/businesses/search&getBusinesses&200&businesses():::EXIT,LENGTH(return.location.country)==2,daikon.inv.unary.string.FixedLengthString,(return.location.country),pm.expect(return_location_country).to.have.length(2),1,0,0,0,businesses.location.country
/businesses/search&getBusinesses&200&businesses():::EXIT,return.location.address1 in return.location.display_address[],daikon.inv.binary.sequenceString.MemberString,"(return.location.address1, return.location.display_address[..])",pm.expect(return_location_display_address_array.includes(return_location_address1)).to.be.true,1,0,0,0,businesses.location.address1
/businesses/search&getBusinesses&200&businesses():::EXIT,return.location.address2 in return.location.display_address[],daikon.inv.binary.sequenceString.MemberString,"(return.location.address2, return.location.display_address[..])",pm.expect(return_location_display_address_array.includes(return_location_address2)).to.be.true,1,0,0,0,businesses.location.address2
/businesses/search&getBusinesses&200&businesses():::EXIT,return.location.address3 in return.location.display_address[],daikon.inv.binary.sequenceString.MemberString,"(return.location.address3, return.location.display_address[..])",pm.expect(return_location_display_address_array.includes(return_location_address3)).to.be.true,1,0,0,0,businesses.location.address3
/businesses/search&getBusinesses&200():::EXIT,return.total >= 0,daikon.inv.unary.scalar.LowerBound,(return.total),pm.expect(return_total).to.be.at.least(0),1,0,0,0,total
/businesses/search&getBusinesses&200():::EXIT,input.limit >= size(return.businesses[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.businesses[..]))",pm.expect(input_limit).to.be.at.least(return_businesses_size_array),1,0,0,0,businesses
/businesses/search&getBusinesses&200():::EXIT,return.total >= size(return.businesses[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(return.total, size(return.businesses[..]))",pm.expect(return_total).to.be.at.least(return_businesses_size_array),1,0,0,0,total
