pptname;invariant;invariantType;variables;postmanAssertion;tp;fp;enter;bug
/youtube/v3/videos&getVideos&200&items():::ENTER;size(input.part[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.part[..]));pm.expect(input_part_size_array).to.be.at.least(1);0;0;1;0
/youtube/v3/videos&getVideos&200&items():::ENTER;size(input.id[]) one of { 1, 2 };daikon.inv.unary.scalar.OneOfScalar;(size(input.id[..]));pm.expect([1, 2, 0].includes(input_id_size_array)).to.be.true;0;0;1;0
/youtube/v3/videos&getVideos&200&items():::EXIT;return.contentDetails.contentRating.djctqRatingReasons == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.contentRating.djctqRatingReasons, return.suggestions.editorSuggestions);pm.expect(return_contentDetails_contentRating_djctqRatingReasons).to.eql(return_suggestions_editorSuggestions);0;1;0;0
/youtube/v3/videos&getVideos&200&items():::EXIT;return.contentDetails.contentRating.fpbRatingReasons == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.contentRating.fpbRatingReasons, return.suggestions.editorSuggestions);pm.expect(return_contentDetails_contentRating_fpbRatingReasons).to.eql(return_suggestions_editorSuggestions);0;1;0;0
/youtube/v3/videos&getVideos&200&items():::EXIT;return.contentDetails.countryRestriction.exception == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.contentDetails.countryRestriction.exception, return.suggestions.editorSuggestions);pm.expect(return_contentDetails_countryRestriction_exception).to.eql(return_suggestions_editorSuggestions);0;1;0;0
/youtube/v3/videos&getVideos&200&items():::EXIT;return.monetizationDetails.access.exception == return.suggestions.editorSuggestions;daikon.inv.binary.twoScalar.IntEqual;(return.monetizationDetails.access.exception, return.suggestions.editorSuggestions);pm.expect(return_monetizationDetails_access_exception).to.eql(return_suggestions_editorSuggestions);0;1;0;0
/youtube/v3/videos&getVideos&200&items():::EXIT;return.snippet.defaultAudioLanguage == return.snippet.defaultLanguage;daikon.inv.binary.twoString.StringEqual;(return.snippet.defaultAudioLanguage, return.snippet.defaultLanguage);pm.expect(return_snippet_defaultAudioLanguage).to.eql(return_snippet_defaultLanguage);0;1;0;0
/youtube/v3/videos&getVideos&200&items():::EXIT;return.snippet.description == return.snippet.localized.description;daikon.inv.binary.twoString.StringEqual;(return.snippet.description, return.snippet.localized.description);pm.expect(return_snippet_description).to.eql(return_snippet_localized_description);0;1;0;0
/youtube/v3/videos&getVideos&200&items():::EXIT;return.snippet.localized.title == return.snippet.title;daikon.inv.binary.twoString.StringEqual;(return.snippet.localized.title, return.snippet.title);pm.expect(return_snippet_localized_title).to.eql(return_snippet_title);0;1;0;0
/youtube/v3/videos&getVideos&200&items():::EXIT;return.snippet.thumbnails.high.width == return.snippet.thumbnails.standard.height;daikon.inv.binary.twoScalar.IntEqual;(return.snippet.thumbnails.high.width, return.snippet.thumbnails.standard.height);pm.expect(return_snippet_thumbnails_high_width).to.eql(return_snippet_thumbnails_standard_height);1;0;0;0
