endpoint,group,response resource,attribute,description
get+orgs_{org}_repos,owner.avatar_url,simple-user,avatar_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""}"
get+orgs_{org}_repos,owner.url,simple-user,url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""}"
get+orgs_{org}_repos,owner.html_url,simple-user,html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""}"
get+orgs_{org}_repos,owner.followers_url,simple-user,followers_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""}"
get+orgs_{org}_repos,owner.following_url,simple-user,following_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}"
get+orgs_{org}_repos,owner.gists_url,simple-user,gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}"
get+orgs_{org}_repos,owner.starred_url,simple-user,starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}"
get+orgs_{org}_repos,owner.subscriptions_url,simple-user,subscriptions_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""}"
get+orgs_{org}_repos,owner.organizations_url,simple-user,organizations_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""}"
get+orgs_{org}_repos,owner.repos_url,simple-user,repos_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""}"
get+orgs_{org}_repos,owner.events_url,simple-user,events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}"
get+orgs_{org}_repos,owner.received_events_url,simple-user,received_events_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""}"
get+orgs_{org}_repos,template_repository.html_url,repository,html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""}"
get+orgs_{org}_repos,template_repository.template_repository.owner.html_url,repository,html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""}"
get+orgs_{org}_repos,template_repository.template_repository.html_url,repository,html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""}"
get+orgs_{org}_repos,template_repository.url,repository,url,"{""type"": ""string"", ""format"": ""uri"", ""nullable"": true, ""example"": ""https://api.github.com/repos/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""nullable"": true, ""example"": ""https://api.github.com/repos/octocat/Hello-World""}"
