endpoint,group,response resource,attribute,description
get+shopping_hotel-offers,data.offers.guests.adults,HotelProduct_Guests,adults,Attribute adults is responded to by parameter adults with a description: Number of adult guests (1-9) per room
get+shopping_hotel-offers,data.offers.checkInDate,HotelOffer,checkInDate,"Attribute checkInDate is responded to by parameter checkInDate with a description: Check-in date of the stay (hotel local date). Format YYYY-MM-DD. The lowest accepted value is the present date (no dates in the past). If not present, the default value will be today's date in the GMT time zone"
get+shopping_hotel-offers,data.offers.checkOutDate,HotelOffer,checkOutDate,"Attribute checkOutDate is responded to by parameter checkOutDate with a description: Check-out date of the stay (hotel local date). Format YYYY-MM-DD. The lowest accepted value is checkInDate+1. If not present, it will default to checkInDate +1"
get+shopping_hotel-offers,data.offers.price.total,HotelProduct_HotelPrice,total,"Attribute total is responded to by parameter priceRange with a description: Filter hotel offers by price per night interval (ex: 200-300 or -300 or 100).
It is mandatory to include a currency when this field is set"
get+shopping_hotel-offers,data.offers.price.currency,HotelProduct_HotelPrice,currency,"Attribute currency is responded to by parameter currency with a description: Use this parameter to request a specific currency. ISO currency code (http://www.iso.org/iso/home/standards/currency_codes.htm).
If a hotel does not support the requested currency, the prices for the hotel will be returned in the local currency of the hotel"
get+shopping_hotel-offers,data.offers.id,HotelOffer,id,"Unique identifier of this offer. Might be valid for a temporary period only. schema: {""example"": ""63A93695B58821ABB0EC2B33FE9FAB24D72BF34B1BD7D707293763D8D9378FC3"", ""type"": ""string"", ""minLength"": 2, ""maxLength"": 100, ""pattern"": ""^[A-Z0-9]*$""} schema: {""example"": ""63A93695B58821ABB0EC2B33FE9FAB24D72BF34B1BD7D707293763D8D9378FC3"", ""type"": ""string"", ""minLength"": 2, ""maxLength"": 100, ""pattern"": ""^[A-Z0-9]*$""}"
get+shopping_hotel-offers,data.offers.checkInDate,HotelOffer,checkInDate,"check-in date of the stay (hotel local date). Format YYYY-MM-DD
The lowest accepted value is today date (no dates in the past). schema: {""example"": ""2020-12-30"", ""type"": ""string"", ""format"": ""date""} schema: {""example"": ""2020-12-30"", ""type"": ""string"", ""format"": ""date""}"
get+shopping_hotel-offers,data.offers.checkOutDate,HotelOffer,checkOutDate,"check-out date of the stay (hotel local date). Format YYYY-MM-DD
The lowest accepted value is `checkInDate`+1. schema: {""example"": ""2020-12-31"", ""type"": ""string"", ""format"": ""date""} schema: {""example"": ""2020-12-31"", ""type"": ""string"", ""format"": ""date""}"
get+shopping_hotel-offers,data.offers.roomQuantity,HotelOffer,roomQuantity,"number of rooms (1-9) schema: {""example"": ""1"", ""type"": ""string""} schema: {""example"": ""1"", ""type"": ""string""}"
get+shopping_hotel-offers,data.offers.rateCode,HotelOffer,rateCode,"Special Rate - Provider Response Code (3 chars)
Examples

  * RAC - Rack

  * BAR - Best Available Rate

  * PRO - Promotional

  * COR - Corporate

  * GOV - Government (qualified)

  * AAA - AAA (qualified)

  * BNB - Bed and Breakfast

  * PKG - Package

  * TVL - Travel Industry

  * SPC - Special Promo Rate

  * WKD - Weekend

  * CON - Convention

  * SNR - Senior (Europe) (qualified)

  * ARP - AARP - American Association of Retired People (50+) (qualified)

  * SRS - Senior (qualified)

  * ROR - Room Only Rate (no breakfast)

  * FAM - Family

  * DAY - Day rate schema: {""example"": ""RAC"", ""type"": ""string"", ""minLength"": 3, ""maxLength"": 3, ""pattern"": ""^[A-Z0-9*]{3}$""} schema: {""example"": ""RAC"", ""type"": ""string"", ""minLength"": 3, ""maxLength"": 3, ""pattern"": ""^[A-Z0-9*]{3}$""}"
get+shopping_hotel-offers,data.offers.rateFamilyEstimated.code,HotelProduct_RateFamily,code,"The estimated rate family (PRO,FAM,GOV) schema: {""type"": ""string"", ""pattern"": ""[A-Z0-9]{3}""} schema: {""type"": ""string"", ""pattern"": ""[A-Z0-9]{3}""}"
