endpoint,group,description
get+v1_public_comics_{comicid},code,"The HTTP status code of the returned result, schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.count,"The total number of results returned by this call. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.limit,"The requested result limit. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.offset,"The requested offset (number of skipped results) of the call. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.characters.available,"The number of total available characters in this list. Will always be greater than or equal to the ""returned"" value. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.characters.collectionURI,The path to the full list of characters in this collection
get+v1_public_comics_{comicid},data.results.characters.items.resourceURI,The path to the individual character resource
get+v1_public_comics_{comicid},data.results.characters.returned,"The number of characters returned in this collection (up to 20). schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.collectedIssues.resourceURI,"The path to the individual comic resource. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.collections.resourceURI,"The path to the individual comic resource. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+v1_public_comics_{comicid},data.results.creators.available,"The number of total available creators in this list. Will always be greater than or equal to the ""returned"" value. schema: {""type"": ""integer"", ""format"": ""int32""} schema: {""type"": ""integer"", ""format"": ""int32""}"
get+v1_public_comics_{comicid},data.results.creators.collectionURI,The path to the full list of creators in this collection
get+v1_public_comics_{comicid},data.results.creators.items.resourceURI,The path to the individual creator resource
