endpoint,group,description
get+artists_{id}_albums,href,"A link to the Web API endpoint returning the full result of the request. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+artists_{id}_albums,items.album_type,"The type of the album: one of 'album', 'single', or 'compilation'. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+artists_{id}_albums,items.artists.href,"A link to the Web API endpoint providing full details of the artist schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
get+artists_{id}_albums,items.artists.type,"The object type: 'artist' schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+artists_{id}_albums,items.artists.uri,"The Spotify URI for the artist, schema: {""type"": ""string"", ""format"": ""uri""}"
get+artists_{id}_albums,items.available_markets,"Attribute available_markets is responded to by parameter market with a description: The market (an ISO 3166-1 alpha-2 country code)
The markets in which the album is available: ISO 3166-1 alpha-2 country codes. Note that an album is considered available in a market when at least 1 of its tracks is available in that market. schema: {""type"": ""array""} schema: {""type"": ""array""}
The markets in which the album is available: ISO 3166-1 alpha-2 country codes. Note that an album is considered available in a market when at least 1 of its tracks is available in that market"
get+artists_{id}_albums,items.external_urls.type,The object type: 'album'
get+artists_{id}_albums,items.href,"A link to the Web API endpoint providing full details of the album. schema: {""type"": ""string""} schema: {""type"": ""string""}
A link to the Web API endpoint providing full details of the album schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
get+artists_{id}_albums,items.id,Attribute id is responded to by parameter id with a description: The Spotify ID for the artist
get+artists_{id}_albums,items.images.url,"The source URL of the image. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+artists_{id}_albums,items.type,The object type: 'album'
get+artists_{id}_albums,items.uri,"The Spotify URI for the album. schema: {""type"": ""string""} schema: {""type"": ""string""}
The Spotify URI for the album, schema: {""type"": ""string"", ""format"": ""uri""} schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
get+artists_{id}_albums,limit,"Attribute limit is responded to by parameter limit with a description: The maximum number of items to return
The maximum number of items in the response (as set in the query or by default). schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
get+artists_{id}_albums,next,"URL to the next page of items. (null if none schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
get+artists_{id}_albums,offset,Attribute offset is responded to by parameter offset with a description: The index of the first item to return
get+artists_{id}_albums,previous,"URL to the previous page of items. (null if none schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
