,group,invariant,endpoint,description,tp
0,archive_url,return.archive_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}",1.0
1,assignees_url,return.assignees_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}",1.0
2,blobs_url,return.blobs_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1.0
3,branches_url,return.branches_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}",1.0
4,collaborators_url,return.collaborators_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""}",1.0
5,comments_url,return.comments_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""}",1.0
6,compare_url,return.compare_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}",1.0
7,created_at,"LENGTH(return.created_at)==20
return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)",get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""date-time""}",1.0
8,deployments_url,return.deployments_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
9,downloads_url,return.downloads_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
10,events_url,return.events_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
11,forks_url,return.forks_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
12,git_commits_url,return.git_commits_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/commits{/sha}""}",1.0
13,git_refs_url,return.git_refs_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}",1.0
14,hooks_url,return.hooks_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
15,issue_events_url,return.issue_events_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/events{/number}""}",1.0
16,issues_url,return.issues_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}",1.0
17,languages_url,return.languages_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
18,license.url,return.license.url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
19,milestones_url,return.milestones_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/milestones{/number}""}",1.0
20,owner.events_url,return.owner.events_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}",1.0
21,owner.followers_url,return.owner.followers_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
22,owner.following_url,return.owner.following_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}",1.0
23,owner.gists_url,return.owner.gists_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}",1.0
24,owner.organizations_url,return.owner.organizations_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
25,owner.received_events_url,return.owner.received_events_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
26,owner.repos_url,return.owner.repos_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
27,owner.starred_url,return.owner.starred_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}",1.0
28,owner.subscriptions_url,return.owner.subscriptions_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
29,pulls_url,return.pulls_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/pulls{/number}""}",1.0
30,stargazers_url,return.stargazers_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
31,statuses_url,return.statuses_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""}",1.0
32,subscribers_url,return.subscribers_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
33,subscription_url,return.subscription_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
34,tags_url,return.tags_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
35,teams_url,return.teams_url is Url,get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
36,updated_at,"LENGTH(return.updated_at)==20
return.updated_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)",get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""date-time""}",1.0
37,url,"return.url is a substring of return.archive_url
return.url is a substring of return.assignees_url
return.url is a substring of return.blobs_url
return.url is a substring of return.branches_url
return.url is a substring of return.collaborators_url
return.url is a substring of return.comments_url
return.url is a substring of return.commits_url
return.url is a substring of return.compare_url
return.url is a substring of return.contents_url
return.url is a substring of return.contributors_url
return.url is a substring of return.deployments_url
return.url is a substring of return.downloads_url
return.url is a substring of return.events_url
return.url is a substring of return.forks_url
return.url is a substring of return.git_commits_url
return.url is a substring of return.git_refs_url
return.url is a substring of return.git_tags_url
return.url is a substring of return.issue_comment_url
return.url is a substring of return.issue_events_url
return.url is a substring of return.issues_url
return.url is a substring of return.keys_url
return.url is a substring of return.labels_url
return.url is a substring of return.languages_url
return.url is a substring of return.merges_url
return.url is a substring of return.milestones_url
return.url is a substring of return.notifications_url
return.url is a substring of return.pulls_url
return.url is a substring of return.releases_url
return.url is a substring of return.stargazers_url
return.url is a substring of return.statuses_url
return.url is a substring of return.subscribers_url
return.url is a substring of return.subscription_url
return.url is a substring of return.tags_url
return.url is a substring of return.teams_url
return.url is a substring of return.trees_url
return.url is a substring of return.hooks_url
return.url is Url",get+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
