endpoint,group,description,tp,status,check_verify,_merge
get+shopping_hotel-offers,data.hotel.dupeId,"Unique Property identifier of the physical hotel.
One physical hotel can be represented by different Providers, each one having its own `hotelID`.
This attribute allows a client application to group together hotels that are actually the same, schema: {""type"": ""string"", ""example"": ""501132260""}",0,satisfied,yes,both
get+shopping_hotel-offers,data.hotel.hotelId,Amadeus Property Code (8 chars,1,satisfied,yes,both
get+shopping_hotel-offers,data.offers.category,"Special Rate Category
Examples:
  ASSOCIATION
  FAMILY_PLAN, schema: {""type"": ""string"", ""example"": ""FAMILY_PLAN""}",1,unknown,yes,both
get+shopping_hotel-offers,data.offers.checkInDate,"Attribute checkInDate is responded to by parameter HotelOffer with a description: Check-in date of the stay (hotel local date). Format YYYY-MM-DD. The lowest accepted value is the present date (no dates in the past). If not present, the default value will be today's date in the GMT time zone",0,satisfied,yes,left_only
get+shopping_hotel-offers,data.offers.checkOutDate,"Attribute checkOutDate is responded to by parameter HotelOffer with a description: Check-out date of the stay (hotel local date). Format YYYY-MM-DD. The lowest accepted value is checkInDate+1. If not present, it will default to checkInDate +1
check-out date of the stay (hotel local date",1,satisfied,yes,both
get+shopping_hotel-offers,data.offers.commission.percentage,Percentage of the commission paid to the travel seller. Value is between 0 and 100,1,satisfied,yes,both
get+shopping_hotel-offers,data.offers.guests.adults,Attribute adults is responded to by parameter HotelProduct_Guests with a description: Number of adult guests (1-9) per room,1,satisfied,yes,both
get+shopping_hotel-offers,data.offers.guests.childAges,"Comma separated list of ages of each child at the time of check-out from the hotel. If several children have the same age, the ages will be repeated, schema: {""type"": ""array"", ""minimum"": 0, ""maximum"": 20}",1,satisfied,yes,both
get+shopping_hotel-offers,data.offers.id,"Unique identifier of this offer. Might be valid for a temporary period only, schema: {""type"": ""string"", ""minLength"": 2, ""maxLength"": 100}",1,satisfied,yes,both
get+shopping_hotel-offers,data.offers.policies.cancellation.deadline,"Represents the deadline after which the penalty applies. DateTime is in ISO 8601 [https://www.w3.org/TR/NOTE-datetime].
Example: 2010-08-14T12:00:00+01:00
Example: 2010-08-14T12:00:00Z
Example: 2010-08-14T12:00:00-01:00
The value is expressed in the hotel local time zone, with the added time zone difference. So you can compute the deadline in UTC(GMT",0,satisfied,no,both
