endpoint,group,response resource,attribute,description,tp
get+shopping_hotel-offers,data.offers.guests.adults,HotelProduct_Guests,adults,Attribute adults is responded to by parameter HotelProduct_Guests with a description: Number of adult guests (1-9) per room,1
get+shopping_hotel-offers,data.offers.checkInDate,HotelOffer,checkInDate,"Attribute checkInDate is responded to by parameter HotelOffer with a description: Check-in date of the stay (hotel local date). Format YYYY-MM-DD. The lowest accepted value is the present date (no dates in the past). If not present, the default value will be today's date in the GMT time zone",0
get+shopping_hotel-offers,data.offers.checkOutDate,HotelOffer,checkOutDate,"Attribute checkOutDate is responded to by parameter HotelOffer with a description: Check-out date of the stay (hotel local date). Format YYYY-MM-DD. The lowest accepted value is checkInDate+1. If not present, it will default to checkInDate +1",1
get+shopping_hotel-offers,data.offers.price.total,HotelProduct_HotelPrice,total,"Attribute priceRange is responded to by parameter HotelProduct_HotelPrice with a description: Filter hotel offers by price per night interval (ex: 200-300 or -300 or 100).
It is mandatory to include a currency when this field is set",1
get+shopping_hotel-offers,data.offers.price.currency,HotelProduct_HotelPrice,currency,"Attribute currency is responded to by parameter HotelProduct_HotelPrice with a description: Use this parameter to request a specific currency. ISO currency code (http://www.iso.org/iso/home/standards/currency_codes.htm).
If a hotel does not support the requested currency, the prices for the hotel will be returned in the local currency of the hotel",0
get+shopping_hotel-offers,data.offers.price.taxes.pricingMode,Tax,pricingMode,"Specifies if the tax applies per occupant or per room
  - PER_OCCUPANT
  - PER_PRODUCT",0
get+shopping_hotel-offers,data.offers.room.type,HotelProduct_RoomDetails,type,"Room type code, 3 character identifier of the room.
The first character identifies the room type category. 
The second numeric character identifies the number of beds. 
The third character identifies the bed type. 
There is a special case where ROH is returned, this value stands for Run Of House",1
get+shopping_hotel-offers,data.hotel.dupeId,Hotel,dupeId,"Unique Property identifier of the physical hotel.
One physical hotel can be represented by different Providers, each one having its own `hotelID`.
This attribute allows a client application to group together hotels that are actually the same, schema: {""type"": ""string"", ""example"": ""501132260""}",0
get+shopping_hotel-offers,data.offers.self,HotelOffer,self,"A self link to the object. Use this to refresh the Offer price, schema: {""type"": ""string"", ""example"": ""https://test.travel.api.amadeus.com/v2/shopping/hotel-offers/63A93695B58821ABB0EC2B33FE9FAB24D72BF34B1BD7D707293763D8D9378FC3""}",0
get+shopping_hotel-offers,data.offers.price.currency,HotelProduct_HotelPrice,currency,currency Code apply to all elements of the price,1
get+shopping_hotel-offers,data.offers.price.variations.changes.startDate,HotelProduct_PriceVariation,startDate,"Begin date of the period
Format: YYYY-MM-DD, schema: {""type"": ""string"", ""format"": ""date""}",1
get+shopping_hotel-offers,data.offers.policies.holdTime.deadline,HotelProduct_HoldPolicy,deadline,"The date and time of the deadline in ISO 8601[https://www.w3.org/TR/NOTE-datetime]. 
 Example: 2010-08-14T13:00:00
 Please note that this value is expressed in the hotels local time zone",0
get+shopping_hotel-offers,data.offers.room.typeEstimated.beds,HotelProduct_EstimatedRoomType,beds,Number of beds in the room (1-9,1
get+shopping_hotel-offers,data.offers.roomQuantity,HotelOffer,roomQuantity,number of rooms (1-9,1
get+shopping_hotel-offers,data.offers.price.variations.changes.endDate,HotelProduct_PriceVariation,endDate,"End date of the period
Format: YYYY-MM-DD, schema: {""type"": ""string"", ""format"": ""date""}",1
get+shopping_hotel-offers,data.offers.policies.guarantee.acceptedPayments.creditCards,HotelProduct_PaymentPolicy,creditCards,"Accepted Payment Card Types for the `method` CREDIT_CARD, schema: {""type"": ""array"", ""minLength"": 2, ""maxLength"": 2}",1
get+shopping_hotel-offers,data.offers.policies.deposit.acceptedPayments.creditCards,HotelProduct_PaymentPolicy,creditCards,"Accepted Payment Card Types for the `method` CREDIT_CARD, schema: {""type"": ""array"", ""minLength"": 2, ""maxLength"": 2}",1
get+shopping_hotel-offers,data.offers.policies.prepay.acceptedPayments.creditCards,HotelProduct_PaymentPolicy,creditCards,"Accepted Payment Card Types for the `method` CREDIT_CARD, schema: {""type"": ""array"", ""minLength"": 2, ""maxLength"": 2}",1
get+shopping_hotel-offers,data.type,HotelOffers,type,the type of the object (hotel-offers,1
get+shopping_hotel-offers,data.offers.policies.cancellation.numberOfNights,HotelProduct_CancellationPolicy,numberOfNights,"Number of nights due as fee in case of cancellation, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+shopping_hotel-offers,data.hotel.hotelId,Hotel,hotelId,Amadeus Property Code (8 chars,1
get+shopping_hotel-offers,data.offers.guests.childAges,HotelProduct_Guests,childAges,"Comma separated list of ages of each child at the time of check-out from the hotel. If several children have the same age, the ages will be repeated, schema: {""type"": ""array"", ""minimum"": 0, ""maximum"": 20}",1
get+shopping_hotel-offers,data.offers.rateFamilyEstimated.type,HotelProduct_RateFamily,type,"The type of the rate (public=P, negotiated=N, conditional=C",1
