endpoint,group,response resource,attribute,description,tp
get+v1_public_comics_{comicid},data.results.id,Comic,id,Attribute comicId is responded to by parameter Comic with a description: A single comic,1
get+v1_public_comics_{comicid},data.results.pageCount,Comic,pageCount,"The number of story pages in the comic, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+v1_public_comics_{comicid},data.results.ean,Comic,ean,The EAN barcode for the comic,1
get+v1_public_comics_{comicid},data.results.stories.returned,StoryList,returned,The number of stories returned in this collection (up to 20,1
get+v1_public_comics_{comicid},data.results.textObjects.language,TextObject,language,The IETF language tag denoting the language the text object is written in,1
get+v1_public_comics_{comicid},data.results.digitalId,Comic,digitalId,"The ID of the digital comic representation of this comic. Will be 0 if the comic is not available digitally, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+v1_public_comics_{comicid},data.results.creators.available,CreatorList,available,"The number of total available creators in this list. Will always be greater than or equal to the ""returned"" value, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+v1_public_comics_{comicid},data.results.events.available,EventList,available,"The number of total available events in this list. Will always be greater than or equal to the ""returned"" value, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+v1_public_comics_{comicid},data.limit,ComicDataContainer,limit,"The requested result limit, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+v1_public_comics_{comicid},data.results.id,Comic,id,"The unique ID of the comic resource, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+v1_public_comics_{comicid},data.results.textObjects.type,TextObject,type,"The canonical type of the text object (e.g. solicit text, preview text, etc.",1
get+v1_public_comics_{comicid},code,ComicDataWrapper,code,"The HTTP status code of the returned result, schema: {""type"": ""integer"", ""format"": ""int32""}",0
get+v1_public_comics_{comicid},data.results.urls.type,Url,type,"A text identifier for the URL, schema: {""type"": ""string"", ""format"": ""uri""}",1
get+v1_public_comics_{comicid},data.results.creators.returned,CreatorList,returned,The number of creators returned in this collection (up to 20,1
get+v1_public_comics_{comicid},data.results.resourceURI,Comic,resourceURI,"The canonical URL identifier for this resource, schema: {""type"": ""string"", ""format"": ""uri""}",1
get+v1_public_comics_{comicid},data.results.events.returned,EventList,returned,The number of events returned in this collection (up to 20,1
get+v1_public_comics_{comicid},data.results.characters.collectionURI,CharacterList,collectionURI,The path to the full list of characters in this collection,0
get+v1_public_comics_{comicid},data.results.events.collectionURI,EventList,collectionURI,The path to the full list of events in this collection,0
get+v1_public_comics_{comicid},data.results.creators.collectionURI,CreatorList,collectionURI,The path to the full list of creators in this collection,0
get+v1_public_comics_{comicid},data.results.format,Comic,format,"The publication format of the comic e.g. comic, hardcover, trade paperback",1
get+v1_public_comics_{comicid},data.results.characters.available,CharacterList,available,"The number of total available characters in this list. Will always be greater than or equal to the ""returned"" value, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+v1_public_comics_{comicid},data.count,ComicDataContainer,count,"The total number of results returned by this call, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+v1_public_comics_{comicid},data.results.characters.returned,CharacterList,returned,The number of characters returned in this collection (up to 20,1
get+v1_public_comics_{comicid},data.results.creators.items.resourceURI,CreatorSummary,resourceURI,The path to the individual creator resource,1
get+v1_public_comics_{comicid},data.results.issn,Comic,issn,The ISSN barcode for the comic,1
get+v1_public_comics_{comicid},data.results.stories.available,StoryList,available,"The number of total available stories in this list. Will always be greater than or equal to the ""returned"" value, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+v1_public_comics_{comicid},data.total,ComicDataContainer,total,"The total number of resources available given the current filter set, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get+v1_public_comics_{comicid},data.results.dates.date,ComicDate,date,"The date. schema: {""type"": ""string""} schema: {""type"": ""string""}",1
get+v1_public_comics_{comicid},data.results.urls.url,Url,url,"A set of public web site URLs for the resource. schema: {""type"": ""array""} schema: {""type"": ""array""}",1
get+v1_public_comics_{comicid},data.results.diamondCode,Comic,diamondCode,"The Diamond code for the comic. schema: {""type"": ""string""} schema: {""type"": ""string""}",1
get+v1_public_comics_{comicid},data.results.upc,Comic,upc,"The UPC barcode number for the comic (generally only populated for periodical formats). schema: {""type"": ""string""} schema: {""type"": ""string""}",1
