endpoint,group,description,tp
get+youtube_v3_videos,items.ageGating.restricted,Age-restricted trailers. For redband trailers and adult-rated video-games. Only users aged 18+ can view the content. The the field is true the content is restricted to viewers aged 18+. Otherwise The field won't be present,1.0
get+youtube_v3_videos,items.ageGating.videoGameRating,"Video game rating, if any, schema: {""type"": ""string"", ""enum"": [""anyone"", ""m15Plus"", ""m16Plus"", ""m17Plus""]}",1.0
get+youtube_v3_videos,items.contentDetails.caption,"The value of captions indicates whether the video has captions or not, schema: {""type"": ""string"", ""enum"": [""true"", ""false""]}",1.0
get+youtube_v3_videos,items.contentDetails.contentRating.acbRating,"The video's Australian Classification Board (ACB) or Australian Communications and Media Authority (ACMA) rating. ACMA ratings are used to classify children's television programming. schema: {""enum"": [""acbUnspecified"", ""acbE"", ""acbP"", ""acbC"", ""acbG"", ""acbPg"", ""acbM"", ""acbMa15plus"", ""acbR18plus"", ""acbUnrated""], ""type"": ""string""}",1.0
get+youtube_v3_videos,items.contentDetails.contentRating.agcomRating,"The video's rating from Italy's Autorità per le Garanzie nelle Comunicazioni (AGCOM). schema: {""enum"": [""agcomUnspecified"", ""agcomT"", ""agcomVm14"", ""agcomVm18"", ""agcomUnrated""], ""type"": ""string""}",1.0
get+youtube_v3_videos,items.contentDetails.contentRating.anatelRating,"The video's Anatel (Asociación Nacional de Televisión) rating for Chilean television. schema: {""enum"": [""anatelUnspecified"", ""anatelF"", ""anatelI"", ""anatelI7"", ""anatelI10"", ""anatelI12"", ""anatelR"", ""anatelA"", ""anatelUnrated""], ""type"": ""string""}",1.0
get+youtube_v3_videos,items.contentDetails.contentRating.bbfcRating,"The video's British Board of Film Classification (BBFC) rating. schema: {""enum"": [""bbfcUnspecified"", ""bbfcU"", ""bbfcPg"", ""bbfc12a"", ""bbfc12"", ""bbfc15"", ""bbfc18"", ""bbfcR18"", ""bbfcUnrated""], ""type"": ""string""}",1.0
get+youtube_v3_videos,items.contentDetails.contentRating.bfvcRating,"The video's rating from Thailand's Board of Film and Video Censors, schema: {""type"": ""string"", ""enum"": [""bfvcUnspecified"", ""bfvcG"", ""bfvcE"", ""bfvc13"", ""bfvc15"", ""bfvc18"", ""bfvc20"", ""bfvcB"", ""bfvcUnrated""]}
The video's rating from Thailand's Board of Film and Video Censors. schema: {""enum"": [""bfvcUnspecified"", ""bfvcG"", ""bfvcE"", ""bfvc13"", ""bfvc15"", ""bfvc18"", ""bfvc20"", ""bfvcB"", ""bfvcUnrated""], ""type"": ""string""}",1.0
get+youtube_v3_videos,items.contentDetails.contentRating.bmukkRating,"The video's rating from the Austrian Board of Media Classification (Bundesministerium für Unterricht, Kunst und Kultur). schema: {""enum"": [""bmukkUnspecified"", ""bmukkAa"", ""bmukk6"", ""bmukk8"", ""bmukk10"", ""bmukk12"", ""bmukk14"", ""bmukk16"", ""bmukkUnrated""], ""type"": ""string""}",1.0
get+youtube_v3_videos,items.contentDetails.contentRating.catvRating,"Rating system for Canadian TV - Canadian TV Classification System The video's rating from the Canadian Radio-Television and Telecommunications Commission (CRTC
Rating system for Canadian TV - Canadian TV Classification System The video's rating from the Canadian Radio-Television and Telecommunications Commission (CRTC) for Canadian English-language broadcasts. For more information, see the Canadian Broadcast Standards Council website. schema: {""enum"": [""catvUnspecified"", ""catvC"", ""catvC8"", ""catvG"", ""catvPg"", ""catv14plus"", ""catv18plus"", ""catvUnrated"", ""catvE""], ""type"": ""string""}",1.0
