operation,response resource,attribute,group,description,tp
post-/orgs/{org}/repos,repository,compare_url,compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}",1
post-/orgs/{org}/repos,repository,merges_url,merges_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,tags_url,tags_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,license-simple,html_url,license.html_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,subscribers_url,subscribers_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,url,url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,keys_url,keys_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/keys{/key_id}""}",1
post-/orgs/{org}/repos,repository,stargazers_url,stargazers_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,url,owner.url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,url,organization.url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,url,template_repository.owner.url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,url,template_repository.url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,trees_url,trees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/trees{/sha}""}",1
post-/orgs/{org}/repos,repository,hooks_url,hooks_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,pushed_at,pushed_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/orgs/{org}/repos,simple-user,starred_at,owner.starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:55Z\""""}",1
post-/orgs/{org}/repos,simple-user,starred_at,organization.starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:55Z\""""}",1
post-/orgs/{org}/repos,repository,issue_comment_url,issue_comment_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/comments{/number}""}",1
post-/orgs/{org}/repos,repository,ssh_url,ssh_url,"{""type"": ""string"", ""example"": ""git@github.com:octocat/Hello-World.git""}",1
post-/orgs/{org}/repos,repository,homepage,homepage,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,forks_url,forks_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,labels_url,labels_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/labels{/name}""}",1
post-/orgs/{org}/repos,repository,mirror_url,mirror_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,comments_url,comments_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""}",1
post-/orgs/{org}/repos,repository,statuses_url,statuses_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""}",1
post-/orgs/{org}/repos,repository,updated_at,updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/orgs/{org}/repos,repository,downloads_url,downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,received_events_url,owner.received_events_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,received_events_url,organization.received_events_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,received_events_url,template_repository.owner.received_events_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,contributors_url,contributors_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,events_url,owner.events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}",1
post-/orgs/{org}/repos,simple-user,events_url,organization.events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}",1
post-/orgs/{org}/repos,simple-user,events_url,template_repository.owner.events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}",1
post-/orgs/{org}/repos,simple-user,events_url,template_repository.events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}",1
post-/orgs/{org}/repos,repository,git_url,git_url,"{""type"": ""string"", ""example"": ""git:github.com/octocat/Hello-World.git""}",1
post-/orgs/{org}/repos,repository,starred_at,starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:42Z\""""}",1
post-/orgs/{org}/repos,simple-user,gists_url,owner.gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}",1
post-/orgs/{org}/repos,simple-user,gists_url,organization.gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}",1
post-/orgs/{org}/repos,simple-user,gists_url,template_repository.owner.gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}",1
post-/orgs/{org}/repos,simple-user,subscriptions_url,owner.subscriptions_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,subscriptions_url,organization.subscriptions_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,subscriptions_url,template_repository.owner.subscriptions_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,repos_url,owner.repos_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,repos_url,organization.repos_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,repos_url,template_repository.owner.repos_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,contents_url,contents_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""}",1
post-/orgs/{org}/repos,repository,releases_url,releases_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/releases{/id}""}",1
post-/orgs/{org}/repos,repository,html_url,html_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,html_url,owner.html_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,html_url,organization.html_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,html_url,template_repository.owner.html_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,html_url,template_repository.html_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,events_url,events_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,milestones_url,milestones_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/milestones{/number}""}",1
post-/orgs/{org}/repos,repository,collaborators_url,collaborators_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""}",1
post-/orgs/{org}/repos,repository,languages_url,languages_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,git_tags_url,git_tags_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/tags{/sha}""}",1
post-/orgs/{org}/repos,repository,clone_url,clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1
post-/orgs/{org}/repos,simple-user,avatar_url,owner.avatar_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,avatar_url,organization.avatar_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,avatar_url,template_repository.owner.avatar_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,organizations_url,owner.organizations_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,organizations_url,organization.organizations_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,organizations_url,template_repository.owner.organizations_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,following_url,owner.following_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}",1
post-/orgs/{org}/repos,simple-user,following_url,organization.following_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}",1
post-/orgs/{org}/repos,simple-user,following_url,template_repository.owner.following_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}",1
post-/orgs/{org}/repos,license-simple,url,license.url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,deployments_url,deployments_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,id,id,"Unique identifier of the repository, schema: {""type"": ""integer"", ""example"": 42}",0
post-/orgs/{org}/repos,simple-user,followers_url,owner.followers_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,followers_url,organization.followers_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,simple-user,followers_url,template_repository.owner.followers_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,issues_url,issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}",1
post-/orgs/{org}/repos,repository,svn_url,svn_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/orgs/{org}/repos,repository,pulls_url,pulls_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/pulls{/number}""}",1
post-/orgs/{org}/repos,repository,archive_url,archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}",1
post-/orgs/{org}/repos,repository,subscription_url,subscription_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,teams_url,teams_url,"{""type"": ""string"", ""format"": ""uri""}",1
post-/orgs/{org}/repos,repository,assignees_url,assignees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}",1
post-/orgs/{org}/repos,repository,has_downloads,has_downloads,"Whether downloads are enabled, schema: {""type"": ""boolean"", ""example"": true}",0
post-/orgs/{org}/repos,simple-user,starred_url,owner.starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}",1
post-/orgs/{org}/repos,simple-user,starred_url,organization.starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}",1
post-/orgs/{org}/repos,simple-user,starred_url,template_repository.owner.starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}",1
post-/orgs/{org}/repos,repository,commits_url,commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}",1
post-/orgs/{org}/repos,repository,blobs_url,blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1
post-/orgs/{org}/repos,repository,visibility,visibility,"The repository visibility: public, private, or internal",1
post-/orgs/{org}/repos,repository,git_commits_url,git_commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/commits{/sha}""}",1
post-/orgs/{org}/repos,repository,branches_url,branches_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}",1
