operation,response resource,attribute,group,description,tp
get-/orgs/{org}/repos,minimal-repository,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/orgs/{org}/repos,repository,statuses_url,template_repository.statuses_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""}",1
get-/orgs/{org}/repos,repository,statuses_url,template_repository.template_repository.statuses_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""}",1
get-/orgs/{org}/repos,repository,downloads_url,template_repository.downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,downloads_url,template_repository.template_repository.downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,minimal-repository,notifications_url,notifications_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/notifications{?since,all,participating}""}",1
get-/orgs/{org}/repos,repository,blobs_url,template_repository.blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1
get-/orgs/{org}/repos,repository,blobs_url,template_repository.template_repository.blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1
get-/orgs/{org}/repos,repository,languages_url,template_repository.languages_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,languages_url,template_repository.template_repository.languages_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,clone_url,template_repository.clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1
get-/orgs/{org}/repos,repository,clone_url,template_repository.template_repository.clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1
get-/orgs/{org}/repos,repository,commits_url,template_repository.commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}",1
get-/orgs/{org}/repos,repository,commits_url,template_repository.template_repository.commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}",1
get-/orgs/{org}/repos,simple-user,html_url,owner.html_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,minimal-repository,hooks_url,hooks_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,minimal-repository,contents_url,contents_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""}",1
get-/orgs/{org}/repos,repository,starred_at,template_repository.starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:42Z\""""}",1
get-/orgs/{org}/repos,repository,subscribers_url,template_repository.subscribers_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,subscribers_url,template_repository.template_repository.subscribers_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,simple-user,starred_url,owner.starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}",1
get-/orgs/{org}/repos,repository,notifications_url,template_repository.notifications_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/notifications{?since,all,participating}""}",1
get-/orgs/{org}/repos,repository,notifications_url,template_repository.template_repository.notifications_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/notifications{?since,all,participating}""}",1
get-/orgs/{org}/repos,minimal-repository,pushed_at,pushed_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/orgs/{org}/repos,minimal-repository,keys_url,keys_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/keys{/key_id}""}",1
get-/orgs/{org}/repos,minimal-repository,issues_url,issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}",1
get-/orgs/{org}/repos,simple-user,received_events_url,owner.received_events_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,pushed_at,template_repository.pushed_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/orgs/{org}/repos,repository,pushed_at,template_repository.template_repository.pushed_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/orgs/{org}/repos,minimal-repository,downloads_url,downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,tags_url,template_repository.tags_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,tags_url,template_repository.template_repository.tags_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,minimal-repository,blobs_url,blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1
get-/orgs/{org}/repos,repository,forks_url,template_repository.forks_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,forks_url,template_repository.template_repository.forks_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,has_downloads,template_repository.has_downloads,"Whether downloads are enabled, schema: {""type"": ""boolean"", ""example"": true}",1
get-/orgs/{org}/repos,repository,has_downloads,template_repository.template_repository.has_downloads,"Whether downloads are enabled, schema: {""type"": ""boolean"", ""example"": true}",1
get-/orgs/{org}/repos,repository,branches_url,template_repository.branches_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}",1
get-/orgs/{org}/repos,repository,branches_url,template_repository.template_repository.branches_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}",1
get-/orgs/{org}/repos,simple-user,starred_at,owner.starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:55Z\""""}",1
get-/orgs/{org}/repos,minimal-repository,events_url,events_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,issues_url,template_repository.issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}",1
get-/orgs/{org}/repos,repository,issues_url,template_repository.template_repository.issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}",1
get-/orgs/{org}/repos,repository,visibility,template_repository.visibility,"The repository visibility: public, private, or internal",0
get-/orgs/{org}/repos,repository,visibility,template_repository.template_repository.visibility,"The repository visibility: public, private, or internal",0
get-/orgs/{org}/repos,repository,updated_at,template_repository.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/orgs/{org}/repos,repository,updated_at,template_repository.template_repository.updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/orgs/{org}/repos,repository,created_at,template_repository.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/orgs/{org}/repos,repository,created_at,template_repository.template_repository.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/orgs/{org}/repos,minimal-repository,url,url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,homepage,template_repository.homepage,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,homepage,template_repository.template_repository.homepage,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,minimal-repository,compare_url,compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}",1
get-/orgs/{org}/repos,simple-user,node_id,owner.node_id,"{""type"": ""string"", ""example"": ""MDQ6VXNlcjE=""}",0
get-/orgs/{org}/repos,minimal-repository,tags_url,tags_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,contents_url,template_repository.contents_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""}",1
get-/orgs/{org}/repos,repository,contents_url,template_repository.template_repository.contents_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""}",1
get-/orgs/{org}/repos,simple-user,organizations_url,owner.organizations_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,minimal-repository,forks_url,forks_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,url,template_repository.url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,url,template_repository.template_repository.owner.url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,url,template_repository.template_repository.url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,url,license.url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,minimal-repository,releases_url,releases_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/releases{/id}""}",1
get-/orgs/{org}/repos,simple-user,url,owner.url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,minimal-repository,assignees_url,assignees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}",1
get-/orgs/{org}/repos,repository,git_url,template_repository.git_url,"{""type"": ""string"", ""example"": ""git:github.com/octocat/Hello-World.git""}",1
get-/orgs/{org}/repos,repository,git_url,template_repository.template_repository.git_url,"{""type"": ""string"", ""example"": ""git:github.com/octocat/Hello-World.git""}",1
get-/orgs/{org}/repos,repository,mirror_url,template_repository.mirror_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,mirror_url,template_repository.template_repository.mirror_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,minimal-repository,updated_at,updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/orgs/{org}/repos,minimal-repository,archive_url,archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}",1
get-/orgs/{org}/repos,minimal-repository,issue_comment_url,issue_comment_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/comments{/number}""}",1
get-/orgs/{org}/repos,repository,svn_url,template_repository.svn_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,svn_url,template_repository.template_repository.svn_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,simple-user,followers_url,owner.followers_url,"{""type"": ""string"", ""format"": ""uri""}",1
get-/orgs/{org}/repos,repository,keys_url,template_repository.keys_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/keys{/key_id}""}",1
get-/orgs/{org}/repos,repository,keys_url,template_repository.template_repository.keys_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/keys{/key_id}""}",1
get-/orgs/{org}/repos,minimal-repository,teams_url,teams_url,"{""type"": ""string"", ""format"": ""uri""}",1
