endpoint,group,response resource,attribute,description,tp
get+orgs_{org}_repos,created_at,minimal-repository,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get+orgs_{org}_repos,template_repository.statuses_url,repository,statuses_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""}",1
get+orgs_{org}_repos,template_repository.template_repository.statuses_url,repository,statuses_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""}",1
get+orgs_{org}_repos,template_repository.downloads_url,repository,downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.template_repository.downloads_url,repository,downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,notifications_url,minimal-repository,notifications_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/notifications{?since,all,participating}""}",1
get+orgs_{org}_repos,template_repository.blobs_url,repository,blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1
get+orgs_{org}_repos,template_repository.template_repository.blobs_url,repository,blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1
get+orgs_{org}_repos,template_repository.languages_url,repository,languages_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.template_repository.languages_url,repository,languages_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.clone_url,repository,clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1
get+orgs_{org}_repos,template_repository.template_repository.clone_url,repository,clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1
get+orgs_{org}_repos,template_repository.commits_url,repository,commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}",1
get+orgs_{org}_repos,template_repository.template_repository.commits_url,repository,commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}",1
get+orgs_{org}_repos,owner.html_url,simple-user,html_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,hooks_url,minimal-repository,hooks_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,contents_url,minimal-repository,contents_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""}",1
get+orgs_{org}_repos,template_repository.starred_at,repository,starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:42Z\""""}",1
get+orgs_{org}_repos,template_repository.subscribers_url,repository,subscribers_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.template_repository.subscribers_url,repository,subscribers_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,owner.starred_url,simple-user,starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}",1
get+orgs_{org}_repos,template_repository.notifications_url,repository,notifications_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/notifications{?since,all,participating}""}",1
get+orgs_{org}_repos,template_repository.template_repository.notifications_url,repository,notifications_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/notifications{?since,all,participating}""}",1
get+orgs_{org}_repos,pushed_at,minimal-repository,pushed_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get+orgs_{org}_repos,keys_url,minimal-repository,keys_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/keys{/key_id}""}",1
get+orgs_{org}_repos,issues_url,minimal-repository,issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}",1
get+orgs_{org}_repos,owner.received_events_url,simple-user,received_events_url,"{""type"": ""string"", ""format"": ""uri""}",1
