operation,response resource,attribute,group,description,tp
post-/users/{user_id}/playlists,user-profile,type,owner.type,The object type: 'user',1
post-/users/{user_id}/playlists,user-profile,type,tracks.items.added_by.type,The object type: 'user',1
post-/users/{user_id}/playlists,followers,total,owner.followers.total,The total number of followers,0
post-/users/{user_id}/playlists,followers,total,tracks.items.added_by.followers.total,The total number of followers,0
post-/users/{user_id}/playlists,playlist,href,followers.href,A link to the Web API endpoint providing full details of the playlist,1
post-/users/{user_id}/playlists,playlist,href,href,A link to the Web API endpoint providing full details of the playlist,1
post-/users/{user_id}/playlists,playlist,description,description,"The playlist description. Only returned for modified, verified playlists, otherwise null",0
post-/users/{user_id}/playlists,playlist-track-page,total,tracks.total,The total number of items available to return,0
post-/users/{user_id}/playlists,playlist-track-page,next,tracks.next,URL to the next page of items. (null if none,1
post-/users/{user_id}/playlists,image,url,images.url,"The source URL of the image, schema: {""type"": ""string"", ""format"": ""uri""}",0
post-/users/{user_id}/playlists,playlist-track,added_at,tracks.items.added_at,The date and time the track was added in ISO 8601 format. Note that some very old playlists may return null in this field,1
post-/users/{user_id}/playlists,playlist-track-page,previous,tracks.previous,URL to the previous page of items. (null if none,1
post-/users/{user_id}/playlists,playlist-track-page,href,tracks.href,A link to the Web API endpoint returning the full result of the request,1
post-/users/{user_id}/playlists,user-profile,uri,owner.uri,"The Spotify URI for the user, schema: {""type"": ""string"", ""format"": ""uri""}",1
post-/users/{user_id}/playlists,user-profile,uri,tracks.items.added_by.uri,"The Spotify URI for the user, schema: {""type"": ""string"", ""format"": ""uri""}",1
post-/users/{user_id}/playlists,playlist,collaborative,collaborative,True if the owner allows other users to modify the playlist,0
post-/users/{user_id}/playlists,image,height,images.height,The image height in pixels. If unknown: null or not returned,0
post-/users/{user_id}/playlists,playlist,uri,uri,"Spotify URI of the playlist, schema: {""type"": ""string"", ""format"": ""uri""}",1
post-/users/{user_id}/playlists,user-profile,href,owner.href,A link to the Web API endpoint for this user,1
post-/users/{user_id}/playlists,user-profile,href,tracks.items.added_by.href,A link to the Web API endpoint for this user,1
post-/users/{user_id}/playlists,playlist,public,public,"The playlist's public/private status: true the playlist is public, false the playlist is private, null the playlist status is not relevant. For more about public/private status, see Working with Playlists",1
post-/users/{user_id}/playlists,playlist-track,is_local,tracks.items.is_local,Whether this track is a [local file](https://developer.spotify.com/web-api/local-files-spotify-playlists/,1
post-/users/{user_id}/playlists,followers,href,owner.followers.href,A link to the Web API endpoint providing full details of the followers; null if not available,1
post-/users/{user_id}/playlists,followers,href,tracks.items.added_by.followers.href,A link to the Web API endpoint providing full details of the followers; null if not available,1
post-/users/{user_id}/playlists,playlist,type,type,The object type: 'playlist',1
post-/users/{user_id}/playlists,image,width,images.width,The image width in pixels. If unknown: null or not returned,0
