operation,response resource,attribute,group,description,tp
get-/artists/{id}/albums,album-simple,href,items.href,A link to the Web API endpoint providing full details of the album,1
get-/artists/{id}/albums,artist-simple,href,items.artists.href,A link to the Web API endpoint providing full details of the artist,1
get-/artists/{id}/albums,artist-simple,uri,items.artists.uri,"The Spotify URI for the artist, schema: {""type"": ""string"", ""format"": ""uri""}",1
get-/artists/{id}/albums,artist-simple,type,items.artists.type,The object type: 'artist',1
get-/artists/{id}/albums,artist-simple,external_urls,items.artists.external_urls,"Known external URLs for this artist, schema: {""type"": ""object"", ""format"": ""uri""}",0
get-/artists/{id}/albums,album-simple,available_markets,items.available_markets,The markets in which the album is available: ISO 3166-1 alpha-2 country codes. Note that an album is considered available in a market when at least 1 of its tracks is available in that market,1
get-/artists/{id}/albums,album-simple,type,items.external_urls.type,The object type: 'album',1
get-/artists/{id}/albums,album-simple,type,items.type,The object type: 'album',1
get-/artists/{id}/albums,image,url,items.images.url,"The source URL of the image, schema: {""type"": ""string"", ""format"": ""uri""}",1
get-/artists/{id}/albums,album-simple,album_type,items.album_type,"The type of the album: one of 'album', 'single', or 'compilation'",1
get-/artists/{id}/albums,album-simple-page,previous,previous,URL to the previous page of items. (null if none,1
get-/artists/{id}/albums,album-simple-page,href,href,A link to the Web API endpoint returning the full result of the request,1
get-/artists/{id}/albums,image,width,items.images.width,The image width in pixels. If unknown: null or not returned,0
get-/artists/{id}/albums,album-simple-page,next,next,URL to the next page of items. (null if none,1
get-/artists/{id}/albums,image,height,items.images.height,The image height in pixels. If unknown: null or not returned,0
get-/artists/{id}/albums,album-simple,uri,items.uri,"The Spotify URI for the album, schema: {""type"": ""string"", ""format"": ""uri""}",1
get-/artists/{id}/albums,album-simple-page,total,total,The total number of items available to return,0
