endpoint,group,description,tp
post+orgs_{org}_repos,allow_merge_commit,"Attribute allow_merge_commit is responded to by parameter allow_merge_commit with a description: Either `true` to allow merging pull requests with a merge commit, or `false` to prevent merging pull requests with merge commits",0.0
post+orgs_{org}_repos,allow_rebase_merge,"Attribute allow_rebase_merge is responded to by parameter allow_rebase_merge with a description: Either `true` to allow rebase-merging pull requests, or `false` to prevent rebase-merging",1.0
post+orgs_{org}_repos,allow_squash_merge,"Attribute allow_squash_merge is responded to by parameter allow_squash_merge with a description: Either `true` to allow squash-merging pull requests, or `false` to prevent squash-merging",1.0
post+orgs_{org}_repos,archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}",1.0
post+orgs_{org}_repos,assignees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}",1.0
post+orgs_{org}_repos,blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1.0
post+orgs_{org}_repos,branches_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}",1.0
post+orgs_{org}_repos,clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1.0
post+orgs_{org}_repos,collaborators_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""}",1.0
post+orgs_{org}_repos,comments_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""}",1.0
post+orgs_{org}_repos,commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}",1.0
post+orgs_{org}_repos,compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}",1.0
post+orgs_{org}_repos,contents_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""}",1.0
post+orgs_{org}_repos,contributors_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
post+orgs_{org}_repos,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
post+orgs_{org}_repos,delete_branch_on_merge,"Attribute delete_branch_on_merge is responded to by parameter delete_branch_on_merge with a description: Either `true` to allow automatically deleting head branches when pull requests are merged, or `false` to prevent automatic deletion",1.0
post+orgs_{org}_repos,deployments_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
post+orgs_{org}_repos,description,Attribute description is responded to by parameter description with a description: A short description of the repository,1.0
