pptname;invariant;invariantType;variables;postmanAssertion;tp;fp;enter;bug
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.org == return.owner.login;daikon.inv.binary.twoString.StringEqual;(input.org, return.owner.login);pm.expect(input_org).to.eql(return_owner_login);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.org == return.organization.login;daikon.inv.binary.twoString.StringEqual;(input.org, return.organization.login);pm.expect(input_org).to.eql(return_organization_login);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.description == return.description;daikon.inv.binary.twoString.StringEqual;(input.description, return.description);pm.expect(input_description).to.eql(return_description);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.homepage == return.homepage;daikon.inv.binary.twoString.StringEqual;(input.homepage, return.homepage);pm.expect(input_homepage).to.eql(return_homepage);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.visibility == return.visibility;daikon.inv.binary.twoString.StringEqual;(input.visibility, return.visibility);pm.expect(input_visibility).to.eql(return_visibility);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.has_issues == return.has_issues;daikon.inv.binary.twoScalar.IntEqual;(input.has_issues, return.has_issues);pm.expect(input_has_issues).to.eql(return_has_issues);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.has_projects == return.has_projects;daikon.inv.binary.twoScalar.IntEqual;(input.has_projects, return.has_projects);pm.expect(input_has_projects).to.eql(return_has_projects);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.has_wiki == return.has_wiki;daikon.inv.binary.twoScalar.IntEqual;(input.has_wiki, return.has_wiki);pm.expect(input_has_wiki).to.eql(return_has_wiki);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.is_template == return.is_template;daikon.inv.binary.twoScalar.IntEqual;(input.is_template, return.is_template);pm.expect(input_is_template).to.eql(return_is_template);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.license_template == return.license.key;daikon.inv.binary.twoString.StringEqual;(input.license_template, return.license.key);pm.expect(input_license_template).to.eql(return_license_key);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.allow_squash_merge == return.allow_squash_merge;daikon.inv.binary.twoScalar.IntEqual;(input.allow_squash_merge, return.allow_squash_merge);pm.expect(input_allow_squash_merge).to.eql(return_allow_squash_merge);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.allow_merge_commit == return.allow_merge_commit;daikon.inv.binary.twoScalar.IntEqual;(input.allow_merge_commit, return.allow_merge_commit);pm.expect(input_allow_merge_commit).to.eql(return_allow_merge_commit);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.allow_rebase_merge == return.allow_rebase_merge;daikon.inv.binary.twoScalar.IntEqual;(input.allow_rebase_merge, return.allow_rebase_merge);pm.expect(input_allow_rebase_merge).to.eql(return_allow_rebase_merge);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.delete_branch_on_merge == return.delete_branch_on_merge;daikon.inv.binary.twoScalar.IntEqual;(input.delete_branch_on_merge, return.delete_branch_on_merge);pm.expect(input_delete_branch_on_merge).to.eql(return_delete_branch_on_merge);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.squash_merge_commit_title == return.squash_merge_commit_title;daikon.inv.binary.twoString.StringEqual;(input.squash_merge_commit_title, return.squash_merge_commit_title);pm.expect(input_squash_merge_commit_title).to.eql(return_squash_merge_commit_title);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.squash_merge_commit_message == return.squash_merge_commit_message;daikon.inv.binary.twoString.StringEqual;(input.squash_merge_commit_message, return.squash_merge_commit_message);pm.expect(input_squash_merge_commit_message).to.eql(return_squash_merge_commit_message);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.merge_commit_title == return.merge_commit_title;daikon.inv.binary.twoString.StringEqual;(input.merge_commit_title, return.merge_commit_title);pm.expect(input_merge_commit_title).to.eql(return_merge_commit_title);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;input.merge_commit_message == return.merge_commit_message;daikon.inv.binary.twoString.StringEqual;(input.merge_commit_message, return.merge_commit_message);pm.expect(input_merge_commit_message).to.eql(return_merge_commit_message);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;return.forks == return.forks_count;daikon.inv.binary.twoScalar.IntEqual;(return.forks, return.forks_count);pm.expect(return_forks).to.eql(return_forks_count);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;return.forks == return.stargazers_count;daikon.inv.binary.twoScalar.IntEqual;(return.forks, return.stargazers_count);pm.expect(return_forks).to.eql(return_stargazers_count);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;return.forks == return.watchers_count;daikon.inv.binary.twoScalar.IntEqual;(return.forks, return.watchers_count);pm.expect(return_forks).to.eql(return_watchers_count);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;return.forks == return.size;daikon.inv.binary.twoScalar.IntEqual;(return.forks, return.size);pm.expect(return_forks).to.eql(return_size);1;0;0;0
/orgs/{org}/repos&createOrganizationRepository&201():::EXIT;return.forks == return.open_issues_count;daikon.inv.binary.twoScalar.IntEqual;(return.forks, return.open_issues_count);pm.expect(return_forks).to.eql(return_open_issues_count);1;0;0;0
