group,invariant,invariantType,variables,pptname,tp
data,size(input.hotelIds[]) >= size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(size(input.hotelIds[..]), size(return.data[..]))",/shopping/hotel-offers&getMultiHotelOffers&200():::EXIT,1.0
data.hotel.chainCode,LENGTH(return.hotel.chainCode)==2,daikon.inv.unary.string.FixedLengthString,(return.hotel.chainCode),/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT,1.0
data.hotel.cityCode,LENGTH(return.hotel.cityCode)==3,daikon.inv.unary.string.FixedLengthString,(return.hotel.cityCode),/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT,1.0
data.hotel.dupeId,"LENGTH(return.hotel.dupeId)==9
return.hotel.dupeId is Numeric","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsNumeric","(return.hotel.dupeId)
(return.hotel.dupeId)","/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT",1.0
data.hotel.hotelId,"LENGTH(return.hotel.hotelId)==8
return.hotel.hotelId in input.hotelIds[]
return.hotel.chainCode is a substring of return.hotel.hotelId
return.hotel.cityCode is a substring of return.hotel.hotelId","daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.sequenceString.MemberString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.hotel.hotelId)
(input.hotelIds[..], return.hotel.hotelId)
(return.hotel.hotelId, return.hotel.chainCode)
(return.hotel.hotelId, return.hotel.cityCode)","/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT",1.0
data.hotel.type,"return.hotel.type == ""hotel""
LENGTH(return.hotel.type)==5","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.hotel.type)
(return.hotel.type)","/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT",1.0
data.offers,size(return.offers[]) >= 1,daikon.inv.unary.scalar.LowerBound,(size(return.offers[..])),/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT,1.0
data.offers.boardType,"input.boardType == return.boardType
return.boardType one of { ""BREAKFAST"", ""HALF_BOARD"", ""ROOM_ONLY"" }","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString","(input.boardType, return.boardType)
(return.boardType)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",0.0
data.offers.category,"return.category one of { ""GOV"", ""MIL"" }
LENGTH(return.category)==3
return.category is a substring of return.room.description.text","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.category)
(return.category)
(return.category, return.room.description.text)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",0.3333333333333333
data.offers.checkInDate,"input.checkInDate == return.checkInDate
return.checkInDate one of { ""2022-09-20"", ""2022-09-21"", ""2022-09-22"" }
return.checkInDate is a Date. Format: YYYY/MM/DD
return.checkInDate is a substring of return.policies.holdTime.deadline","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.dates.IsDateYYYYMMDD
daikon.inv.binary.twoString.StdString$SubString","(input.checkInDate, return.checkInDate)
(return.checkInDate)
(return.checkInDate)
(return.checkInDate, return.policies.holdTime.deadline)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",0.75
data.offers.checkOutDate,"input.checkOutDate == return.checkOutDate
return.checkOutDate is a Date. Format: YYYY/MM/DD","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.dates.IsDateYYYYMMDD","(input.checkOutDate, return.checkOutDate)
(return.checkOutDate)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",1.0
data.offers.commission.amount,"return.commission.amount == ""1.78""
LENGTH(return.commission.amount)==4
return.commission.amount is Numeric","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsNumeric","(return.commission.amount)
(return.commission.amount)
(return.commission.amount)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",0.3333333333333333
data.offers.commission.percentage,"return.commission.percentage one of { ""10"", ""10.00"", ""8"" }
return.commission.percentage is Numeric","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.IsNumeric","(return.commission.percentage)
(return.commission.percentage)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",0.5
