group,invariant,invariantType,variables,pptname,tp
data,size(input.hotelIds[]) >= size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(size(input.hotelIds[..]), size(return.data[..]))",/shopping/hotel-offers&getMultiHotelOffers&200():::EXIT,1.0
data.hotel.chainCode,LENGTH(return.hotel.chainCode)==2,daikon.inv.unary.string.FixedLengthString,(return.hotel.chainCode),/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT,1.0
data.hotel.cityCode,LENGTH(return.hotel.cityCode)==3,daikon.inv.unary.string.FixedLengthString,(return.hotel.cityCode),/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT,1.0
data.hotel.dupeId,"LENGTH(return.hotel.dupeId)==9
return.hotel.dupeId is Numeric","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsNumeric","(return.hotel.dupeId)
(return.hotel.dupeId)","/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT",1.0
data.hotel.hotelId,"LENGTH(return.hotel.hotelId)==8
return.hotel.hotelId in input.hotelIds[]
return.hotel.chainCode is a substring of return.hotel.hotelId
return.hotel.cityCode is a substring of return.hotel.hotelId","daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.sequenceString.MemberString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.hotel.hotelId)
(input.hotelIds[..], return.hotel.hotelId)
(return.hotel.hotelId, return.hotel.chainCode)
(return.hotel.hotelId, return.hotel.cityCode)","/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT",1.0
data.hotel.type,"return.hotel.type == ""hotel""
LENGTH(return.hotel.type)==5","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.hotel.type)
(return.hotel.type)","/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT",1.0
data.offers,size(return.offers[]) >= 1,daikon.inv.unary.scalar.LowerBound,(size(return.offers[..])),/shopping/hotel-offers&getMultiHotelOffers&200&data():::EXIT,1.0
data.offers.checkOutDate,"input.checkOutDate == return.checkOutDate
return.checkOutDate is a Date. Format: YYYY/MM/DD","daikon.inv.binary.twoString.StringEqual
daikon.inv.unary.string.dates.IsDateYYYYMMDD","(input.checkOutDate, return.checkOutDate)
(return.checkOutDate)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",1.0
data.offers.guests.adults,input.adults == return.guests.adults,daikon.inv.binary.twoScalar.IntEqual,"(input.adults, return.guests.adults)",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,1.0
data.offers.id,"LENGTH(return.id)==10
return.id is a substring of return.self","daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.id)
(return.id, return.self)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",1.0
data.offers.policies.cancellation.amount,return.policies.cancellation.amount is Numeric,daikon.inv.unary.string.IsNumeric,(return.policies.cancellation.amount),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,1.0
data.offers.policies.cancellation.deadline,"LENGTH(return.policies.cancellation.deadline)==25
return.policies.cancellation.deadline is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.policies.cancellation.deadline)
(return.policies.cancellation.deadline)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",1.0
data.offers.policies.cancellation.type,"return.policies.cancellation.type == ""FULL_STAY""
LENGTH(return.policies.cancellation.type)==9","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.policies.cancellation.type)
(return.policies.cancellation.type)","/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT",1.0
data.offers.price.base,return.price.base is Numeric,daikon.inv.unary.string.IsNumeric,(return.price.base),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,1.0
data.offers.price.currency,LENGTH(return.price.currency)==3,daikon.inv.unary.string.FixedLengthString,(return.price.currency),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT,1.0
data.offers.price.taxes.amount,return.amount is Numeric,daikon.inv.unary.string.IsNumeric,(return.amount),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT,1.0
data.offers.price.taxes.currency,LENGTH(return.currency)==3,daikon.inv.unary.string.FixedLengthString,(return.currency),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT,1.0
data.offers.price.taxes.percentage,return.percentage is Numeric,daikon.inv.unary.string.IsNumeric,(return.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT,1.0
data.offers.price.taxes.pricingFrequency,"return.pricingFrequency one of { ""PER_NIGHT"", ""PER_STAY"" }",daikon.inv.unary.string.OneOfString,(return.pricingFrequency),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT,1.0
