group,invariant,invariantType,variables,pptname,tp
collaborative,input.collaborative == return.collaborative,daikon.inv.binary.twoScalar.IntEqual,"(input.collaborative, return.collaborative)",/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
description,input.description == return.description,daikon.inv.binary.twoString.StringEqual,"(input.description, return.description)",/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
external_urls.spotify,"LENGTH(return.external_urls.spotify)==56
return.external_urls.spotify is Url
return.id is a substring of return.external_urls.spotify
return.type is a substring of return.external_urls.spotify","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.external_urls.spotify)
(return.external_urls.spotify)
(return.external_urls.spotify, return.id)
(return.external_urls.spotify, return.type)","/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT",1.0
followers.total,"return.followers.total == return.tracks.offset
return.followers.total == return.tracks.total
return.followers.total == size(return.images[])
return.followers.total == size(return.tracks.items[])","daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual
daikon.inv.binary.twoScalar.IntEqual","(return.followers.total, return.tracks.offset)
(return.followers.total, return.tracks.total)
(return.followers.total, size(return.images[..]))
(return.followers.total, size(return.tracks.items[..]))","/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT",1.0
href,"LENGTH(return.href)==59
return.href is Url
return.id is a substring of return.href
return.href is a substring of return.tracks.href
return.type is a substring of return.href","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.href)
(return.href)
(return.href, return.id)
(return.href, return.tracks.href)
(return.href, return.type)","/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT",1.0
id,"LENGTH(return.id)==22
return.id is a substring of return.uri","daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.id)
(return.id, return.uri)","/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT",1.0
images,return.images[] == [],daikon.inv.unary.sequence.OneOfSequence,(return.images[..]),/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
name,input.name == return.name,daikon.inv.binary.twoString.StringEqual,"(input.name, return.name)",/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
owner.external_urls.spotify,"return.owner.external_urls.spotify is Url
input.user_id is a substring of return.owner.external_urls.spotify
return.owner.type is a substring of return.owner.external_urls.spotify","daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.owner.external_urls.spotify)
(input.user_id, return.owner.external_urls.spotify)
(return.owner.external_urls.spotify, return.owner.type)","/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT",1.0
owner.followers,return.owner.followers == null,daikon.inv.unary.scalar.OneOfScalar,(return.owner.followers),/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
owner.href,"return.owner.href is Url
input.user_id is a substring of return.owner.href
return.owner.type is a substring of return.owner.href","daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.owner.href)
(input.user_id, return.owner.href)
(return.owner.href, return.owner.type)","/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT",1.0
owner.id,input.user_id == return.owner.id,daikon.inv.binary.twoString.StringEqual,"(input.user_id, return.owner.id)",/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
owner.type,"return.owner.type == ""user""
LENGTH(return.owner.type)==4
return.owner.type is a substring of return.owner.uri","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.owner.type)
(return.owner.type)
(return.owner.type, return.owner.uri)","/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT",1.0
owner.uri,input.user_id is a substring of return.owner.uri,daikon.inv.binary.twoString.StdString$SubString,"(input.user_id, return.owner.uri)",/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
public,input.public == return.public,daikon.inv.binary.twoScalar.IntEqual,"(input.public, return.public)",/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
snapshot_id,LENGTH(return.snapshot_id)==56,daikon.inv.unary.string.FixedLengthString,(return.snapshot_id),/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
tracks.href,"LENGTH(return.tracks.href)==66
return.tracks.href is Url","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl","(return.tracks.href)
(return.tracks.href)","/users/{user_id}/playlists&createPlaylist&201():::EXIT
/users/{user_id}/playlists&createPlaylist&201():::EXIT",1.0
tracks.items,return.tracks.items[] == [],daikon.inv.unary.sequence.OneOfSequence,(return.tracks.items[..]),/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
tracks.limit,return.tracks.limit == 100,daikon.inv.unary.scalar.OneOfScalar,(return.tracks.limit),/users/{user_id}/playlists&createPlaylist&201():::EXIT,1.0
