group,invariant,invariantType,variables,pptname,tp
href,"return.href is Url
input.id is a substring of return.href
input.market is a substring of return.href","daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.href)
(input.id, return.href)
(input.market, return.href)","/artists/{id}/albums&getArtistAlbums&200():::EXIT
/artists/{id}/albums&getArtistAlbums&200():::EXIT
/artists/{id}/albums&getArtistAlbums&200():::EXIT",1.0
items,input.limit >= size(return.items[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.items[..]))",/artists/{id}/albums&getArtistAlbums&200():::EXIT,1.0
items.album_group,return.album_group in input.include_groups[],daikon.inv.binary.sequenceString.MemberString,"(input.include_groups[..], return.album_group)",/artists/{id}/albums&getArtistAlbums&200&items():::EXIT,1.0
items.album_type,"return.album_type one of { ""album"", ""compilation"", ""single"" }",daikon.inv.unary.string.OneOfString,(return.album_type),/artists/{id}/albums&getArtistAlbums&200&items():::EXIT,1.0
items.artists.href,"LENGTH(return.href)==57
return.href is Url
return.id is a substring of return.href
return.type is a substring of return.href","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.href)
(return.href)
(return.href, return.id)
(return.href, return.type)","/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT",1.0
items.artists.id,"LENGTH(return.id)==22
return.id is a substring of return.uri","daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.id)
(return.id, return.uri)","/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT",1.0
items.artists.type,"return.type == ""artist""
LENGTH(return.type)==6
return.type is a substring of return.uri","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.type)
(return.type)
(return.type, return.uri)","/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT
/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT",1.0
items.artists.uri,LENGTH(return.uri)==37,daikon.inv.unary.string.FixedLengthString,(return.uri),/artists/{id}/albums&getArtistAlbums&200&items&artists():::EXIT,1.0
items.href,"LENGTH(return.href)==56
return.href is Url
return.id is a substring of return.href
return.type is a substring of return.href","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.IsUrl
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.href)
(return.href)
(return.href, return.id)
(return.href, return.type)","/artists/{id}/albums&getArtistAlbums&200&items():::EXIT
/artists/{id}/albums&getArtistAlbums&200&items():::EXIT
/artists/{id}/albums&getArtistAlbums&200&items():::EXIT
/artists/{id}/albums&getArtistAlbums&200&items():::EXIT",1.0
items.id,"LENGTH(return.id)==22
return.id is a substring of return.uri","daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.twoString.StdString$SubString","(return.id)
(return.id, return.uri)","/artists/{id}/albums&getArtistAlbums&200&items():::EXIT
/artists/{id}/albums&getArtistAlbums&200&items():::EXIT",1.0
