pptname;invariant;invariantType;variables;postmanAssertion;tp;fp;enter;bug
/businesses/search&getBusinesses&200&businesses&categories():::ENTER;size(input.categories[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.categories[..]));pm.expect(input_categories_size_array).to.be.at.least(1);0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::ENTER;size(input.price[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.price[..]));pm.expect(input_price_size_array).to.be.at.least(1);0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::ENTER;size(input.attributes[]) one of { 1, 2 };daikon.inv.unary.scalar.OneOfScalar;(size(input.attributes[..]));pm.expect([1, 2, 0].includes(input_attributes_size_array)).to.be.true;0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::ENTER;input.limit >= input.offset;daikon.inv.binary.twoScalar.IntGreaterEqual;(input.limit, input.offset);pm.expect(input_limit).to.be.at.least(input_offset);0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::ENTER;input.limit > size(input.categories[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.limit, size(input.categories[..]));pm.expect(input_limit).to.be.greaterThan(input_categories_size_array);0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::ENTER;input.offset >= size(input.categories[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.offset, size(input.categories[..]));pm.expect(input_offset).to.be.at.least(input_categories_size_array);0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::ENTER;input.offset >= size(input.attributes[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.offset, size(input.attributes[..]));pm.expect(input_offset).to.be.at.least(input_attributes_size_array);0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::EXIT;size(input.categories[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.categories[..]));pm.expect(input_categories_size_array).to.be.at.least(1);0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::EXIT;size(input.price[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(input.price[..]));pm.expect(input_price_size_array).to.be.at.least(1);0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::EXIT;size(input.attributes[]) one of { 1, 2 };daikon.inv.unary.scalar.OneOfScalar;(size(input.attributes[..]));pm.expect([1, 2, 0].includes(input_attributes_size_array)).to.be.true;0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::EXIT;input.limit >= input.offset;daikon.inv.binary.twoScalar.IntGreaterEqual;(input.limit, input.offset);pm.expect(input_limit).to.be.at.least(input_offset);0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::EXIT;input.limit > size(input.categories[]);daikon.inv.binary.twoScalar.IntGreaterThan;(input.limit, size(input.categories[..]));pm.expect(input_limit).to.be.greaterThan(input_categories_size_array);0;0;1;0
/businesses/search&getBusinesses&200&businesses&categories():::EXIT;input.offset >= size(input.categories[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.offset, size(input.categories[..]));pm.expect(input_offset).to.be.at.least(input_categories_size_array);0;0;1;0
