group,invariant,invariantType,variables,pptname,tp
etag,LENGTH(return.etag)==27,daikon.inv.unary.string.FixedLengthString,(return.etag),/youtube/v3/videos&getVideos&200():::EXIT,1.0
items.ageGating,return.ageGating == null,daikon.inv.unary.scalar.OneOfScalar,(return.ageGating),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.contentDetails.caption,"return.contentDetails.caption one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.contentDetails.caption),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.contentDetails.countryRestriction,return.contentDetails.countryRestriction == null,daikon.inv.unary.scalar.OneOfScalar,(return.contentDetails.countryRestriction),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.contentDetails.definition,"return.contentDetails.definition one of { ""hd"", ""sd"" }
LENGTH(return.contentDetails.definition)==2","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.contentDetails.definition)
(return.contentDetails.definition)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.contentDetails.dimension,"return.contentDetails.dimension one of { ""2d"", ""3d"" }
LENGTH(return.contentDetails.dimension)==2","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.contentDetails.dimension)
(return.contentDetails.dimension)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.contentDetails.regionRestriction.blocked,"All the elements of return.contentDetails.regionRestriction.blocked[] have LENGTH=2
size(return.contentDetails.regionRestriction.blocked[]) >= 1","daikon.inv.unary.stringsequence.SequenceFixedLengthString
daikon.inv.unary.scalar.LowerBound","(return.contentDetails.regionRestriction.blocked[..])
(size(return.contentDetails.regionRestriction.blocked[..]))","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.etag,LENGTH(return.etag)==27,daikon.inv.unary.string.FixedLengthString,(return.etag),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.fileDetails,return.fileDetails == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.fileDetails.audioStreams,return.fileDetails.audioStreams == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails.audioStreams),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.fileDetails.videoStreams,return.fileDetails.videoStreams == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails.videoStreams),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
