endpoint,group,description
get+orgs_{org}_repos,archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}"
get+orgs_{org}_repos,assignees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}"
get+orgs_{org}_repos,blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}"
get+orgs_{org}_repos,branches_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}"
get+orgs_{org}_repos,collaborators_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""}"
get+orgs_{org}_repos,comments_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""}"
get+orgs_{org}_repos,commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}"
get+orgs_{org}_repos,compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}"
get+orgs_{org}_repos,contents_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""}"
get+orgs_{org}_repos,contributors_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+orgs_{org}_repos,deployments_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,downloads_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,events_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,forks_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,git_commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/commits{/sha}""}"
get+orgs_{org}_repos,git_refs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}"
get+orgs_{org}_repos,git_tags_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/tags{/sha}""}"
get+orgs_{org}_repos,hooks_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,html_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,issue_comment_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/comments{/number}""}"
get+orgs_{org}_repos,issue_events_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/events{/number}""}"
get+orgs_{org}_repos,issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}"
get+orgs_{org}_repos,keys_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/keys{/key_id}""}"
get+orgs_{org}_repos,labels_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/labels{/name}""}"
get+orgs_{org}_repos,languages_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,license.url,"{""type"": ""string"", ""format"": ""uri"", ""nullable"": true, ""example"": ""https://api.github.com/repos/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""nullable"": true, ""example"": ""https://api.github.com/repos/octocat/Hello-World""}"
get+orgs_{org}_repos,merges_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,milestones_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/milestones{/number}""}"
get+orgs_{org}_repos,notifications_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/notifications{?since,all,participating}""}"
get+orgs_{org}_repos,owner.avatar_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""}"
get+orgs_{org}_repos,owner.events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}"
get+orgs_{org}_repos,owner.followers_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""}"
get+orgs_{org}_repos,owner.following_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}"
get+orgs_{org}_repos,owner.gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}"
get+orgs_{org}_repos,owner.html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""}"
get+orgs_{org}_repos,owner.organizations_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""}"
get+orgs_{org}_repos,owner.received_events_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""}"
get+orgs_{org}_repos,owner.repos_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""}"
get+orgs_{org}_repos,owner.starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:55Z\""""}"
get+orgs_{org}_repos,owner.starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}"
get+orgs_{org}_repos,owner.subscriptions_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""}"
get+orgs_{org}_repos,owner.url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""}"
get+orgs_{org}_repos,pulls_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/pulls{/number}""}"
get+orgs_{org}_repos,pushed_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+orgs_{org}_repos,releases_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/releases{/id}""}"
get+orgs_{org}_repos,stargazers_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,statuses_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""}"
get+orgs_{org}_repos,subscribers_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,subscription_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,tags_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,teams_url,"{""type"": ""string"", ""format"": ""uri""}"
get+orgs_{org}_repos,template_repository.archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}"
get+orgs_{org}_repos,template_repository.assignees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}"
get+orgs_{org}_repos,template_repository.blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}"
get+orgs_{org}_repos,template_repository.branches_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}"
get+orgs_{org}_repos,template_repository.clone_url,"{""type"": ""string""} schema: {""type"": ""string""}"
get+orgs_{org}_repos,template_repository.collaborators_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""}"
get+orgs_{org}_repos,template_repository.comments_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""}"
get+orgs_{org}_repos,template_repository.commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}"
get+orgs_{org}_repos,template_repository.compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""} schema: {""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}"
