operation,response resource,attribute,group,description
get-/orgs/{org}/repos,simple-user,avatar_url,owner.avatar_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/images/error/octocat_happy.gif""}"
get-/orgs/{org}/repos,simple-user,url,owner.url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat""}"
get-/orgs/{org}/repos,simple-user,html_url,owner.html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat""}"
get-/orgs/{org}/repos,simple-user,followers_url,owner.followers_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/followers""}"
get-/orgs/{org}/repos,simple-user,following_url,owner.following_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}"
get-/orgs/{org}/repos,simple-user,gists_url,owner.gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}"
get-/orgs/{org}/repos,simple-user,starred_url,owner.starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}"
get-/orgs/{org}/repos,simple-user,subscriptions_url,owner.subscriptions_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/subscriptions""}"
get-/orgs/{org}/repos,simple-user,organizations_url,owner.organizations_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/orgs""}"
get-/orgs/{org}/repos,simple-user,repos_url,owner.repos_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/repos""}"
get-/orgs/{org}/repos,simple-user,events_url,owner.events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""} schema: {""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}"
get-/orgs/{org}/repos,simple-user,received_events_url,owner.received_events_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://api.github.com/users/octocat/received_events""}"
get-/orgs/{org}/repos,repository,html_url,template_repository.html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""}"
get-/orgs/{org}/repos,repository,html_url,template_repository.template_repository.owner.html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""}"
get-/orgs/{org}/repos,repository,html_url,template_repository.template_repository.html_url,"{""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""example"": ""https://github.com/octocat/Hello-World""}"
get-/orgs/{org}/repos,repository,url,template_repository.url,"{""type"": ""string"", ""format"": ""uri"", ""nullable"": true, ""example"": ""https://api.github.com/repos/octocat/Hello-World""} schema: {""type"": ""string"", ""format"": ""uri"", ""nullable"": true, ""example"": ""https://api.github.com/repos/octocat/Hello-World""}"
