operation,response resource,attribute,group,description
get-/shopping/hotel-offers,HotelOffer,id,data.offers.id,"Unique identifier of this offer. Might be valid for a temporary period only. schema: {""example"": ""63A93695B58821ABB0EC2B33FE9FAB24D72BF34B1BD7D707293763D8D9378FC3"", ""type"": ""string"", ""minLength"": 2, ""maxLength"": 100, ""pattern"": ""^[A-Z0-9]*$""} schema: {""example"": ""63A93695B58821ABB0EC2B33FE9FAB24D72BF34B1BD7D707293763D8D9378FC3"", ""type"": ""string"", ""minLength"": 2, ""maxLength"": 100, ""pattern"": ""^[A-Z0-9]*$""}"
get-/shopping/hotel-offers,HotelOffer,checkInDate,data.offers.checkInDate,"check-in date of the stay (hotel local date). Format YYYY-MM-DD
The lowest accepted value is today date (no dates in the past). schema: {""example"": ""2020-12-30"", ""type"": ""string"", ""format"": ""date""} schema: {""example"": ""2020-12-30"", ""type"": ""string"", ""format"": ""date""}"
get-/shopping/hotel-offers,HotelOffer,checkOutDate,data.offers.checkOutDate,"check-out date of the stay (hotel local date). Format YYYY-MM-DD
The lowest accepted value is `checkInDate`+1. schema: {""example"": ""2020-12-31"", ""type"": ""string"", ""format"": ""date""} schema: {""example"": ""2020-12-31"", ""type"": ""string"", ""format"": ""date""}"
get-/shopping/hotel-offers,HotelOffer,roomQuantity,data.offers.roomQuantity,"number of rooms (1-9) schema: {""example"": ""1"", ""type"": ""string""} schema: {""example"": ""1"", ""type"": ""string""}"
get-/shopping/hotel-offers,HotelOffer,rateCode,data.offers.rateCode,"Special Rate - Provider Response Code (3 chars)
Examples

  * RAC - Rack

  * BAR - Best Available Rate

  * PRO - Promotional

  * COR - Corporate

  * GOV - Government (qualified)

  * AAA - AAA (qualified)

  * BNB - Bed and Breakfast

  * PKG - Package

  * TVL - Travel Industry

  * SPC - Special Promo Rate

  * WKD - Weekend

  * CON - Convention

  * SNR - Senior (Europe) (qualified)

  * ARP - AARP - American Association of Retired People (50+) (qualified)

  * SRS - Senior (qualified)

  * ROR - Room Only Rate (no breakfast)

  * FAM - Family

  * DAY - Day rate schema: {""example"": ""RAC"", ""type"": ""string"", ""minLength"": 3, ""maxLength"": 3, ""pattern"": ""^[A-Z0-9*]{3}$""} schema: {""example"": ""RAC"", ""type"": ""string"", ""minLength"": 3, ""maxLength"": 3, ""pattern"": ""^[A-Z0-9*]{3}$""}"
get-/shopping/hotel-offers,HotelProduct_RateFamily,code,data.offers.rateFamilyEstimated.code,"The estimated rate family (PRO,FAM,GOV) schema: {""type"": ""string"", ""pattern"": ""[A-Z0-9]{3}""} schema: {""type"": ""string"", ""pattern"": ""[A-Z0-9]{3}""}"
get-/shopping/hotel-offers,HotelProduct_RateFamily,type,data.offers.rateFamilyEstimated.type,"The type of the rate (public=P, negotiated=N, conditional=C) schema: {""type"": ""string"", ""pattern"": ""[PNC]""} schema: {""type"": ""string"", ""pattern"": ""[PNC]""}"
get-/shopping/hotel-offers,HotelOffer,category,data.offers.category,"Special Rate Category
Examples:
  ASSOCIATION
  FAMILY_PLAN schema: {""example"": ""FAMILY_PLAN"", ""type"": ""string""} schema: {""example"": ""FAMILY_PLAN"", ""type"": ""string""}"
get-/shopping/hotel-offers,QualifiedFreeText,lang,data.offers.description.lang,"see RFC 5646 schema: {""example"": ""fr-FR"", ""type"": ""string""} schema: {""example"": ""fr-FR"", ""type"": ""string""}"
get-/shopping/hotel-offers,QualifiedFreeText,lang,data.offers.commission.description.lang,"see RFC 5646 schema: {""example"": ""fr-FR"", ""type"": ""string""} schema: {""example"": ""fr-FR"", ""type"": ""string""}"
