operation,response resource,attribute,group,description
get-/,Response,Response,Response,"{""type"": ""string"", ""enum"": [""True"", ""False""], ""example"": ""True""} schema: {""type"": ""string"", ""enum"": [""True"", ""False""], ""example"": ""True""}"
get-/,Response,Year,Year,"{""type"": ""string"", ""example"": 2013} schema: {""type"": ""string"", ""example"": 2013}"
get-/,Response,Released,Released,"{""type"": ""string"", ""example"": ""12 Jun 2013""} schema: {""type"": ""string"", ""example"": ""12 Jun 2013""}"
get-/,Response,Value,Ratings.Value,"{""type"": ""string"", ""example"": ""6.6/10""} schema: {""type"": ""string"", ""example"": ""6.6/10""}"
get-/,Response,Metascore,Metascore,"{""type"": ""string"", ""example"": 67} schema: {""type"": ""string"", ""example"": 67}"
get-/,Response,imdbVotes,imdbVotes,"{""type"": ""string"", ""example"": ""370,080""} schema: {""type"": ""string"", ""example"": ""370,080""}"
get-/,Response,imdbID,imdbID,"{""type"": ""string"", ""example"": ""tt1245492""} schema: {""type"": ""string"", ""example"": ""tt1245492""}"
get-/,Response,DVD,DVD,"{""type"": ""string"", ""example"": ""01 Oct 2013""} schema: {""type"": ""string"", ""example"": ""01 Oct 2013""}"
get-/,Response,BoxOffice,BoxOffice,"{""type"": ""string"", ""example"": ""$96,200,000""} schema: {""type"": ""string"", ""example"": ""$96,200,000""}"
get-/,Response,Runtime,Runtime,"{""type"": ""string"", ""example"": ""107 min""} schema: {""type"": ""string"", ""example"": ""107 min""}"
get-/,Response,Poster,Poster,"{""type"": ""string"", ""example"": ""https://m.media-amazon.com/images/M/MV5BMTQxODE3NjM1Ml5BMl5BanBnXkFtZTcwMzkzNjc4OA@@._V1_SX300.jpg""}"
get-/,Response,seriesID,seriesID,"{""type"": ""string"", ""example"": ""tt0341939""}"
