endpoint,group,description
get+albums_{id}_tracks,href,"A link to the Web API endpoint returning the full result of the request. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+albums_{id}_tracks,items.artists.href,A link to the Web API endpoint providing full details of the artist
get+albums_{id}_tracks,items.artists.id,"The Spotify ID for the artist. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+albums_{id}_tracks,items.artists.type,"The object type: 'artist' schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+albums_{id}_tracks,items.artists.uri,"The Spotify URI for the artist. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+albums_{id}_tracks,items.available_markets,"A list of the countries in which the track can be played, identified by their ISO 3166-1 alpha-2 code"
get+albums_{id}_tracks,items.duration_ms,"The track length in milliseconds. schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
get+albums_{id}_tracks,items.explicit,Whether or not the track has explicit lyrics (true = yes it does; false = no it does not OR unknown
get+albums_{id}_tracks,items.href,A link to the Web API endpoint providing full details of the track
get+albums_{id}_tracks,items.is_local,"Is local schema: {""type"": ""boolean""} schema: {""type"": ""boolean""}"
get+albums_{id}_tracks,items.linked_from.href,A link to the Web API endpoint providing full details of the artist
get+albums_{id}_tracks,items.linked_from.id,"The Spotify ID for the artist. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+albums_{id}_tracks,items.linked_from.type,"The object type: 'artist' schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+albums_{id}_tracks,items.linked_from.uri,"The Spotify URI for the artist. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+albums_{id}_tracks,items.preview_url,"A URL to a 30 second preview (MP3 format) of the track. schema: {""type"": ""string"", ""x-nullable"": true} schema: {""type"": ""string"", ""x-nullable"": true}"
get+albums_{id}_tracks,items.type,The object type: 'track'
get+albums_{id}_tracks,items.uri,"The Spotify URI for the track. schema: {""type"": ""string""} schema: {""type"": ""string""}"
get+albums_{id}_tracks,limit,"Attribute limit is responded to by parameter limit with a description: The maximum number of items to return
The maximum number of items in the response (as set in the query or by default). schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
get+albums_{id}_tracks,next,"URL to the next page of items. (null if none) schema: {""type"": ""string"", ""x-nullable"": true} schema: {""type"": ""string"", ""x-nullable"": true}"
get+albums_{id}_tracks,offset,"Attribute offset is responded to by parameter offset with a description: The index of the first item to return
The offset of the items returned (as set in the query or by default). schema: {""type"": ""integer""} schema: {""type"": ""integer""}"
get+albums_{id}_tracks,previous,"URL to the previous page of items. (null if none) schema: {""type"": ""string"", ""x-nullable"": true} schema: {""type"": ""string"", ""x-nullable"": true}"
