,group,invariant,endpoint,description,tp
0,archive_url,return.archive_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}",1.0
1,assignees_url,return.assignees_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}",1.0
2,blobs_url,return.blobs_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1.0
3,branches_url,return.branches_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}",1.0
4,clone_url,return.clone_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1.0
5,collaborators_url,return.collaborators_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""}",1.0
6,comments_url,return.comments_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""}",1.0
7,compare_url,return.compare_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}",1.0
8,delete_branch_on_merge,input.delete_branch_on_merge == return.delete_branch_on_merge,post+orgs_{org}_repos,"Attribute delete_branch_on_merge is responded to by parameter repository with a description: Either `true` to allow automatically deleting head branches when pull requests are merged, or `false` to prevent automatic deletion",1.0
9,deployments_url,return.deployments_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
10,description,input.description == return.description,post+orgs_{org}_repos,Attribute description is responded to by parameter repository with a description: A short description of the repository,1.0
11,downloads_url,return.downloads_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
12,events_url,return.events_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
13,forks_url,return.forks_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
14,git_commits_url,return.git_commits_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/commits{/sha}""}",1.0
15,git_refs_url,return.git_refs_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}",1.0
16,has_wiki,input.has_wiki == return.has_wiki,post+orgs_{org}_repos,Attribute has_wiki is responded to by parameter repository with a description: Either `true` to enable the wiki for this repository or `false` to disable it,1.0
17,homepage,input.homepage == return.homepage,post+orgs_{org}_repos,"Attribute homepage is responded to by parameter repository with a description: A URL with more information about the repository
{""type"": ""string"", ""format"": ""uri""}",1.0
18,hooks_url,return.hooks_url is Url,post+orgs_{org}_repos,"{""type"": ""string"", ""format"": ""uri""}",1.0
