operation,response resource,attribute,group,description,tp,verification script,status,script confirmation,revised script,revised executable script,revised status,TP
post-/orgs/{org}/repos,repository,has_downloads,has_downloads,"Whether downloads are enabled, schema: {""type"": ""boolean"", ""example"": true}",0,"def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        # Check if 'has_downloads' exists in the response_x000D_
        if 'has_downloads' not in latest_response:_x000D_
            return 0_x000D_
        _x000D_
        # Check if 'has_downloads' is a boolean_x000D_
        if isinstance(latest_response['has_downloads'], bool):_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except Exception as e:_x000D_
        return -1_x000D_
",unknown,,,,,0
post-/orgs/{org}/repos,repository,deployments_url,deployments_url,"{""type"": ""string"", ""format"": ""uri""}",1,"from urllib.parse import urlparse_x000D_
_x000D_
def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        deployments_url = latest_response.get(""deployments_url"")_x000D_
        if deployments_url is None:_x000D_
            return 0_x000D_
        _x000D_
        result = urlparse(deployments_url)_x000D_
        if all([result.scheme, result.netloc]):_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except Exception:_x000D_
        return -1_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,repository,assignees_url,assignees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}",1,"def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        assignees_url = latest_response.get(""assignees_url"")_x000D_
        if assignees_url is None:_x000D_
            return 0  # Attribute does not exist in the response_x000D_
_x000D_
        if isinstance(assignees_url, str):_x000D_
            return 1  # Constraint satisfied_x000D_
        else:_x000D_
            return -1  # Constraint not satisfied_x000D_
    except Exception:_x000D_
        return -1  # Constraint not satisfied due to an error_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,repository,statuses_url,statuses_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""}",1,"def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        statuses_url = latest_response.get(""statuses_url"")_x000D_
        if statuses_url is None:_x000D_
            return 0  # Attribute does not exist in the response_x000D_
_x000D_
        if isinstance(statuses_url, str) and statuses_url.startswith(""http://""):_x000D_
            return 1  # Constraint is satisfied_x000D_
        else:_x000D_
            return -1  # Constraint is not satisfied_x000D_
    except Exception:_x000D_
        return -1  # Constraint is not satisfied due to an error_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,repository,has_projects,has_projects,"Whether projects are enabled, schema: {""type"": ""boolean"", ""example"": true}",0,"def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        if 'has_projects' not in latest_response:_x000D_
            return 0_x000D_
        if isinstance(latest_response['has_projects'], bool):_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except Exception as e:_x000D_
        return -1_x000D_
",unknown,,,,,0
post-/orgs/{org}/repos,repository,visibility,visibility,"The repository visibility: public, private, or internal",1,"def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        visibility = latest_response.get(""visibility"")_x000D_
        if visibility is None:_x000D_
            return 0_x000D_
        if visibility in [""public"", ""private"", ""internal""]:_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except Exception:_x000D_
        return -1_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,repository,issues_url,issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}",1,"def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        issues_url = latest_response.get(""issues_url"")_x000D_
        if issues_url is None:_x000D_
            return 0_x000D_
        _x000D_
        # Check if issues_url is a string_x000D_
        if not isinstance(issues_url, str):_x000D_
            return -1_x000D_
        _x000D_
        # Check if issues_url starts with ""http://api.github.com/repos/""_x000D_
        if not issues_url.startswith(""http://api.github.com/repos/""):_x000D_
            return -1_x000D_
        _x000D_
        # Check if issues_url contains ""/issues""_x000D_
        if ""/issues"" not in issues_url:_x000D_
            return -1_x000D_
        _x000D_
        return 1_x000D_
    except Exception:_x000D_
        return -1_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,simple-user,html_url,owner.html_url,"{""type"": ""string"", ""format"": ""uri""}",1,"from urllib.parse import urlparse_x000D_
_x000D_
def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        html_url = latest_response.get(""html_url"")_x000D_
        if html_url is None:_x000D_
            return 0_x000D_
        _x000D_
        # Check if html_url is a valid URI_x000D_
        result = urlparse(html_url)_x000D_
        if all([result.scheme, result.netloc]):_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except Exception:_x000D_
        return -1_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,simple-user,html_url,organization.html_url,"{""type"": ""string"", ""format"": ""uri""}",1,"from urllib.parse import urlparse_x000D_
_x000D_
def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        html_url = latest_response.get(""html_url"")_x000D_
        if html_url is None:_x000D_
            return 0_x000D_
        _x000D_
        # Check if html_url is a valid URI_x000D_
        result = urlparse(html_url)_x000D_
        if all([result.scheme, result.netloc]):_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except Exception:_x000D_
        return -1_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,simple-user,html_url,template_repository.owner.html_url,"{""type"": ""string"", ""format"": ""uri""}",1,"from urllib.parse import urlparse_x000D_
_x000D_
def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        html_url = latest_response.get(""html_url"")_x000D_
        if html_url is None:_x000D_
            return 0_x000D_
        _x000D_
        # Check if html_url is a valid URI_x000D_
        result = urlparse(html_url)_x000D_
        if all([result.scheme, result.netloc]):_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except Exception:_x000D_
        return -1_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,simple-user,html_url,template_repository.html_url,"{""type"": ""string"", ""format"": ""uri""}",1,"from urllib.parse import urlparse_x000D_
_x000D_
def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        html_url = latest_response.get(""html_url"")_x000D_
        if html_url is None:_x000D_
            return 0_x000D_
        _x000D_
        # Check if html_url is a valid URI_x000D_
        result = urlparse(html_url)_x000D_
        if all([result.scheme, result.netloc]):_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except Exception:_x000D_
        return -1_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,simple-user,gists_url,owner.gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}",1,"def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        gists_url = latest_response['owner']['gists_url']_x000D_
        if isinstance(gists_url, str) and gists_url.startswith(""https://api.github.com/users/""):_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except KeyError:_x000D_
        return 0_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,simple-user,gists_url,organization.gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}",1,"def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        gists_url = latest_response['owner']['gists_url']_x000D_
        if isinstance(gists_url, str) and gists_url.startswith(""https://api.github.com/users/""):_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except KeyError:_x000D_
        return 0_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,simple-user,gists_url,template_repository.owner.gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}",1,"def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        gists_url = latest_response['owner']['gists_url']_x000D_
        if isinstance(gists_url, str) and gists_url.startswith(""https://api.github.com/users/""):_x000D_
            return 1_x000D_
        else:_x000D_
            return -1_x000D_
    except KeyError:_x000D_
        return 0_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,simple-user,url,owner.url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re_x000D_
from urllib.parse import urlparse_x000D_
_x000D_
def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        url = latest_response.get(""url"")_x000D_
        if url is None:_x000D_
            return 0_x000D_
        _x000D_
        # Check if the URL is a valid URI_x000D_
        parsed_url = urlparse(url)_x000D_
        if not all([parsed_url.scheme, parsed_url.netloc]):_x000D_
            return -1_x000D_
        _x000D_
        return 1_x000D_
    except Exception:_x000D_
        return -1_x000D_
",unknown,,,,,1
post-/orgs/{org}/repos,simple-user,url,organization.url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re_x000D_
from urllib.parse import urlparse_x000D_
_x000D_
def verify_latest_response(latest_response):_x000D_
    try:_x000D_
        url = latest_response.get(""url"")_x000D_
        if url is None:_x000D_
            return 0_x000D_
        _x000D_
        # Check if the URL is a valid URI_x000D_
        parsed_url = urlparse(url)_x000D_
        if not all([parsed_url.scheme, parsed_url.netloc]):_x000D_
            return -1_x000D_
        _x000D_
        return 1_x000D_
    except Exception:_x000D_
        return -1_x000D_
",unknown,,,,,1
