endpoint,group,description,tp,status,check_verify,_merge
get+orgs_{org}_repos,archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}",1,satisfied,yes,both
get+orgs_{org}_repos,assignees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}",1,satisfied,yes,both
get+orgs_{org}_repos,blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1,satisfied,yes,both
get+orgs_{org}_repos,branches_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}",1,satisfied,yes,both
get+orgs_{org}_repos,collaborators_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""}",1,satisfied,yes,both
get+orgs_{org}_repos,comments_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""}",1,satisfied,yes,both
get+orgs_{org}_repos,compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}",1,satisfied,yes,both
get+orgs_{org}_repos,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1,satisfied,yes,both
get+orgs_{org}_repos,deployments_url,"{""type"": ""string"", ""format"": ""uri""}",1,satisfied,yes,both
get+orgs_{org}_repos,downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1,satisfied,yes,both
get+orgs_{org}_repos,events_url,"{""type"": ""string"", ""format"": ""uri""}",1,satisfied,yes,both
get+orgs_{org}_repos,forks_url,"{""type"": ""string"", ""format"": ""uri""}",1,satisfied,yes,both
get+orgs_{org}_repos,git_commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/commits{/sha}""}",1,satisfied,yes,both
get+orgs_{org}_repos,git_refs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}",1,satisfied,yes,both
get+orgs_{org}_repos,hooks_url,"{""type"": ""string"", ""format"": ""uri""}",1,satisfied,yes,both
