operation,response resource,attribute,group,description,tp,verification script,status,script confirmation,revised script,revised executable script,revised status,TP
get-/orgs/{org}/repos,repository,git_refs_url,template_repository.git_refs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}",1,"def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            git_refs_url = repo.get(""git_refs_url"")
            if git_refs_url is None:
                return 0
            if not isinstance(git_refs_url, str):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,git_refs_url,template_repository.template_repository.git_refs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}",1,"def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            git_refs_url = repo.get(""git_refs_url"")
            if git_refs_url is None:
                return 0
            if not isinstance(git_refs_url, str):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,allow_merge_commit,template_repository.template_repository.allow_merge_commit,"Whether to allow merge commits for pull requests, schema: {""type"": ""boolean"", ""example"": true}",0,"def verify_latest_response(latest_response):
    try:
        # Check if the response is a list of minimal-repository objects
        if not isinstance(latest_response, list):
            return -1
        
        for repo in latest_response:
            # Check if 'allow_merge_commit' exists and is a boolean
            if 'allow_merge_commit' not in repo:
                return 0
            if not isinstance(repo['allow_merge_commit'], bool):
                return -1
        
        # If all checks pass
        return 1
    except Exception as e:
        # In case of any unexpected error
        return -1
",unknown,,,,,0
get-/orgs/{org}/repos,repository,allow_merge_commit,template_repository.allow_merge_commit,"Whether to allow merge commits for pull requests, schema: {""type"": ""boolean"", ""example"": true}",0,"def verify_latest_response(latest_response):
    try:
        # Check if the response is a list of minimal-repository objects
        if not isinstance(latest_response, list):
            return -1
        
        for repo in latest_response:
            # Check if 'allow_merge_commit' exists and is a boolean
            if 'allow_merge_commit' not in repo:
                return 0
            if not isinstance(repo['allow_merge_commit'], bool):
                return -1
        
        # If all checks pass
        return 1
    except Exception as e:
        # In case of any unexpected error
        return -1
",unknown,,,,,0
get-/orgs/{org}/repos,minimal-repository,issues_url,issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}",1,"import re

def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            issues_url = repo.get(""issues_url"")
            if issues_url is None:
                return 0
            # Check if issues_url is a string and matches the expected pattern
            if not isinstance(issues_url, str):
                return -1
            pattern = r""^http://api\.github\.com/repos/[^/]+/[^/]+/issues(?:/\{\w+\})?$""
            if not re.match(pattern, issues_url):
                return -1
        return 1
    except Exception as e:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,languages_url,template_repository.languages_url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re
from urllib.parse import urlparse

def is_valid_uri(uri):
    try:
        result = urlparse(uri)
        return all([result.scheme, result.netloc])
    except ValueError:
        return False

def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            languages_url = repo.get(""languages_url"")
            if languages_url is None:
                return 0
            if not isinstance(languages_url, str):
                return -1
            if not is_valid_uri(languages_url):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,languages_url,template_repository.template_repository.languages_url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re
from urllib.parse import urlparse

def is_valid_uri(uri):
    try:
        result = urlparse(uri)
        return all([result.scheme, result.netloc])
    except ValueError:
        return False

def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            languages_url = repo.get(""languages_url"")
            if languages_url is None:
                return 0
            if not isinstance(languages_url, str):
                return -1
            if not is_valid_uri(languages_url):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,minimal-repository,subscription_url,subscription_url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re
from urllib.parse import urlparse

def is_valid_uri(uri):
    try:
        result = urlparse(uri)
        return all([result.scheme, result.netloc])
    except ValueError:
        return False

def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            subscription_url = repo.get(""subscription_url"")
            if subscription_url is None:
                return 0
            if not isinstance(subscription_url, str) or not is_valid_uri(subscription_url):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,simple-user,received_events_url,owner.received_events_url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re
from urllib.parse import urlparse

def verify_latest_response(latest_response):
    try:
        # Check if 'received_events_url' exists in the response
        if 'received_events_url' not in latest_response:
            return 0
        
        received_events_url = latest_response['received_events_url']
        
        # Check if 'received_events_url' is a string
        if not isinstance(received_events_url, str):
            return -1
        
        # Check if 'received_events_url' is a valid URI
        parsed_url = urlparse(received_events_url)
        if not all([parsed_url.scheme, parsed_url.netloc]):
            return -1
        
        return 1
    except Exception as e:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,simple-user,subscriptions_url,owner.subscriptions_url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re

def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            if 'subscriptions_url' not in repo:
                return 0
            subscriptions_url = repo['subscriptions_url']
            # Check if subscriptions_url is a string and matches URI format
            if isinstance(subscriptions_url, str) and re.match(r'^https?://[^\s/$.?#].[^\s]*$', subscriptions_url):
                continue
            else:
                return -1
        return 1
    except Exception as e:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,teams_url,template_repository.teams_url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re
from urllib.parse import urlparse

def is_valid_uri(uri):
    try:
        result = urlparse(uri)
        return all([result.scheme, result.netloc])
    except Exception:
        return False

def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            teams_url = repo.get(""teams_url"")
            if teams_url is None:
                return 0
            if not isinstance(teams_url, str) or not is_valid_uri(teams_url):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,teams_url,template_repository.template_repository.teams_url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re
from urllib.parse import urlparse

def is_valid_uri(uri):
    try:
        result = urlparse(uri)
        return all([result.scheme, result.netloc])
    except Exception:
        return False

def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            teams_url = repo.get(""teams_url"")
            if teams_url is None:
                return 0
            if not isinstance(teams_url, str) or not is_valid_uri(teams_url):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,clone_url,template_repository.clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1,"def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            clone_url = repo.get(""clone_url"")
            if clone_url is None:
                return 0
            if not isinstance(clone_url, str):
                return -1
            if not clone_url.startswith(""https://""):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,clone_url,template_repository.template_repository.clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1,"def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            clone_url = repo.get(""clone_url"")
            if clone_url is None:
                return 0
            if not isinstance(clone_url, str):
                return -1
            if not clone_url.startswith(""https://""):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,minimal-repository,archive_url,archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}",1,"def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            archive_url = repo.get(""archive_url"")
            if archive_url is None:
                return 0  # Attribute does not exist
            if not isinstance(archive_url, str):
                return -1  # Constraint not satisfied: not a string
            if ""{archive_format}"" not in archive_url or ""{/ref}"" not in archive_url:
                return -1  # Constraint not satisfied: placeholders not present
        return 1  # All constraints satisfied
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
get-/orgs/{org}/repos,minimal-repository,updated_at,updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1,"from datetime import datetime

def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            updated_at = repo.get(""updated_at"")
            if updated_at is None:
                continue  # Attribute is nullable, so None is acceptable
            # Check if the updated_at is a valid date-time string
            datetime.fromisoformat(updated_at.replace(""Z"", ""+00:00""))
        return 1
    except (ValueError, TypeError):
        return -1
    except KeyError:
        return 0
",unknown,,,,,1
get-/orgs/{org}/repos,minimal-repository,compare_url,compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}",1,"def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            compare_url = repo.get(""compare_url"")
            if compare_url is None:
                return 0
            if not isinstance(compare_url, str):
                return -1
            if not compare_url.startswith(""http://api.github.com/repos/""):
                return -1
            if ""/compare/"" not in compare_url:
                return -1
            if ""{base}"" not in compare_url or ""{head}"" not in compare_url:
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,minimal-repository,downloads_url,downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re
from urllib.parse import urlparse

def is_valid_uri(uri):
    try:
        result = urlparse(uri)
        return all([result.scheme, result.netloc])
    except Exception:
        return False

def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            downloads_url = repo.get(""downloads_url"")
            if downloads_url is None:
                return 0
            if not isinstance(downloads_url, str) or not is_valid_uri(downloads_url):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,deployments_url,template_repository.deployments_url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re
from urllib.parse import urlparse

def verify_latest_response(latest_response):
    try:
        # Check if latest_response is a list
        if not isinstance(latest_response, list):
            return -1
        
        # Define a regex pattern for URI validation
        uri_regex = re.compile(
            r'^(?:http|https)://'  # http:// or https://
            r'(?:\S+(?::\S*)?@)?'  # optional user:pass authentication
            r'(?:[A-Za-z0-9.-]+|\[[A-Fa-f0-9:]+\])'  # domain or IPv6
            r'(?::\d{2,5})?'  # optional port
            r'(?:[/?#]\S*)?$'  # resource path
        )

        for repo in latest_response:
            # Check if 'deployments_url' exists in the repository object
            if 'deployments_url' not in repo:
                return 0
            
            deployments_url = repo['deployments_url']
            
            # Check if 'deployments_url' is a string
            if not isinstance(deployments_url, str):
                return -1
            
            # Check if 'deployments_url' is a valid URI
            if not uri_regex.match(deployments_url):
                return -1

        return 1
    except Exception as e:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,deployments_url,template_repository.template_repository.deployments_url,"{""type"": ""string"", ""format"": ""uri""}",1,"import re
from urllib.parse import urlparse

def verify_latest_response(latest_response):
    try:
        # Check if latest_response is a list
        if not isinstance(latest_response, list):
            return -1
        
        # Define a regex pattern for URI validation
        uri_regex = re.compile(
            r'^(?:http|https)://'  # http:// or https://
            r'(?:\S+(?::\S*)?@)?'  # optional user:pass authentication
            r'(?:[A-Za-z0-9.-]+|\[[A-Fa-f0-9:]+\])'  # domain or IPv6
            r'(?::\d{2,5})?'  # optional port
            r'(?:[/?#]\S*)?$'  # resource path
        )

        for repo in latest_response:
            # Check if 'deployments_url' exists in the repository object
            if 'deployments_url' not in repo:
                return 0
            
            deployments_url = repo['deployments_url']
            
            # Check if 'deployments_url' is a string
            if not isinstance(deployments_url, str):
                return -1
            
            # Check if 'deployments_url' is a valid URI
            if not uri_regex.match(deployments_url):
                return -1

        return 1
    except Exception as e:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,repository,starred_at,template_repository.starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:42Z\""""}",1,"def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            starred_at = repo.get(""starred_at"")
            if starred_at is None:
                return 0
            # Check if ""starred_at"" is a string
            if not isinstance(starred_at, str):
                return -1
            # Check if ""starred_at"" is in the correct datetime format
            from datetime import datetime
            try:
                datetime.strptime(starred_at, ""%Y-%m-%dT%H:%M:%SZ"")
            except ValueError:
                return -1
        return 1
    except Exception as e:
        return -1
",unknown,,,,,1
get-/orgs/{org}/repos,minimal-repository,git_refs_url,git_refs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}",1,"def verify_latest_response(latest_response):
    try:
        for repo in latest_response:
            git_refs_url = repo.get(""git_refs_url"")
            if git_refs_url is None:
                return 0
            if not isinstance(git_refs_url, str):
                return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
