endpoint,group,response resource,attribute,description,tp
get+orgs_{org}_repos,template_repository.git_refs_url,repository,git_refs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}",1
get+orgs_{org}_repos,template_repository.template_repository.git_refs_url,repository,git_refs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}",1
get+orgs_{org}_repos,template_repository.template_repository.allow_merge_commit,repository,allow_merge_commit,"Whether to allow merge commits for pull requests, schema: {""type"": ""boolean"", ""example"": true}",0
get+orgs_{org}_repos,template_repository.allow_merge_commit,repository,allow_merge_commit,"Whether to allow merge commits for pull requests, schema: {""type"": ""boolean"", ""example"": true}",0
get+orgs_{org}_repos,issues_url,minimal-repository,issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}",1
get+orgs_{org}_repos,template_repository.languages_url,repository,languages_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.template_repository.languages_url,repository,languages_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,subscription_url,minimal-repository,subscription_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,owner.received_events_url,simple-user,received_events_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,owner.subscriptions_url,simple-user,subscriptions_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.teams_url,repository,teams_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.template_repository.teams_url,repository,teams_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.clone_url,repository,clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1
get+orgs_{org}_repos,template_repository.template_repository.clone_url,repository,clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1
get+orgs_{org}_repos,archive_url,minimal-repository,archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}",1
get+orgs_{org}_repos,updated_at,minimal-repository,updated_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get+orgs_{org}_repos,compare_url,minimal-repository,compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}",1
get+orgs_{org}_repos,downloads_url,minimal-repository,downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.deployments_url,repository,deployments_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.template_repository.deployments_url,repository,deployments_url,"{""type"": ""string"", ""format"": ""uri""}",1
get+orgs_{org}_repos,template_repository.starred_at,repository,starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:42Z\""""}",1
get+orgs_{org}_repos,git_refs_url,minimal-repository,git_refs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}",1
get+orgs_{org}_repos,template_repository.visibility,repository,visibility,"The repository visibility: public, private, or internal",0
