operation,response resource,attribute,group,description,tp,verification script,status,script confirmation,revised script,revised executable script,revised status,TP
get-/shopping/hotel-offers,Tax,pricingMode,data.offers.price.taxes.pricingMode,"Specifies if the tax applies per occupant or per room
  - PER_OCCUPANT
  - PER_PRODUCT",0,"def verify_latest_response(latest_response):
    try:
        # Extract the list of HotelOffers from the response
        hotel_offers = latest_response.get('data', [])
        
        # Iterate over each HotelOffer
        for hotel_offer in hotel_offers:
            offers = hotel_offer.get('offers', [])
            
            # Iterate over each HotelOffer's offers
            for offer in offers:
                price = offer.get('price', {})
                taxes = price.get('taxes', [])
                
                # Iterate over each tax object
                for tax in taxes:
                    pricing_mode = tax.get('pricingMode')
                    
                    # Check if pricingMode is either 'PER_OCCUPANT' or 'PER_PRODUCT'
                    if pricing_mode not in ['PER_OCCUPANT', 'PER_PRODUCT']:
                        return -1
        
        # If all pricingMode values are valid
        return 1
    
    except Exception as e:
        # Return 0 if there is an exception or missing information
        return 0
",unknown,,,,,0
get-/shopping/hotel-offers,HotelProduct_RoomDetails,type,data.offers.room.type,"Room type code, 3 character identifier of the room.
The first character identifies the room type category. 
The second numeric character identifies the number of beds. 
The third character identifies the bed type. 
There is a special case where ROH is returned, this value stands for Run Of House",1,"import re

def verify_latest_response(latest_response):
    try:
        # Extract the 'type' attribute from the response
        hotel_offers = latest_response.get('data', [])
        
        if not hotel_offers:
            return 0  # No data to verify
        
        for offer in hotel_offers:
            room_type = offer.get('type')
            
            if room_type is None:
                return 0  # Attribute does not exist
            
            # Check if the room_type matches the pattern
            if not re.match(r'^[A-Z0-9*]{3}$', room_type):
                return -1  # Constraint not satisfied
            
            # Check for special case ""ROH""
            if room_type == ""ROH"":
                continue  # Special case is valid
        
        return 1  # All constraints satisfied
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
get-/shopping/hotel-offers,Hotel,dupeId,data.hotel.dupeId,"Unique Property identifier of the physical hotel.
One physical hotel can be represented by different Providers, each one having its own `hotelID`.
This attribute allows a client application to group together hotels that are actually the same, schema: {""type"": ""string"", ""example"": ""501132260""}",0,"def verify_latest_response(latest_response):
    try:
        hotel_offers = latest_response.get('data', [])
        if not hotel_offers:
            return 0
        
        for offer in hotel_offers:
            hotel = offer.get('hotel', {})
            dupe_id = hotel.get('dupeId')
            
            if dupe_id is None:
                return 0
            
            if not isinstance(dupe_id, str):
                return -1
            
            # Additional checks can be added here if more constraints are identified
            
        return 1
    except Exception as e:
        return -1
",unknown,,,,,0
get-/shopping/hotel-offers,HotelOffer,self,data.offers.self,"A self link to the object. Use this to refresh the Offer price, schema: {""type"": ""string"", ""example"": ""https://test.travel.api.amadeus.com/v2/shopping/hotel-offers/63A93695B58821ABB0EC2B33FE9FAB24D72BF34B1BD7D707293763D8D9378FC3""}",0,"def verify_latest_response(latest_response):
    try:
        hotel_offers = latest_response.get('data', [])
        if not hotel_offers:
            return 0  # No hotel offers to verify

        for offer in hotel_offers:
            self_link = offer.get('self')
            if self_link is None:
                return 0  # 'self' attribute does not exist

            if not isinstance(self_link, str):
                return -1  # 'self' is not a string

            if not self_link.startswith(""https://""):
                return -1  # 'self' does not start with 'https://'

        return 1  # All constraints satisfied
    except Exception as e:
        return -1  # An error occurred during verification
",unknown,,,,,0
get-/shopping/hotel-offers,HotelProduct_HotelPrice,currency,data.offers.price.currency,currency Code apply to all elements of the price,1,"def verify_latest_response(latest_response):
    try:
        # Navigate through the response structure to access the currency attribute
        hotel_offers = latest_response.get('data', [])
        if not hotel_offers:
            return 0  # No data to verify

        for hotel_offer in hotel_offers:
            offers = hotel_offer.get('offers', [])
            for offer in offers:
                price = offer.get('price', {})
                currency = price.get('currency', None)
                
                if currency is None:
                    return 0  # Currency attribute does not exist

                if not isinstance(currency, str):
                    return -1  # Currency is not a string

        return 1  # All currency attributes are valid strings
    except Exception as e:
        return -1  # An error occurred during verification
",unknown,,,,,1
get-/shopping/hotel-offers,HotelProduct_PriceVariation,startDate,data.offers.price.variations.changes.startDate,"Begin date of the period
Format: YYYY-MM-DD, schema: {""type"": ""string"", ""format"": ""date""}",1,"def verify_latest_response(latest_response):
    try:
        # Navigate through the response structure to find all 'startDate' attributes
        for hotel_offer in latest_response.get('data', []):
            for offer in hotel_offer.get('offers', []):
                for change in offer.get('price', {}).get('variations', {}).get('changes', []):
                    start_date = change.get('startDate')
                    if start_date is None:
                        return 0  # Attribute does not exist
                    # Check if 'startDate' is in the correct format YYYY-MM-DD
                    try:
                        year, month, day = map(int, start_date.split('-'))
                        if len(start_date) != 10 or start_date[4] != '-' or start_date[7] != '-':
                            return -1  # Incorrect format
                    except ValueError:
                        return -1  # Incorrect format
        return 1  # All constraints satisfied
    except Exception as e:
        return -1  # An error occurred, indicating a failure in constraint satisfaction
",unknown,,,,,1
get-/shopping/hotel-offers,HotelProduct_HoldPolicy,deadline,data.offers.policies.holdTime.deadline,"The date and time of the deadline in ISO 8601[https://www.w3.org/TR/NOTE-datetime]. 
 Example: 2010-08-14T13:00:00
 Please note that this value is expressed in the hotels local time zone",0,"from datetime import datetime

def verify_latest_response(latest_response):
    try:
        hotel_offers = latest_response.get('data', [])
        if not hotel_offers:
            return 0
        
        for hotel_offer in hotel_offers:
            offers = hotel_offer.get('offers', [])
            for offer in offers:
                policies = offer.get('policies', {})
                deposit_policy = policies.get('deposit', {})
                deadline = deposit_policy.get('deadline', None)
                
                if deadline is None:
                    return 0
                
                try:
                    # Check if the deadline is in ISO 8601 format
                    datetime.fromisoformat(deadline)
                except ValueError:
                    return -1
        
        return 1
    except Exception as e:
        return -1
",unknown,,,,,0
get-/shopping/hotel-offers,HotelProduct_EstimatedRoomType,beds,data.offers.room.typeEstimated.beds,Number of beds in the room (1-9,1,"def verify_latest_response(latest_response):
    try:
        hotel_offers = latest_response.get(""data"", [])
        for offer in hotel_offers:
            room_offers = offer.get(""offers"", [])
            for room_offer in room_offers:
                room_details = room_offer.get(""room"", {})
                estimated_type = room_details.get(""typeEstimated"", {})
                beds = estimated_type.get(""beds"")
                
                if beds is None:
                    return 0  # Attribute does not exist
                
                if not isinstance(beds, int) or beds < 1 or beds > 9:
                    return -1  # Constraint not satisfied
        
        return 1  # Constraint satisfied
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
get-/shopping/hotel-offers,HotelOffer,roomQuantity,data.offers.roomQuantity,number of rooms (1-9,1,"def verify_latest_response(latest_response):
    try:
        hotel_offers = latest_response.get('data', [])
        for hotel_offer in hotel_offers:
            offers = hotel_offer.get('offers', [])
            for offer in offers:
                room_quantity = offer.get('roomQuantity')
                if room_quantity is None:
                    return 0  # Attribute does not exist
                if not room_quantity.isdigit() or not (1 <= int(room_quantity) <= 9):
                    return -1  # Constraint not satisfied
        return 1  # Constraint satisfied
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
get-/shopping/hotel-offers,HotelProduct_PriceVariation,endDate,data.offers.price.variations.changes.endDate,"End date of the period
Format: YYYY-MM-DD, schema: {""type"": ""string"", ""format"": ""date""}",1,"def verify_latest_response(latest_response):
    try:
        # Navigate through the response structure to find all 'endDate' values
        hotel_offers = latest_response.get('data', [])
        for hotel_offer in hotel_offers:
            offers = hotel_offer.get('offers', [])
            for offer in offers:
                price = offer.get('price', {})
                variations = price.get('variations', {})
                changes = variations.get('changes', [])
                for change in changes:
                    end_date = change.get('endDate', None)
                    if end_date is None:
                        return 0  # Attribute does not exist
                    # Check if 'endDate' is in the correct format YYYY-MM-DD
                    try:
                        from datetime import datetime
                        datetime.strptime(end_date, '%Y-%m-%d')
                    except ValueError:
                        return -1  # Constraint not satisfied
        return 1  # Constraint satisfied
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
