operation,response resource,attribute,group,description,tp,verification script,status,script confirmation,revised script,revised executable script,revised status,TP
get-/v1/public/comics/{comicid},Comic,pageCount,data.results.pageCount,"The number of story pages in the comic, schema: {""type"": ""integer"", ""format"": ""int32""}",1,"def verify_latest_response(latest_response):
    try:
        comic_data_container = latest_response.get('data', {}).get('results', [])
        if not comic_data_container:
            return 0  # Insufficient information to verify the constraint

        for comic in comic_data_container:
            page_count = comic.get('pageCount')
            if page_count is None:
                return 0  # Insufficient information to verify the constraint
            if not isinstance(page_count, int):
                return -1  # Constraint not satisfied: pageCount must be an integer

        return 1  # Constraint satisfied for all comics
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
get-/v1/public/comics/{comicid},Comic,ean,data.results.ean,The EAN barcode for the comic,1,"def verify_latest_response(latest_response):
    try:
        # Navigate to the 'results' array of 'Comic' objects
        comics = latest_response['data']['results']
        
        # Check each comic object for the 'ean' attribute
        for comic in comics:
            ean = comic.get('ean')
            if ean is None:
                return 0  # Attribute does not exist
            if not isinstance(ean, str):
                return -1  # Constraint not satisfied: 'ean' is not a string
        
        return 1  # All constraints satisfied
    except (KeyError, TypeError):
        return 0  # Response lacks sufficient information to verify the constraint
",unknown,,,,,1
get-/v1/public/comics/{comicid},StoryList,returned,data.results.stories.returned,The number of stories returned in this collection (up to 20,1,"def verify_latest_response(latest_response):
    try:
        # Navigate to the 'returned' attribute within the response
        returned_value = latest_response['data']['results'][0]['creators']['returned']
        
        # Check if the 'returned' value is an integer and does not exceed 20
        if isinstance(returned_value, int) and returned_value <= 20:
            return 1
        else:
            return -1
    except KeyError:
        # Return 0 if the 'returned' attribute is not found in the response
        return 0
",unknown,,,,,1
get-/v1/public/comics/{comicid},TextObject,language,data.results.textObjects.language,The IETF language tag denoting the language the text object is written in,1,"import re

def verify_latest_response(latest_response):
    try:
        # Define a regex pattern for IETF language tags
        ietf_language_tag_pattern = re.compile(r'^[a-zA-Z]{2,3}(-[a-zA-Z]{2,3})?$')
        
        # Navigate through the response to find the language attribute
        comic_data_container = latest_response.get('data', {})
        results = comic_data_container.get('results', [])
        
        for comic in results:
            text_objects = comic.get('textObjects', [])
            for text_object in text_objects:
                language = text_object.get('language')
                if language is None:
                    return 0  # Insufficient information to verify the constraint
                if not ietf_language_tag_pattern.match(language):
                    return -1  # Constraint not satisfied
        
        return 1  # Constraint satisfied
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
get-/v1/public/comics/{comicid},Comic,digitalId,data.results.digitalId,"The ID of the digital comic representation of this comic. Will be 0 if the comic is not available digitally, schema: {""type"": ""integer"", ""format"": ""int32""}",1,"def verify_latest_response(latest_response):
    try:
        comics = latest_response['data']['results']
        for comic in comics:
            digital_id = comic.get('digitalId', None)
            if digital_id is None:
                return 0
            if not isinstance(digital_id, int):
                return -1
            if digital_id < 0:
                return -1
        return 1
    except KeyError:
        return 0
",unknown,,,,,1
get-/v1/public/comics/{comicid},CreatorList,available,data.results.creators.available,"The number of total available creators in this list. Will always be greater than or equal to the ""returned"" value, schema: {""type"": ""integer"", ""format"": ""int32""}",1,"def verify_latest_response(latest_response):
    try:
        # Navigate to the list of Comic objects
        comics = latest_response['data']['results']
        
        for comic in comics:
            # Check if 'creators' and 'available' exist in the current comic object
            if 'creators' in comic and 'available' in comic['creators']:
                available = comic['creators']['available']
                
                # Check if 'returned' exists in the current comic object
                if 'returned' in comic['creators']:
                    returned = comic['creators']['returned']
                    
                    # Verify the constraint: available >= returned
                    if available < returned:
                        return -1
                else:
                    # 'returned' is missing, cannot verify the constraint
                    return 0
            else:
                # 'creators' or 'available' is missing, cannot verify the constraint
                return 0
        
        # If all constraints are satisfied
        return 1
    except Exception as e:
        # In case of any unexpected error
        return -1
",unknown,,,,,1
get-/v1/public/comics/{comicid},EventList,available,data.results.events.available,"The number of total available events in this list. Will always be greater than or equal to the ""returned"" value, schema: {""type"": ""integer"", ""format"": ""int32""}",1,"def verify_latest_response(latest_response):
    try:
        # Navigate to the 'results' array in the response
        results = latest_response['data']['results']
        
        # Iterate over each 'Comic' object in the 'results' array
        for comic in results:
            # Access the 'creators' object
            creators = comic.get('creators', {})
            
            # Get the 'available' and 'returned' values
            available = creators.get('available')
            returned = creators.get('returned')
            
            # Check if both 'available' and 'returned' are present
            if available is None or returned is None:
                return 0
            
            # Verify the constraint: available >= returned
            if available < returned:
                return -1
        
        # If all constraints are satisfied
        return 1
    except KeyError:
        # Return 0 if the response lacks sufficient information
        return 0
",unknown,,,,,1
get-/v1/public/comics/{comicid},ComicDataContainer,limit,data.limit,"The requested result limit, schema: {""type"": ""integer"", ""format"": ""int32""}",1,"def verify_latest_response(latest_response):
    try:
        # Check if 'limit' exists in the response
        if 'data' in latest_response and 'limit' in latest_response['data']:
            limit_value = latest_response['data']['limit']
            # Verify that 'limit' is an integer
            if isinstance(limit_value, int):
                return 1
            else:
                return -1
        else:
            return 0
    except Exception as e:
        return -1
",unknown,,,,,1
get-/v1/public/comics/{comicid},Comic,id,data.results.id,"The unique ID of the comic resource, schema: {""type"": ""integer"", ""format"": ""int32""}",1,"def verify_latest_response(latest_response):
    try:
        # Navigate to the 'results' array within the response
        results = latest_response['data']['results']
        
        # Check each 'Comic' object in the 'results' array
        for comic in results:
            # Ensure 'id' exists and is an integer
            if 'id' not in comic:
                return 0  # Attribute does not exist
            if not isinstance(comic['id'], int):
                return -1  # Constraint not satisfied: 'id' is not an integer
        
        return 1  # All constraints satisfied
    except (KeyError, TypeError):
        return 0  # Response lacks sufficient information to verify the constraint
",unknown,,,,,1
get-/v1/public/comics/{comicid},TextObject,type,data.results.textObjects.type,"The canonical type of the text object (e.g. solicit text, preview text, etc.",1,"def verify_latest_response(latest_response):
    try:
        # Navigate through the response structure to access the 'type' attribute
        comic_data_container = latest_response.get('data', {})
        results = comic_data_container.get('results', [])
        
        # Check each 'Comic' object in the results
        for comic in results:
            text_objects = comic.get('textObjects', [])
            
            # Check each 'TextObject' in the textObjects array
            for text_object in text_objects:
                text_type = text_object.get('type')
                
                # Verify that 'type' is a string
                if not isinstance(text_type, str):
                    return -1
        
        # If all checks pass, return 1
        return 1
    except Exception as e:
        # Return -1 if any exception occurs during verification
        return -1
",unknown,,,,,1
