operation,response resource,attribute,group,description,tp,verification script,status,script confirmation,revised script,revised executable script,revised status,TP
post-/users/{user_id}/playlists,playlist-track-page,previous,tracks.previous,URL to the previous page of items. (null if none,1,"def verify_latest_response(latest_response):
    try:
        previous = latest_response.get('tracks', {}).get('previous', None)
        
        # Check if 'previous' is either a string or None
        if previous is None or isinstance(previous, str):
            return 1
        else:
            return -1
    except Exception:
        return 0
",unknown,,,,,1
post-/users/{user_id}/playlists,playlist,uri,uri,"Spotify URI of the playlist, schema: {""type"": ""string"", ""format"": ""uri""}",1,"def verify_latest_response(latest_response):
    try:
        uri = latest_response.get('uri')
        if uri is None:
            return 0
        if isinstance(uri, str) and uri.startswith(""spotify:""):
            return 1
        else:
            return -1
    except Exception:
        return -1
",unknown,,,,,1
post-/users/{user_id}/playlists,playlist,public,public,"The playlist's public/private status: true the playlist is public, false the playlist is private, null the playlist status is not relevant. For more about public/private status, see Working with Playlists",1,"def verify_latest_response(latest_response):
    try:
        public_status = latest_response.get('public', None)
        
        if public_status is None:
            return 0  # The attribute does not exist or is null, indicating status is not relevant
        
        if isinstance(public_status, bool):
            return 1  # The constraint is satisfied as the value is a boolean
        
        return -1  # The value is not a boolean, hence the constraint is not satisfied
    except Exception as e:
        return -1  # In case of any unexpected error, return -1
",unknown,,,,,1
post-/users/{user_id}/playlists,followers,total,owner.followers.total,The total number of followers,0,"def verify_latest_response(latest_response):
    try:
        total_followers = latest_response['owner']['followers']['total']
        if isinstance(total_followers, int):
            return 1
        else:
            return -1
    except KeyError:
        return 0
",unknown,,,,,0
post-/users/{user_id}/playlists,followers,total,tracks.items.added_by.followers.total,The total number of followers,0,"def verify_latest_response(latest_response):
    try:
        total_followers = latest_response['owner']['followers']['total']
        if isinstance(total_followers, int):
            return 1
        else:
            return -1
    except KeyError:
        return 0
",unknown,,,,,0
post-/users/{user_id}/playlists,user-profile,href,owner.href,A link to the Web API endpoint for this user,1,"def verify_latest_response(latest_response):
    try:
        href = latest_response.get('href')
        if href is None:
            return 0  # Attribute does not exist
        if isinstance(href, str):
            return 1  # Constraint satisfied
        else:
            return -1  # Constraint not satisfied
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
post-/users/{user_id}/playlists,user-profile,href,tracks.items.added_by.href,A link to the Web API endpoint for this user,1,"def verify_latest_response(latest_response):
    try:
        href = latest_response.get('href')
        if href is None:
            return 0  # Attribute does not exist
        if isinstance(href, str):
            return 1  # Constraint satisfied
        else:
            return -1  # Constraint not satisfied
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
post-/users/{user_id}/playlists,playlist-track,added_at,tracks.items.added_at,The date and time the track was added in ISO 8601 format. Note that some very old playlists may return null in this field,1,"from datetime import datetime

def verify_latest_response(latest_response):
    try:
        tracks = latest_response.get('tracks', {}).get('items', [])
        for track in tracks:
            added_at = track.get('added_at')
            if added_at is None:
                continue  # Skip validation for null values as per description
            try:
                # Check if the date is in ISO 8601 format
                datetime.fromisoformat(added_at.replace('Z', '+00:00'))
            except ValueError:
                return -1  # Invalid date format
        return 1  # All non-null dates are valid
    except Exception:
        return 0  # Insufficient information to verify the constraint
",unknown,,,,,1
post-/users/{user_id}/playlists,user-profile,uri,owner.uri,"The Spotify URI for the user, schema: {""type"": ""string"", ""format"": ""uri""}",1,"def verify_latest_response(latest_response):
    try:
        uri = latest_response.get('uri')
        if uri is None:
            return 0
        if isinstance(uri, str) and uri.startswith('spotify:'):
            return 1
        else:
            return -1
    except Exception:
        return -1
",unknown,,,,,1
post-/users/{user_id}/playlists,user-profile,uri,tracks.items.added_by.uri,"The Spotify URI for the user, schema: {""type"": ""string"", ""format"": ""uri""}",1,"def verify_latest_response(latest_response):
    try:
        uri = latest_response.get('uri')
        if uri is None:
            return 0
        if isinstance(uri, str) and uri.startswith('spotify:'):
            return 1
        else:
            return -1
    except Exception:
        return -1
",unknown,,,,,1
