operation,response resource,attribute,group,description,tp,verification script,status,script confirmation,revised script,revised executable script,revised status,TP
get-/youtube/v3/videos,ContentRating,pefilmRating,items.contentDetails.contentRating.pefilmRating,"The video's rating in Peru, schema: {""type"": ""string"", ""enum"": [""pefilmUnspecified"", ""pefilmPt"", ""pefilmPg"", ""pefilm14"", ""pefilm18"", ""pefilmUnrated""]}",1,"def verify_latest_response(latest_response):
    try:
        valid_ratings = [
            ""pefilmUnspecified"", ""pefilmPt"", ""pefilmPg"", 
            ""pefilm14"", ""pefilm18"", ""pefilmUnrated""
        ]
        
        items = latest_response.get(""items"", [])
        for item in items:
            content_details = item.get(""contentDetails"", {})
            content_rating = content_details.get(""contentRating"", {})
            pefilm_rating = content_rating.get(""pefilmRating"")
            
            if pefilm_rating is None:
                return 0  # Attribute does not exist
            
            if pefilm_rating not in valid_ratings:
                return -1  # Constraint not satisfied
        
        return 1  # Constraint satisfied
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
get-/youtube/v3/videos,ContentRating,pefilmRating,items.contentDetails.contentRating.pefilmRating,"The video's rating in Peru. schema: {""enum"": [""pefilmUnspecified"", ""pefilmPt"", ""pefilmPg"", ""pefilm14"", ""pefilm18"", ""pefilmUnrated""], ""type"": ""string""}",1,,,,,,,1
get-/youtube/v3/videos,VideoStatus,publishAt,items.status.publishAt,"The date and time when the video is scheduled to publish. It can be set only if the privacy status of the video is private, schema: {""type"": ""string"", ""format"": ""date-time""}",1,"def verify_latest_response(latest_response):
    try:
        items = latest_response.get('items', [])
        for video in items:
            status = video.get('status', {})
            publish_at = status.get('publishAt')
            privacy_status = status.get('privacyStatus')

            if publish_at is not None:
                if privacy_status != 'private':
                    return -1
                # Check if publishAt is a valid date-time string
                from datetime import datetime
                try:
                    datetime.fromisoformat(publish_at.replace('Z', '+00:00'))
                except ValueError:
                    return -1
        return 1
    except Exception:
        return -1
",unknown,,,,,1
get-/youtube/v3/videos,ContentRating,mccaaRating,items.contentDetails.contentRating.mccaaRating,"The video's rating from Malta's Film Age-Classification Board, schema: {""type"": ""string"", ""enum"": [""mccaaUnspecified"", ""mccaaU"", ""mccaaPg"", ""mccaa12a"", ""mccaa12"", ""mccaa14"", ""mccaa15"", ""mccaa16"", ""mccaa18"", ""mccaaUnrated""]}",1,"def verify_latest_response(latest_response):
    try:
        valid_ratings = [
            ""mccaaUnspecified"", ""mccaaU"", ""mccaaPg"", ""mccaa12a"", 
            ""mccaa12"", ""mccaa14"", ""mccaa15"", ""mccaa16"", ""mccaa18"", ""mccaaUnrated""
        ]
        
        items = latest_response.get(""items"", [])
        for item in items:
            mccaa_rating = item.get(""contentDetails"", {}).get(""contentRating"", {}).get(""mccaaRating"")
            if mccaa_rating is None:
                return 0
            if mccaa_rating not in valid_ratings:
                return -1
        return 1
    except Exception as e:
        return -1
",unknown,,,,,1
get-/youtube/v3/videos,ContentRating,mccaaRating,items.contentDetails.contentRating.mccaaRating,"The video's rating from Malta's Film Age-Classification Board. schema: {""enum"": [""mccaaUnspecified"", ""mccaaU"", ""mccaaPg"", ""mccaa12a"", ""mccaa12"", ""mccaa14"", ""mccaa15"", ""mccaa16"", ""mccaa18"", ""mccaaUnrated""], ""type"": ""string""}",1,,,,,,,1
get-/youtube/v3/videos,VideoStatus,uploadStatus,items.status.uploadStatus,"The status of the uploaded video, schema: {""type"": ""string"", ""enum"": [""uploaded"", ""processed"", ""failed"", ""rejected"", ""deleted""]}",1,"def verify_latest_response(latest_response):
    try:
        # Extract the list of video items
        video_items = latest_response.get('items', [])
        
        # Define the allowed values for uploadStatus
        allowed_statuses = [""uploaded"", ""processed"", ""failed"", ""rejected"", ""deleted""]
        
        # Check each video item's uploadStatus
        for video in video_items:
            upload_status = video.get('status', {}).get('uploadStatus')
            if upload_status is None:
                return 0  # Attribute does not exist
            if upload_status not in allowed_statuses:
                return -1  # Constraint not satisfied
        
        return 1  # All constraints satisfied
    except Exception as e:
        return -1  # Constraint not satisfied due to an error
",unknown,,,,,1
get-/youtube/v3/videos,VideoContentDetailsRegionRestriction,blocked,items.contentDetails.regionRestriction.blocked,"A list of region codes that identify countries where the video is blocked. If this property is present and a country is not listed in its value, then the video is viewable in that country. If this property is present and contains an empty list, the video is viewable in all countries",0,"def verify_latest_response(latest_response):
    try:
        items = latest_response.get('items', [])
        for video in items:
            content_details = video.get('contentDetails', {})
            region_restriction = content_details.get('regionRestriction', {})
            blocked = region_restriction.get('blocked', None)
            
            if blocked is None:
                return 0  # The attribute does not exist, insufficient information to verify
            
            if not isinstance(blocked, list):
                return -1  # The 'blocked' attribute is not a list, constraint not satisfied
            
            for region_code in blocked:
                if not isinstance(region_code, str):
                    return -1  # Each item in 'blocked' should be a string, constraint not satisfied
            
            # If 'blocked' is an empty list, the video is viewable in all countries
            if len(blocked) == 0:
                return 1  # Constraint satisfied for viewable in all countries
            
            # If 'blocked' is a list of strings, the constraint is satisfied
            return 1
        
        return 0  # No items in the response, insufficient information to verify
    except Exception as e:
        return -1  # An error occurred, constraint not satisfied
",unknown,,,,,0
get-/youtube/v3/videos,VideoSnippet,liveBroadcastContent,items.snippet.liveBroadcastContent,"Indicates if the video is an upcoming/active live broadcast. Or it's ""none"" if the video is not an upcoming/active live broadcast, schema: {""type"": ""string"", ""enum"": [""none"", ""upcoming"", ""live"", ""completed""]}",1,"def verify_latest_response(latest_response):
    try:
        items = latest_response.get('items', [])
        for item in items:
            snippet = item.get('snippet', {})
            live_broadcast_content = snippet.get('liveBroadcastContent', None)
            if live_broadcast_content is None:
                return 0
            if live_broadcast_content not in [""none"", ""upcoming"", ""live"", ""completed""]:
                return -1
        return 1
    except Exception as e:
        return -1
",unknown,,,,,1
get-/youtube/v3/videos,ContentRating,catvRating,items.contentDetails.contentRating.catvRating,Rating system for Canadian TV - Canadian TV Classification System The video's rating from the Canadian Radio-Television and Telecommunications Commission (CRTC,1,"def verify_latest_response(latest_response):
    try:
        # Define the allowed enum values for catvRating
        allowed_values = [
            ""catvUnspecified"", ""catvC"", ""catvC8"", ""catvG"", 
            ""catvPg"", ""catv14plus"", ""catv18plus"", ""catvUnrated"", ""catvE""
        ]
        
        # Check if 'items' key exists in the response
        if 'items' not in latest_response:
            return 0
        
        # Iterate over each video item in the response
        for video in latest_response['items']:
            # Check if 'contentDetails' and 'contentRating' keys exist
            if 'contentDetails' not in video or 'contentRating' not in video['contentDetails']:
                return 0
            
            # Get the catvRating value
            catv_rating = video['contentDetails']['contentRating'].get('catvRating')
            
            # Check if catvRating exists
            if catv_rating is None:
                return 0
            
            # Verify if the catvRating is within the allowed enum values
            if catv_rating not in allowed_values:
                return -1
        
        # If all checks pass
        return 1
    
    except Exception as e:
        # In case of any unexpected error
        return -1
",unknown,,,,,1
get-/youtube/v3/videos,ContentRating,catvRating,items.contentDetails.contentRating.catvRating,"Rating system for Canadian TV - Canadian TV Classification System The video's rating from the Canadian Radio-Television and Telecommunications Commission (CRTC) for Canadian English-language broadcasts. For more information, see the Canadian Broadcast Standards Council website. schema: {""enum"": [""catvUnspecified"", ""catvC"", ""catvC8"", ""catvG"", ""catvPg"", ""catv14plus"", ""catv18plus"", ""catvUnrated"", ""catvE""], ""type"": ""string""}",1,,,,,,,1
