operation,response resource,attribute,group,description,tp
get-/v1/public/comics/{comicid},ComicDataContainer,limit,data.limit,"The requested result limit, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},StorySummary,type,data.results.stories.items.type,The type of the story (interior or cover,1
get-/v1/public/comics/{comicid},StoryList,available,data.results.stories.available,"The number of total available stories in this list. Will always be greater than or equal to the ""returned"" value, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},CharacterList,collectionURI,data.results.characters.collectionURI,The path to the full list of characters in this collection,1
get-/v1/public/comics/{comicid},Comic,resourceURI,data.results.resourceURI,"The canonical URL identifier for this resource, schema: {""type"": ""string"", ""format"": ""uri""}",1
get-/v1/public/comics/{comicid},StorySummary,resourceURI,data.results.stories.items.resourceURI,The path to the individual story resource,1
get-/v1/public/comics/{comicid},SeriesSummary,resourceURI,data.results.series.resourceURI,The path to the individual series resource,1
get-/v1/public/comics/{comicid},CharacterList,available,data.results.characters.available,"The number of total available characters in this list. Will always be greater than or equal to the ""returned"" value, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},Comic,isbn,data.results.isbn,The ISBN for the comic (generally only populated for collection formats,1
get-/v1/public/comics/{comicid},ComicSummary,resourceURI,data.results.variants.resourceURI,The path to the individual comic resource,1
get-/v1/public/comics/{comicid},ComicSummary,resourceURI,data.results.collections.resourceURI,The path to the individual comic resource,1
get-/v1/public/comics/{comicid},ComicSummary,resourceURI,data.results.collectedIssues.resourceURI,The path to the individual comic resource,1
get-/v1/public/comics/{comicid},EventList,collectionURI,data.results.events.collectionURI,The path to the full list of events in this collection,1
get-/v1/public/comics/{comicid},Url,url,data.results.urls.url,"A full URL (including scheme, domain, and path",1
get-/v1/public/comics/{comicid},ComicDataContainer,offset,data.offset,The requested offset (number of skipped results,1
get-/v1/public/comics/{comicid},Comic,pageCount,data.results.pageCount,"The number of story pages in the comic, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},Comic,upc,data.results.upc,The UPC barcode number for the comic (generally only populated for periodical formats,1
get-/v1/public/comics/{comicid},ComicDataContainer,total,data.total,"The total number of resources available given the current filter set, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},ComicDataWrapper,attributionHTML,attributionHTML,An HTML representation of the attribution notice for this result.  Please display either this notice or the contents of the attributionText field on all screens which contain data from the Marvel Comics API,0
get-/v1/public/comics/{comicid},Comic,ean,data.results.ean,The EAN barcode for the comic,1
get-/v1/public/comics/{comicid},CharacterSummary,resourceURI,data.results.characters.items.resourceURI,The path to the individual character resource,1
get-/v1/public/comics/{comicid},CreatorList,returned,data.results.creators.returned,The number of creators returned in this collection (up to 20,1
get-/v1/public/comics/{comicid},TextObject,language,data.results.textObjects.language,The IETF language tag denoting the language the text object is written in,1
get-/v1/public/comics/{comicid},Comic,issn,data.results.issn,The ISSN barcode for the comic,1
get-/v1/public/comics/{comicid},Comic,modified,data.results.modified,The date the resource was most recently modified,0
get-/v1/public/comics/{comicid},Url,type,data.results.urls.type,"A text identifier for the URL, schema: {""type"": ""string"", ""format"": ""uri""}",1
get-/v1/public/comics/{comicid},CharacterList,returned,data.results.characters.returned,The number of characters returned in this collection (up to 20,1
get-/v1/public/comics/{comicid},StoryList,collectionURI,data.results.stories.collectionURI,The path to the full list of stories in this collection,1
get-/v1/public/comics/{comicid},Comic,format,data.results.format,"The publication format of the comic e.g. comic, hardcover, trade paperback",1
get-/v1/public/comics/{comicid},Comic,digitalId,data.results.digitalId,"The ID of the digital comic representation of this comic. Will be 0 if the comic is not available digitally, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},CreatorList,collectionURI,data.results.creators.collectionURI,The path to the full list of creators in this collection,1
get-/v1/public/comics/{comicid},Comic,id,data.results.id,"The unique ID of the comic resource, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},CreatorList,available,data.results.creators.available,"The number of total available creators in this list. Will always be greater than or equal to the ""returned"" value, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},StoryList,returned,data.results.stories.returned,The number of stories returned in this collection (up to 20,1
get-/v1/public/comics/{comicid},EventList,available,data.results.events.available,"The number of total available events in this list. Will always be greater than or equal to the ""returned"" value, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},ComicDataWrapper,code,code,"The HTTP status code of the returned result, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},EventList,returned,data.results.events.returned,The number of events returned in this collection (up to 20,1
get-/v1/public/comics/{comicid},TextObject,type,data.results.textObjects.type,"The canonical type of the text object (e.g. solicit text, preview text, etc.",1
get-/v1/public/comics/{comicid},ComicDataContainer,count,data.count,"The total number of results returned by this call, schema: {""type"": ""integer"", ""format"": ""int32""}",1
get-/v1/public/comics/{comicid},CreatorSummary,resourceURI,data.results.creators.items.resourceURI,The path to the individual creator resource,1
get-/v1/public/comics/{comicid},ComicDate,date,data.results.dates.date,"The date. schema: {""type"": ""string""} schema: {""type"": ""string""}",1
get-/v1/public/comics/{comicid},Comic,diamondCode,data.results.diamondCode,"The Diamond code for the comic. schema: {""type"": ""string""} schema: {""type"": ""string""}",1
