endpoint,group,description,tp
get+orgs_{org}_repos,archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}",1.0
get+orgs_{org}_repos,assignees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}",1.0
get+orgs_{org}_repos,blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1.0
get+orgs_{org}_repos,branches_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}",1.0
get+orgs_{org}_repos,collaborators_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""}",1.0
get+orgs_{org}_repos,comments_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""}",1.0
get+orgs_{org}_repos,commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}",1.0
get+orgs_{org}_repos,compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}",1.0
get+orgs_{org}_repos,contents_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""}",1.0
get+orgs_{org}_repos,contributors_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+orgs_{org}_repos,deployments_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,events_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,forks_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,git_commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/commits{/sha}""}",1.0
get+orgs_{org}_repos,git_refs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/refs{/sha}""}",1.0
get+orgs_{org}_repos,git_tags_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/tags{/sha}""}",1.0
get+orgs_{org}_repos,hooks_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,html_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,issue_comment_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/comments{/number}""}",1.0
get+orgs_{org}_repos,issue_events_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues/events{/number}""}",1.0
get+orgs_{org}_repos,issues_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/issues{/number}""}",1.0
get+orgs_{org}_repos,keys_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/keys{/key_id}""}",1.0
get+orgs_{org}_repos,labels_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/labels{/name}""}",1.0
get+orgs_{org}_repos,languages_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,license.url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,merges_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,milestones_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/milestones{/number}""}",1.0
get+orgs_{org}_repos,owner.avatar_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,owner.events_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/events{/privacy}""}",1.0
get+orgs_{org}_repos,owner.followers_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,owner.following_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/following{/other_user}""}",1.0
get+orgs_{org}_repos,owner.gists_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/gists{/gist_id}""}",1.0
get+orgs_{org}_repos,owner.html_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,owner.node_id,"{""type"": ""string"", ""example"": ""MDQ6VXNlcjE=""}",0.0
get+orgs_{org}_repos,owner.organizations_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,owner.received_events_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,owner.repos_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,owner.starred_at,"{""type"": ""string"", ""example"": ""\""2020-07-09T00:17:55Z\""""}",1.0
get+orgs_{org}_repos,owner.starred_url,"{""type"": ""string"", ""example"": ""https://api.github.com/users/octocat/starred{/owner}{/repo}""}",1.0
get+orgs_{org}_repos,owner.subscriptions_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,owner.url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,pulls_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/pulls{/number}""}",1.0
get+orgs_{org}_repos,pushed_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+orgs_{org}_repos,stargazers_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,statuses_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/statuses/{sha}""}",1.0
get+orgs_{org}_repos,subscribers_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,subscription_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,tags_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,teams_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,template_repository.archive_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/{archive_format}{/ref}""}",1.0
get+orgs_{org}_repos,template_repository.assignees_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/assignees{/user}""}",1.0
get+orgs_{org}_repos,template_repository.blobs_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/git/blobs{/sha}""}",1.0
get+orgs_{org}_repos,template_repository.branches_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/branches{/branch}""}",1.0
get+orgs_{org}_repos,template_repository.clone_url,"{""type"": ""string"", ""example"": ""https://github.com/octocat/Hello-World.git""}",1.0
get+orgs_{org}_repos,template_repository.collaborators_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/collaborators{/collaborator}""}",1.0
get+orgs_{org}_repos,template_repository.comments_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/comments{/number}""}",1.0
get+orgs_{org}_repos,template_repository.commits_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/commits{/sha}""}",1.0
get+orgs_{org}_repos,template_repository.compare_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/compare/{base}...{head}""}",1.0
get+orgs_{org}_repos,template_repository.contents_url,"{""type"": ""string"", ""example"": ""http://api.github.com/repos/octocat/Hello-World/contents/{+path}""}",1.0
get+orgs_{org}_repos,template_repository.contributors_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,template_repository.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0
get+orgs_{org}_repos,template_repository.deployments_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
get+orgs_{org}_repos,template_repository.downloads_url,"{""type"": ""string"", ""format"": ""uri""}",1.0
