pptname,invariant,invariantType,variables,postmanAssertion,endpoint,tp,fp,enter,invariantDescription,Unnamed: 10,groups,api,group
/projects&/projects&get&200%array():::EXIT,input.id_after > size(return.array[]),daikon.inv.binary.twoScalar.IntGreaterThan,"(input.id_after, size(return.array[..]))",pm.expect(input_id_after).to.be.greaterThan(return_array_size_array),get+projects,,1.0,,Represents an invariant of > between two long scalars. Prints as x > y.,,text,GitLab Branch API,array
/projects&/projects&get&200&shared_with_groups():::EXIT,"return.group_id one of { 176, 1070 }",daikon.inv.unary.scalar.OneOfScalar,(return.group_id),"pm.expect([176, 1070, 0].includes(return_group_id)).to.be.true",get+projects,,1.0,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,text,GitLab Branch API,shared_with_groups.group_id
/projects&/projects&get&200&shared_with_groups():::EXIT,"return.group_name one of { ""effortlessly"", ""myjane"" }",daikon.inv.unary.string.OneOfString,(return.group_name),"pm.expect([""effortlessly"", ""myjane""].includes(return_group_name)).to.be.true",get+projects,,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,text,GitLab Branch API,shared_with_groups.group_name
/projects&/projects&get&200&shared_with_groups():::EXIT,"return.group_full_path one of { ""myjane"", ""salubriousness"" }",daikon.inv.unary.string.OneOfString,(return.group_full_path),"pm.expect([""myjane"", ""salubriousness""].includes(return_group_full_path)).to.be.true",get+projects,,1.0,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,text,GitLab Branch API,shared_with_groups.group_full_path
/projects&/projects&get&200&shared_with_groups():::EXIT,"return.group_access_level one of { 20, 30 }",daikon.inv.unary.scalar.OneOfScalar,(return.group_access_level),"pm.expect([20, 30, 0].includes(return_group_access_level)).to.be.true",get+projects,,1.0,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,text,GitLab Branch API,shared_with_groups.group_access_level
/projects&/projects&get&200():::EXIT,input.archived == return.archived,daikon.inv.binary.twoScalar.IntEqual,"(input.archived, return.archived)",pm.expect(input_archived).to.eql(return_archived),get+projects,1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,text,GitLab Branch API,archived
/projects&/projects&get&200():::EXIT,input.simple == return.service_desk_enabled,daikon.inv.binary.twoScalar.IntEqual,"(input.simple, return.service_desk_enabled)",pm.expect(input_simple).to.eql(return_service_desk_enabled),get+projects,,1.0,,Represents an invariant of == between two long scalars. Prints as x == y.,,text,GitLab Branch API,service_desk_enabled
/projects&/projects&get&200():::EXIT,input.visibility == return.visibility,daikon.inv.binary.twoString.StringEqual,"(input.visibility, return.visibility)",pm.expect(input_visibility).to.eql(return_visibility),get+projects,1.0,,,Represents an invariant of == between two String scalars. Prints as x == y.,,text,GitLab Branch API,visibility
/projects&/projects&get&200():::EXIT,return.owner.name == return.namespace.name,daikon.inv.binary.twoString.StringEqual,"(return.owner.name, return.namespace.name)",pm.expect(return_owner_name).to.eql(return_namespace_name),get+projects,1.0,,,Represents an invariant of == between two String scalars. Prints as x == y.,,text,GitLab Branch API,owner.name
/projects&/projects&get&200():::EXIT,return.permissions.project_access.access_level == return.permissions.group_access.access_level,daikon.inv.binary.twoScalar.IntEqual,"(return.permissions.project_access.access_level, return.permissions.group_access.access_level)",pm.expect(return_permissions_project_access_access_level).to.eql(return_permissions_group_access_access_level),get+projects,1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,,text,GitLab Branch API,permissions.project_access.access_level
