operation,response resource,attribute,group,description,TP
post-/projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1
get-/projects/{id}/repository/commits/{sha}/refs,RepoCommitRefs,type,type,"{""type"": ""string"", ""enum"": [""branch"", ""tag"", ""all""]}",1
get-/projects,BasicProjectDetails,marked_for_deletion_on,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1
get-/projects,Owner,created_at,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/projects,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/projects,BasicProjectDetails,last_activity_at,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1
post-/projects,BasicProjectDetails,created_at,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,author.web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,author.web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,author.web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,author.web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,author.web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,author.web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,author.web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,author.web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,web_url,author.web_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/comments,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
post-/projects/{id}/statuses/{sha},Author,web_url,author.web_url,"{""type"": ""string""}",1
post-/projects/{id}/statuses/{sha},Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
get-/projects/{id}/repository/commits/{sha}/merge_requests,Author,avatar_url,author.avatar_url,"{""type"": ""string""}",1
