pptname,invariant,invariantType,variables,postmanAssertion,endpoint,tp,fp,enter,invariantDescription,Unnamed: 10,group,api
/projects/{id}/repository/compare&/projects/{id}/repository/compare&get&200&commits():::EXIT,LENGTH(return.authored_date)==29,daikon.inv.unary.string.FixedLengthString,(return.authored_date),pm.expect(return_authored_date).to.have.length(29),get+projects_{id}_repository_compare,1,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,commits.authored_date,GitLab Repository API
/projects/{id}/repository/compare&/projects/{id}/repository/compare&get&200&commits():::EXIT,return.authored_date is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional),daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm,(return.authored_date),"pm.expect(return_authored_date).to.match(/^[0-9]{4}-((0[13578]|1[02])-(0[1-9]|[12][0-9]|3[01])|(0[469]|11)-(0[1-9]|[12][0-9]|30)|(02)-(0[1-9]|[12][0-9]))T(0[0-9]|1[0-9]|2[0-3]):(0[0-9]|[1-5][0-9]):(0[0-9]|[1-5][0-9])(\.[0-9]{3}){0,1}(Z|(-|\+)(0[0-9]|1[0-9]|2[0-3]):[0-5][0-9])$/)",get+projects_{id}_repository_compare,1,,,Indicates that the value of a string variable is always a timestamp. Represented as x is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional).,,commits.authored_date,GitLab Repository API
/projects/{id}/repository/compare&/projects/{id}/repository/compare&get&200&commits():::EXIT,return.committer_email is Email,daikon.inv.unary.string.IsEmail,(return.committer_email),"pm.expect(return_committer_email).to.match(/^(?:[A-Za-z0-9!#$%&'*+/=?^_`{|}~-]+(?:\.[A-Za-z0-9!#$%&'*+/=?^_`{|}~-]+)*|""(?:[\x01-\x08\x0b\x0c\x0e-\x1f\x21\x23-\x5b\x5d-\x7f]|\\[\x01-\x09\x0b\x0c\x0e-\x7f])*"")@(?:(?:[A-Za-z0-9](?:[A-Za-z0-9-]*[A-Za-z0-9])?\.)+[A-Za-z0-9](?:[A-Za-z0-9-]*[A-Za-z0-9])?|\[(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){3}(?:25[0-5]|2[0-4][0-9]|[01]?[0-9]^[0-9]?|[A-Za-z0-9-]*[A-Za-z0-9]:(?:[\x01-\x08\x0b\x0c\x0e-\x1f\x21-\x5a\x53-\x7f]|\\[\x01-\x09\x0b\x0c\x0e-\x7f])+)\])$/)",get+projects_{id}_repository_compare,1,,,Indicates that a string variable consistently holds values that match the format of an email address.,,commits.committer_email,GitLab Repository API
/projects/{id}/repository/compare&/projects/{id}/repository/compare&get&200&commits():::EXIT,LENGTH(return.created_at)==29,daikon.inv.unary.string.FixedLengthString,(return.created_at),pm.expect(return_created_at).to.have.length(29),get+projects_{id}_repository_compare,1,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,commits.created_at,GitLab Repository API
/projects/{id}/repository/compare&/projects/{id}/repository/compare&get&200&commits():::EXIT,return.created_at is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional),daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm,(return.created_at),"pm.expect(return_created_at).to.match(/^[0-9]{4}-((0[13578]|1[02])-(0[1-9]|[12][0-9]|3[01])|(0[469]|11)-(0[1-9]|[12][0-9]|30)|(02)-(0[1-9]|[12][0-9]))T(0[0-9]|1[0-9]|2[0-3]):(0[0-9]|[1-5][0-9]):(0[0-9]|[1-5][0-9])(\.[0-9]{3}){0,1}(Z|(-|\+)(0[0-9]|1[0-9]|2[0-3]):[0-5][0-9])$/)",get+projects_{id}_repository_compare,1,,,Indicates that the value of a string variable is always a timestamp. Represented as x is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional).,,commits.created_at,GitLab Repository API
/projects/{id}/repository/compare&/projects/{id}/repository/compare&get&200&commits():::EXIT,LENGTH(return.id)==40,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(40),get+projects_{id}_repository_compare,1,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,commits.id,GitLab Repository API
/projects/{id}/repository/compare&/projects/{id}/repository/compare&get&200&commits():::EXIT,LENGTH(return.short_id)==8,daikon.inv.unary.string.FixedLengthString,(return.short_id),pm.expect(return_short_id).to.have.length(8),get+projects_{id}_repository_compare,1,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,,commits.short_id,GitLab Repository API
/projects/{id}/repository/compare&/projects/{id}/repository/compare&get&200&commits():::EXIT,All the elements of return.parent_ids[] have LENGTH=40,daikon.inv.unary.stringsequence.SequenceFixedLengthString,(return.parent_ids[..]),pm.expect(return_parent_ids_array.every(element => element.length === 40)).to.be.true,get+projects_{id}_repository_compare,1,,,Indicates that all the elements of an array of strings have a fixed length n. Represented as All the elements of x have LENGTH=n.,,commits.parent_ids,GitLab Repository API
/projects/{id}/repository/compare&/projects/{id}/repository/compare&get&200&commits():::EXIT,"size(return.parent_ids[]) one of { 0, 1, 2 }",daikon.inv.unary.scalar.OneOfScalar,(size(return.parent_ids[..])),"pm.expect([0, 1, 2].includes(return_parent_ids_size_array)).to.be.true",get+projects_{id}_repository_compare,1,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",,commits.parent_ids,GitLab Repository API
/projects/{id}/repository/compare&/projects/{id}/repository/compare&get&200&commits():::EXIT,return.short_id is a substring of return.id,daikon.inv.binary.twoString.StdString$SubString,"(return.id, return.short_id)",pm.expect(return_id.includes(return_short_id)).to.be.true,get+projects_{id}_repository_compare,1,,,Represents the substring invariant between two String scalars. Prints as x is a substring of y.,,commits.id,GitLab Repository API
