endpoint,group,invariant,invariantType,variables,pptname,tp
get+v1_apple_pay_domains,data,input.limit >= size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.data[..]))",/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,1.0
get+v1_apple_pay_domains,data.id,LENGTH(return.id)==29,daikon.inv.unary.string.FixedLengthString,(return.id),/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT,1.0
get+v1_apple_pay_domains,data.object,"return.object == ""apple_pay_domain""
LENGTH(return.object)==16","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.object)
(return.object)","/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT
/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT",1.0
get+v1_apple_pay_domains,object,"return.object == ""list""
LENGTH(return.object)==4","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.object)
(return.object)","/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT",1.0
get+v1_radar_value_list_items,data,input.limit > size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterThan,"(input.limit, size(return.data[..]))",/v1/radar/value_list_items&GetRadarValueListItems&200():::EXIT,1.0
get+v1_radar_value_list_items,data.created_by,"return.created_by == ""API""
LENGTH(return.created_by)==3","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.created_by)
(return.created_by)","/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT",1.0
get+v1_radar_value_list_items,data.id,LENGTH(return.id)==29,daikon.inv.unary.string.FixedLengthString,(return.id),/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,1.0
get+v1_radar_value_list_items,data.object,"return.object == ""radar.value_list_item""
LENGTH(return.object)==21","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.object)
(return.object)","/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT",1.0
get+v1_radar_value_list_items,data.value_list,input.value_list == return.value_list,daikon.inv.binary.twoString.StringEqual,"(input.value_list, return.value_list)",/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,1.0
get+v1_radar_value_list_items,url,"return.url == ""/v1/radar/value_list_items""
LENGTH(return.url)==26","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.url)
(return.url)","/v1/radar/value_list_items&GetRadarValueListItems&200():::EXIT
/v1/radar/value_list_items&GetRadarValueListItems&200():::EXIT",1.0
get+v1_tax_rates,data,input.limit >= size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.data[..]))",/v1/tax_rates&GetTaxRates&200():::EXIT,1.0
get+v1_tax_rates,data.active,input.active == return.active,daikon.inv.binary.twoScalar.IntEqual,"(input.active, return.active)",/v1/tax_rates&GetTaxRates&200&data():::EXIT,1.0
