pptname,invariant,invariantType,variables,postmanAssertion,endpoint,tp,fp,enter,bug,invariantDescription,group,api
/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT,LENGTH(return.id)==29,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(29),get+v1_apple_pay_domains,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.id,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT,return.livemode == false,daikon.inv.unary.scalar.OneOfScalar,(return.livemode),pm.expect(return_livemode).to.eql(false),get+v1_apple_pay_domains,,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.livemode,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT,"return.object == ""apple_pay_domain""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""apple_pay_domain""].includes(return_object)).to.be.true",get+v1_apple_pay_domains,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.object,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT,LENGTH(return.object)==16,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(16),get+v1_apple_pay_domains,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.object,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,"return.object == ""list""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""list""].includes(return_object)).to.be.true",get+v1_apple_pay_domains,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",object,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,LENGTH(return.object)==4,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(4),get+v1_apple_pay_domains,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,object,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,"return.url == ""/v1/apple_pay/domains""",daikon.inv.unary.string.OneOfString,(return.url),"pm.expect([""/v1/apple_pay/domains""].includes(return_url)).to.be.true",get+v1_apple_pay_domains,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",url,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,LENGTH(return.url)==21,daikon.inv.unary.string.FixedLengthString,(return.url),pm.expect(return_url).to.have.length(21),get+v1_apple_pay_domains,,1.0,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,url,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,input.limit >= size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.data[..]))",pm.expect(input_limit).to.be.at.least(return_data_size_array),get+v1_apple_pay_domains,1.0,,,,Represents an invariant of >= between two long scalars. Prints as x >= y.,data,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,input.value_list == return.value_list,daikon.inv.binary.twoString.StringEqual,"(input.value_list, return.value_list)",pm.expect(input_value_list).to.eql(return_value_list),get+v1_radar_value_list_items,1.0,,,,Represents an invariant of == between two String scalars. Prints as x == y.,data.value_list,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,"return.created_by == ""API""",daikon.inv.unary.string.OneOfString,(return.created_by),"pm.expect([""API""].includes(return_created_by)).to.be.true",get+v1_radar_value_list_items,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.created_by,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,LENGTH(return.created_by)==3,daikon.inv.unary.string.FixedLengthString,(return.created_by),pm.expect(return_created_by).to.have.length(3),get+v1_radar_value_list_items,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.created_by,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,LENGTH(return.id)==29,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(29),get+v1_radar_value_list_items,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.id,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,return.livemode == false,daikon.inv.unary.scalar.OneOfScalar,(return.livemode),pm.expect(return_livemode).to.eql(false),get+v1_radar_value_list_items,,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.livemode,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,"return.object == ""radar.value_list_item""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""radar.value_list_item""].includes(return_object)).to.be.true",get+v1_radar_value_list_items,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.object,StripeClone API
