endpoint,group,response resource,attribute,description
get+groups_{id}_issues,id,Issue,id,Attribute id is responded to by parameter id with a description: The ID or URL-encoded path of the group owned by the authenticated user
get+groups_{id}_issues,project_id,Issue,project_id,Attribute project_id is responded to by parameter id with a description: The ID or URL-encoded path of the group owned by the authenticated user
get+groups_{id}_issues,created_at,Issue,created_at,Attribute created_at is responded to by parameter created_after with a description: Return issues created on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get+groups_{id}_issues,created_at,Issue,created_at,Attribute created_at is responded to by parameter created_before with a description: Return issues created on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get+groups_{id}_issues,due_date,Issue,due_date,"Attribute due_date is responded to by parameter due_date with a description: Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )"
get+groups_{id}_issues,state,Issue,state,Attribute state is responded to by parameter state with a description: Return all issues or just those that are opened or closed
get+groups_{id}_issues,updated_at,Issue,updated_at,Attribute updated_at is responded to by parameter updated_after with a description: Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get+groups_{id}_issues,updated_at,Issue,updated_at,Attribute updated_at is responded to by parameter updated_before with a description: Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get+groups_{id}_issues,confidential,Issue,confidential,Attribute confidential is responded to by parameter confidential with a description: Filter confidential or public issues
get+issues,created_at,Issue,created_at,Attribute created_at is responded to by parameter created_before with a description: Return issues created on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get+issues,created_at,Issue,created_at,Attribute created_at is responded to by parameter created_after with a description: Return issues created on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get+issues,due_date,Issue,due_date,"Attribute due_date is responded to by parameter due_date with a description: Return issues that have no due date, are overdue, or whose due date is this week, this month, or between two weeks ago and next month. Accepts: 0 (no due date), overdue , week , month , next_month_and_previous_two_weeks . (Introduced in GitLab 13.3 )"
get+issues,state,Issue,state,Attribute state is responded to by parameter state with a description: Return all issues or just those that are opened or closed
get+issues,updated_at,Issue,updated_at,Attribute updated_at is responded to by parameter updated_before with a description: Return issues updated on or before the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get+issues,updated_at,Issue,updated_at,Attribute updated_at is responded to by parameter updated_after with a description: Return issues updated on or after the given time. Expected in ISO 8601 format ( 2019-03-15T08:00:00Z )
get+issues,confidential,Issue,confidential,Attribute confidential is responded to by parameter confidential with a description: Filter confidential or public issues
get+issues_{id},id,Issue,id,Attribute id is responded to by parameter id with a description: The ID of the issue
get+projects,issues_enabled,BasicProjectDetails,issues_enabled,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature
get+projects,merge_requests_enabled,BasicProjectDetails,merge_requests_enabled,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature
get+projects,archived,BasicProjectDetails,archived,Attribute archived is responded to by parameter archived with a description: Limit by archived status
get+projects,id,BasicProjectDetails,id,Attribute id is responded to by parameter id_before with a description: Limit results to projects with IDs less than the specified ID
get+projects,id,BasicProjectDetails,id,Attribute id is responded to by parameter id_after with a description: Limit results to projects with IDs greater than the specified ID
