operation,response resource,attribute,group,description,part,corresponding attribute,corresponding attribute description
get-/v1/apple_pay/domains,apple_pay_domain,id,data.id,Unique identifier for the object,parameters,ending_before,"A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list"
get-/v1/apple_pay/domains,apple_pay_domain,id,data.id,Unique identifier for the object,parameters,starting_after,"A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list"
get-/v1/apple_pay/domains,apple_pay_domain,id,data.id,Unique identifier for the object,parameters,ending_before,"A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list"
get-/v1/apple_pay/domains,apple_pay_domain,id,data.id,Unique identifier for the object,parameters,starting_after,"A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list"
get-/v1/radar/value_list_items,radar.value_list_item,id,data.id,Unique identifier for the object,parameters,starting_after,"A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list"
get-/v1/radar/value_list_items,radar.value_list_item,id,data.id,Unique identifier for the object,parameters,ending_before,"A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list"
get-/v1/radar/value_list_items,radar.value_list_item,id,data.id,Unique identifier for the object,parameters,starting_after,"A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list"
get-/v1/radar/value_list_items,radar.value_list_item,id,data.id,Unique identifier for the object,parameters,ending_before,"A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list"
get-/v1/radar/value_list_items,radar.value_list_item,value,data.value,The value of the item,parameters,value,"Return items belonging to the parent list whose value matches the specified value (using an ""is like"" match)"
get-/v1/radar/value_list_items,radar.value_list_item,value_list,data.value_list,The identifier of the value list this item belongs to,parameters,value_list,Identifier for the parent value list this item belongs to
get-/v1/tax_rates,tax_rate,active,data.active,"Defaults to `true`. When set to `false`, this tax rate cannot be used with new applications or Checkout Sessions, but will still work for subscriptions and invoices that already have it set",parameters,active,Optional flag to filter by tax rates that are either active or inactive (archived)
get-/v1/tax_rates,tax_rate,inclusive,data.inclusive,This specifies if the tax rate is inclusive or exclusive,parameters,inclusive,Optional flag to filter by tax rates that are inclusive (or those that are not inclusive)
get-/v1/tax_rates,tax_rate,id,data.id,Unique identifier for the object,parameters,ending_before,"A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list"
get-/v1/tax_rates,tax_rate,id,data.id,Unique identifier for the object,parameters,starting_after,"A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list"
get-/v1/tax_rates,tax_rate,id,data.id,Unique identifier for the object,parameters,ending_before,"A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list"
get-/v1/tax_rates,tax_rate,id,data.id,Unique identifier for the object,parameters,starting_after,"A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list"
