endpoint,group,description,tp,status,check_verify,_merge
get+projects,archived,Attribute archived is responded to by parameter BasicProjectDetails with a description: Limit by archived status,1,satisfied,yes,both
get+projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1,satisfied,yes,both
get+projects,creator_id,"{""type"": ""integer""}",0,satisfied,yes,left_only
get+projects,id,Attribute id_after is responded to by parameter BasicProjectDetails with a description: Limit results to projects with IDs greater than the specified ID,1,satisfied,yes,both
get+projects,issues_enabled,Attribute with_issues_enabled is responded to by parameter BasicProjectDetails with a description: Limit by enabled issues feature,1,satisfied,yes,both
get+projects,last_activity_at,"Attribute last_activity_after is responded to by parameter BasicProjectDetails with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_before is responded to by parameter BasicProjectDetails with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}",1,mismatched,yes,both
get+projects,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}",1,satisfied,yes,left_only
get+projects,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1,unknown,yes,both
get+projects,merge_requests_enabled,Attribute with_merge_requests_enabled is responded to by parameter BasicProjectDetails with a description: Limit by enabled merge requests feature,1,satisfied,yes,both
get+projects,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1,satisfied,yes,both
get+projects,repository_storage,Attribute repository_storage is responded to by parameter BasicProjectDetails with a description: Limit results to projects stored on repository_storage. (admins only),1,satisfied,yes,both
get+projects,visibility,Attribute visibility is responded to by parameter BasicProjectDetails with a description: Limit by visibility,1,satisfied,yes,both
get+projects,web_url,"{""type"": ""string""}",1,satisfied,yes,left_only
get+projects_{id}_repository_branches,name,Attribute search is responded to by parameter Branch with a description: Return list of branches containing the search string,0,satisfied,yes,left_only
post+projects,allow_merge_on_skipped_pipeline,Attribute allow_merge_on_skipped_pipeline is responded to by parameter BasicProjectDetails with a description: Set whether or not merge requests can be merged with skipped jobs,0,mismatched,yes,both
post+projects,auto_devops_deploy_strategy,Attribute auto_devops_deploy_strategy is responded to by parameter BasicProjectDetails with a description: Auto Deploy strategy,1,satisfied,yes,both
post+projects,auto_devops_enabled,Attribute auto_devops_enabled is responded to by parameter BasicProjectDetails with a description: Enable Auto DevOps for this project,1,satisfied,yes,both
post+projects,autoclose_referenced_issues,Attribute autoclose_referenced_issues is responded to by parameter BasicProjectDetails with a description: Set whether auto-closing referenced issues on default branch,1,satisfied,yes,both
post+projects,avatar_url,Attribute avatar is responded to by parameter BasicProjectDetails with a description: Image file for avatar of the project,0,unknown,yes,both
post+projects,container_registry_enabled,Attribute container_registry_enabled is responded to by parameter BasicProjectDetails with a description: Enable container registry for this project,1,satisfied,yes,both
post+projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1,satisfied,yes,both
post+projects,default_branch,Attribute default_branch is responded to by parameter BasicProjectDetails with a description: master by default,1,satisfied,yes,both
post+projects,description,Attribute description is responded to by parameter BasicProjectDetails with a description: Short project description,1,satisfied,yes,both
post+projects,http_url_to_repo,"{""type"": ""string""}",1,satisfied,yes,left_only
post+projects,issues_enabled,Attribute issues_enabled is responded to by parameter BasicProjectDetails with a description: (Deprecated)Enable issues for this project. Use issues_access_level instead,1,satisfied,yes,both
post+projects,jobs_enabled,Attribute jobs_enabled is responded to by parameter BasicProjectDetails with a description: (Deprecated)Enable jobs for this project. Use builds_access_level instead,1,satisfied,yes,both
post+projects,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1,satisfied,yes,both
post+projects,marked_for_deletion_at,"{""type"": ""string"", ""format"": ""date""}",1,satisfied,yes,left_only
post+projects,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}",1,unknown,yes,both
post+projects,merge_method,Attribute merge_method is responded to by parameter BasicProjectDetails with a description: Set the merge method used,1,satisfied,yes,both
post+projects,merge_requests_enabled,Attribute merge_requests_enabled is responded to by parameter BasicProjectDetails with a description: (Deprecated)Enable merge requests for this project. Use merge_requests_access_level instead,1,satisfied,yes,both
post+projects,name,"Attribute name is responded to by parameter BasicProjectDetails with a description: The name of the new project. Either path or name is required, not both",1,satisfied,yes,both
post+projects,only_allow_merge_if_all_discussions_are_resolved,Attribute only_allow_merge_if_all_discussions_are_resolved is responded to by parameter BasicProjectDetails with a description: Set whether merge requests can only be merged when all the discussions are resolved,1,satisfied,yes,both
post+projects,only_allow_merge_if_pipeline_succeeds,Attribute only_allow_merge_if_pipeline_succeeds is responded to by parameter BasicProjectDetails with a description: Set whether merge requests can only be merged with successful jobs,1,satisfied,yes,both
post+projects,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1,satisfied,yes,both
post+projects,packages_enabled,Attribute packages_enabled is responded to by parameter BasicProjectDetails with a description: Enable or disable packages repository feature,1,satisfied,yes,both
post+projects,path,Attribute path is responded to by parameter BasicProjectDetails with a description: Repository name for new project. Generated based on name if not provided (generated as lowercase with dashes),1,satisfied,yes,both
post+projects,readme_url,"{""type"": ""string""}",1,satisfied,yes,left_only
post+projects,remove_source_branch_after_merge,Attribute remove_source_branch_after_merge is responded to by parameter BasicProjectDetails with a description: Enable Delete source branch option by default for all new merge requests,1,satisfied,yes,both
post+projects,repository_storage,Attribute repository_storage is responded to by parameter BasicProjectDetails with a description: Which storage shard the repository is on.(admins only),1,satisfied,yes,both
post+projects,request_access_enabled,Attribute request_access_enabled is responded to by parameter BasicProjectDetails with a description: Allow users to request member access,1,satisfied,yes,both
post+projects,resolve_outdated_diff_discussions,Attribute resolve_outdated_diff_discussions is responded to by parameter BasicProjectDetails with a description: Automatically resolve merge request diffs discussions on lines changed with a push,1,satisfied,yes,both
post+projects,shared_runners_enabled,Attribute shared_runners_enabled is responded to by parameter BasicProjectDetails with a description: Enable shared runners for this project,1,satisfied,yes,both
post+projects,snippets_enabled,Attribute snippets_enabled is responded to by parameter BasicProjectDetails with a description: (Deprecated)Enable snippets for this project. Use snippets_access_level instead,1,satisfied,yes,both
post+projects,tag_list,"Attribute tag_list is responded to by parameter BasicProjectDetails with a description: The list of tags for a project; put array of tags, that should be finally assigned to a project",1,satisfied,yes,both
post+projects,visibility,Attribute visibility is responded to by parameter BasicProjectDetails with a description: See project visibility level,1,satisfied,yes,both
post+projects,web_url,"{""type"": ""string""}",1,satisfied,yes,left_only
post+projects,wiki_enabled,Attribute wiki_enabled is responded to by parameter BasicProjectDetails with a description: (Deprecated)Enable wiki for this project. Use wiki_access_levelinstead,1,satisfied,yes,both
post+projects_{id}_protected_branches,allow_force_push,Attribute allow_force_push is responded to by parameter ProtectedBranch with a description: Allow force push for all users with push access,1,satisfied,yes,both
post+projects_{id}_protected_branches,name,Attribute name is responded to by parameter ProtectedBranch with a description: The name of the branch or wildcard,1,satisfied,yes,both
post+projects_{id}_repository_branches,name,Attribute branch is responded to by parameter Branch with a description: The name of the branch,1,satisfied,yes,both
