endpoint,group,description_x,tp_x,description_y,tp_y,status,_check_verification_script,check_verify,_merge
get+groups,avatar_url,"{""type"": ""string""}",1.0,"{""type"": ""string""}",0.0,mismatched,yes,yes,both
get+groups,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+groups,web_url,"{""type"": ""string""}",1.0,"{""type"": ""string""}",0.0,satisfied,yes,yes,both
get+groups_{id},id,Attribute id is responded to by parameter GroupDetails with a description: The ID orURL-encoded path of the groupowned by the authenticated user,1.0,Attribute id is responded to by parameter id with a description: The ID orURL-encoded path of the groupowned by the authenticated user,1.0,satisfied,yes,yes,both
get+groups_{id},projects.created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+groups_{id},projects.last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+groups_{id}_descendant_groups,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+groups_{id}_hooks,group_id,Attribute id is responded to by parameter Hook with a description: The ID orURL-encoded path of the groupof the immediate parent group,1.0,Attribute group_id is responded to by parameter id with a description: The ID orURL-encoded path of the groupof the immediate parent group,1.0,satisfied,yes,yes,both
get+groups_{id}_hooks_{hook_id},group_id,Attribute id is responded to by parameter Hook with a description: The ID orURL-encoded path of the group,1.0,Attribute group_id is responded to by parameter id with a description: The ID orURL-encoded path of the group,1.0,satisfied,yes,yes,both
get+groups_{id}_hooks_{hook_id},id,Attribute hook_id is responded to by parameter Hook with a description: The ID of a group hook,1.0,Attribute id is responded to by parameter hook_id with a description: The ID of a group hook,1.0,satisfied,yes,yes,both
get+groups_{id}_projects,archived,Attribute archived is responded to by parameter Project with a description: Limit by archived status,1.0,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0,satisfied,yes,yes,both
get+groups_{id}_projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+groups_{id}_projects,issues_enabled,Attribute with_issues_enabled is responded to by parameter Project with a description: Limit by projects with issues feature enabled. Default is false,1.0,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by projects with issues feature enabled. Default is false,1.0,satisfied,yes,yes,both
get+groups_{id}_projects,last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+groups_{id}_projects,merge_requests_enabled,Attribute with_merge_requests_enabled is responded to by parameter Project with a description: Limit by projects with merge requests feature enabled. Default is false,1.0,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by projects with merge requests feature enabled. Default is false,1.0,satisfied,yes,yes,both
get+groups_{id}_projects,visibility,"Attribute visibility is responded to by parameter Project with a description: Limit by visibilitypublic,internal, orprivate",1.0,"Attribute visibility is responded to by parameter visibility with a description: Limit by visibilitypublic,internal, orprivate",1.0,satisfied,yes,yes,both
get+groups_{id}_projects_shared,archived,Attribute archived is responded to by parameter SharedProject with a description: Limit by archived status,1.0,Attribute archived is responded to by parameter archived with a description: Limit by archived status,1.0,satisfied,yes,yes,both
get+groups_{id}_projects_shared,avatar_url,"{""type"": ""string""}",1.0,"{""type"": ""string""}",0.0,mismatched,yes,yes,both
get+groups_{id}_projects_shared,container_expiration_policy.next_run_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
get+groups_{id}_projects_shared,created_at,"Attribute order_by is responded to by parameter SharedProject with a description: Return projects ordered byid,name,path,created_at,updated_at,similarity(1), orlast_activity_atfields. Default iscreated_at",0.0,"Attribute created_at is responded to by parameter order_by with a description: Return projects ordered byid,name,path,created_at,updated_at,similarity(1), orlast_activity_atfields. Default iscreated_at",0.0,satisfied,yes,yes,both
get+groups_{id}_projects_shared,issues_enabled,Attribute with_issues_enabled is responded to by parameter SharedProject with a description: Limit by projects with issues feature enabled. Default is false,1.0,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by projects with issues feature enabled. Default is false,1.0,satisfied,yes,yes,both
get+groups_{id}_projects_shared,merge_requests_enabled,Attribute with_merge_requests_enabled is responded to by parameter SharedProject with a description: Limit by projects with merge requests feature enabled. Default is false,1.0,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by projects with merge requests feature enabled. Default is false,1.0,satisfied,yes,yes,both
get+groups_{id}_projects_shared,visibility,"Attribute visibility is responded to by parameter SharedProject with a description: Limit by visibilitypublic,internal, orprivate",1.0,"Attribute visibility is responded to by parameter visibility with a description: Limit by visibilitypublic,internal, orprivate",1.0,satisfied,yes,yes,both
get+groups_{id}_subgroups,avatar_url,"{""type"": ""string""}",1.0,,,,,,left_only
get+groups_{id}_subgroups,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
post+groups,avatar_url,"Attribute avatar is responded to by parameter Group with a description: Image file for avatar of the group.Introduced in GitLab 12.9
{""type"": ""string""}",0.5,"Attribute avatar_url is responded to by parameter avatar with a description: Image file for avatar of the group.Introduced in GitLab 12.9
{""type"": ""string""}",0.0,"unknown
mismatched","yes,yes",yes,both
post+groups,created_at,"{""type"": ""string"", ""format"": ""date-time""}",1.0,"{""type"": ""string"", ""format"": ""date-time""}",0.0,satisfied,yes,yes,both
post+groups,default_branch_protection,Attribute default_branch_protection is responded to by parameter Group with a description: SeeOptions fordefault_branch_protection. Default to the global level default branch protection setting,1.0,Attribute default_branch_protection is responded to by parameter default_branch_protection with a description: SeeOptions fordefault_branch_protection. Default to the global level default branch protection setting,1.0,satisfied,yes,yes,both
post+groups,description,Attribute description is responded to by parameter Group with a description: The group's description,1.0,Attribute description is responded to by parameter description with a description: The group's description,1.0,satisfied,yes,yes,both
post+groups,full_path,Attribute path is responded to by parameter Group with a description: The path of the group,1.0,Attribute full_path is responded to by parameter path with a description: The path of the group,1.0,satisfied,yes,yes,both
post+groups,lfs_enabled,Attribute lfs_enabled is responded to by parameter Group with a description: Enable/disable Large File Storage (LFS) for the projects in this group,1.0,Attribute lfs_enabled is responded to by parameter lfs_enabled with a description: Enable/disable Large File Storage (LFS) for the projects in this group,1.0,satisfied,yes,yes,both
post+groups,name,Attribute name is responded to by parameter Group with a description: The name of the group,1.0,Attribute name is responded to by parameter name with a description: The name of the group,1.0,satisfied,yes,yes,both
