endpoint,group,response resource,attribute,description,tp
post+groups,visibility,Group,visibility,"Attribute visibility is responded to by parameter visibility with a description: The group's visibility. Can be private,internal, orpublic",1
post+groups,share_with_group_lock,Group,share_with_group_lock,Attribute share_with_group_lock is responded to by parameter share_with_group_lock with a description: Prevent sharing a project with another group within this group,1
post+groups,require_two_factor_authentication,Group,require_two_factor_authentication,Attribute require_two_factor_authentication is responded to by parameter require_two_factor_authentication with a description: Require all users in this group to setup Two-factor authentication,1
post+groups,two_factor_grace_period,Group,two_factor_grace_period,Attribute two_factor_grace_period is responded to by parameter two_factor_grace_period with a description: Time before Two-factor authentication is enforced (in hours),1
post+groups,project_creation_level,Group,project_creation_level,"Attribute project_creation_level is responded to by parameter project_creation_level with a description: Determine if developers can create projects in the group. Can benoone(No one),maintainer(Maintainers), or developer(Developers + Maintainers)",1
post+groups,subgroup_creation_level,Group,subgroup_creation_level,"Attribute subgroup_creation_level is responded to by parameter subgroup_creation_level with a description: Allowed to create subgroups. Can be owner(Owners), or maintainer(Maintainers)",1
post+groups,lfs_enabled,Group,lfs_enabled,Attribute lfs_enabled is responded to by parameter lfs_enabled with a description: Enable/disable Large File Storage (LFS) for the projects in this group,1
post+groups,request_access_enabled,Group,request_access_enabled,Attribute request_access_enabled is responded to by parameter request_access_enabled with a description: Allow users to request member access,1
post+groups,default_branch_protection,Group,default_branch_protection,Attribute default_branch_protection is responded to by parameter default_branch_protection with a description: SeeOptions fordefault_branch_protection. Default to the global level default branch protection setting,1
post+groups,name,Group,name,Attribute name is responded to by parameter name with a description: The name of the group,1
post+groups,full_path,Group,full_path,Attribute full_path is responded to by parameter path with a description: The path of the group,1
post+groups,description,Group,description,Attribute description is responded to by parameter description with a description: The group's description,1
post+groups,avatar_url,Group,avatar_url,Attribute avatar_url is responded to by parameter avatar with a description: Image file for avatar of the group.Introduced in GitLab 12.9,0
post+groups_{id}_share,id,GroupDetails,id,Attribute id is responded to by parameter id with a description: The ID orURL-encoded path of the group,1
post+groups_{id}_share,id,GroupDetails,id,Attribute id is responded to by parameter group_id with a description: The ID of the group to share with,1
get+groups_{id},id,GroupDetails,id,Attribute id is responded to by parameter id with a description: The ID orURL-encoded path of the groupowned by the authenticated user,1
put+groups_{id},id,GroupDetails,id,Attribute id is responded to by parameter id with a description: The ID of the group,1
put+groups_{id},name,GroupDetails,name,Attribute name is responded to by parameter name with a description: The name of the group,1
put+groups_{id},full_path,GroupDetails,full_path,Attribute full_path is responded to by parameter path with a description: The path of the group,1
put+groups_{id},description,GroupDetails,description,Attribute description is responded to by parameter description with a description: The description of the group,1
put+groups_{id},visibility,GroupDetails,visibility,"Attribute visibility is responded to by parameter visibility with a description: The visibility level of the group. Can beprivate,internal, orpublic",1
put+groups_{id},request_access_enabled,GroupDetails,request_access_enabled,Attribute request_access_enabled is responded to by parameter request_access_enabled with a description: Allow users to request member access,1
put+groups_{id},avatar_url,GroupDetails,avatar_url,Attribute avatar_url is responded to by parameter avatar with a description: Image file for avatar of the group.Introduced in GitLab 12.9,0
post+groups_{id}_hooks,group_id,Hook,group_id,Attribute group_id is responded to by parameter id with a description: The ID orURL-encoded path of the group,1
get+groups_{id}_hooks_{hook_id},group_id,Hook,group_id,Attribute group_id is responded to by parameter id with a description: The ID orURL-encoded path of the group,1
