endpoint,group,description
get+projects,archived,Attribute archived is responded to by parameter archived with a description: Limit by archived status
get+projects,created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+projects,id,Attribute id is responded to by parameter id_after with a description: Limit results to projects with IDs greater than the specified ID
get+projects,issues_enabled,Attribute issues_enabled is responded to by parameter with_issues_enabled with a description: Limit by enabled issues feature
get+projects,last_activity_at,"Attribute last_activity_at is responded to by parameter last_activity_before with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_at is responded to by parameter last_activity_after with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_at is responded to by parameter last_activity_before with a description: Limit results to projects with last_activity before specified time. ISO 8601 YYYY-MM-DDTHH:MM:SSZ
Attribute last_activity_at is responded to by parameter last_activity_after with a description: Limit results to projects with last_activity after specified time.ISO 8601 YYYY-MM-DDTHH:MM:SSZ
{""type"": ""string"", ""format"": ""date-time""}"
get+projects,marked_for_deletion_on,"{""type"": ""string"", ""format"": ""date""}"
get+projects,merge_requests_enabled,Attribute merge_requests_enabled is responded to by parameter with_merge_requests_enabled with a description: Limit by enabled merge requests feature
get+projects,owner.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+projects,repository_storage,Attribute repository_storage is responded to by parameter repository_storage with a description: Limit results to projects stored on repository_storage. (admins only)
get+projects,ssh_url_to_repo,"{""type"": ""string""}"
get+projects,visibility,Attribute visibility is responded to by parameter visibility with a description: Limit by visibility
get+projects_{id},container_expiration_policy.next_run_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+projects_{id},created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+projects_{id},forked_from_project.created_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+projects_{id},forked_from_project.last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
get+projects_{id},last_activity_at,"{""type"": ""string"", ""format"": ""date-time""}"
