,endpoint,group,invariant,invariantType,variables,pptname,tp_x,description,tp_y
0,get+v1_apple_pay_domains,data.id,LENGTH(return.id)==29,daikon.inv.unary.string.FixedLengthString,(return.id),/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT,1.0,"Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
1,get+v1_radar_value_list_items,data.created_by,"return.created_by == ""API""
LENGTH(return.created_by)==3","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.created_by)
(return.created_by)","/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT",1.0,"The name or email address of the user who added this item to the value list, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
2,get+v1_radar_value_list_items,data.id,LENGTH(return.id)==29,daikon.inv.unary.string.FixedLengthString,(return.id),/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,1.0,"Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
3,get+v1_radar_value_list_items,data.object,"return.object == ""radar.value_list_item""
LENGTH(return.object)==21","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.object)
(return.object)","/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT",1.0,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""radar.value_list_item""]}",1.0
4,get+v1_radar_value_list_items,data.value_list,input.value_list == return.value_list,daikon.inv.binary.twoString.StringEqual,"(input.value_list, return.value_list)",/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,1.0,"Attribute value_list is responded to by parameter value_list with a description: Identifier for the parent value list this item belongs to
The identifier of the value list this item belongs to, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
5,get+v1_tax_rates,data.active,input.active == return.active,daikon.inv.binary.twoScalar.IntEqual,"(input.active, return.active)",/v1/tax_rates&GetTaxRates&200&data():::EXIT,1.0,"Attribute active is responded to by parameter active with a description: Optional flag to filter by tax rates that are either active or inactive (archived)
Defaults to `true`. When set to `false`, this tax rate cannot be used with new applications or Checkout Sessions, but will still work for subscriptions and invoices that already have it set",1.0
6,get+v1_tax_rates,data.country,LENGTH(return.country)==2,daikon.inv.unary.string.FixedLengthString,(return.country),/v1/tax_rates&GetTaxRates&200&data():::EXIT,1.0,"Two-letter country code ([ISO 3166-1 alpha-2](https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2)). schema: {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}_x000D_",1.0
7,get+v1_tax_rates,data.id,LENGTH(return.id)==28,daikon.inv.unary.string.FixedLengthString,(return.id),/v1/tax_rates&GetTaxRates&200&data():::EXIT,1.0,"Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
8,get+v1_tax_rates,data.inclusive,input.inclusive == return.inclusive,daikon.inv.binary.twoScalar.IntEqual,"(input.inclusive, return.inclusive)",/v1/tax_rates&GetTaxRates&200&data():::EXIT,1.0,"Attribute inclusive is responded to by parameter inclusive with a description: Optional flag to filter by tax rates that are inclusive (or those that are not inclusive)
This specifies if the tax rate is inclusive or exclusive",1.0
9,get+v1_tax_rates,data.object,"return.object == ""tax_rate""
LENGTH(return.object)==8","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.object)
(return.object)","/v1/tax_rates&GetTaxRates&200&data():::EXIT
/v1/tax_rates&GetTaxRates&200&data():::EXIT",1.0,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""tax_rate""]}",1.0
