endpoint,group,description_x,tp_x,description_y,tp_y,status,_check_verification_script,check_verify,_merge
get+v1_apple_pay_domains,data.created,"Time at which the object was created. Measured in seconds since the Unix epoch. schema: {""format"": ""unix-time"", ""type"": ""integer""}_x000D_",1.0,"Time at which the object was created. Measured in seconds since the Unix epoch. schema: {""format"": ""unix-time"", ""type"": ""integer""}_x000D_",0.0,satisfied,yes,yes,both
get+v1_apple_pay_domains,data.domain_name,"{""maxLength"": 5000, ""type"": ""string""}",1.0,"{""maxLength"": 5000, ""type"": ""string""}
{""maxLength"": 5000, ""type"": ""string""}",0.0,"satisfied
satisfied","yes,yes",yes,both
get+v1_apple_pay_domains,data.id,"Attribute ending_before is responded to by parameter apple_pay_domain with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Attribute starting_after is responded to by parameter apple_pay_domain with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",0.6666666666666666,"satisfied
satisfied
satisfied","yes,yes,yes",yes,both
get+v1_apple_pay_domains,data.livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,1.0,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0,mismatched,yes,yes,both
get+v1_radar_value_list_items,data.created_by,"The name or email address of the user who added this item to the value list, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"The name or email address of the user who added this item to the value list, schema: {""maxLength"": 5000, ""type"": ""string""}",0.0,satisfied,yes,yes,both
get+v1_radar_value_list_items,data.id,"Attribute starting_after is responded to by parameter radar.value_list_item with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Attribute ending_before is responded to by parameter radar.value_list_item with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",0.6666666666666666,"unknown
unknown
satisfied","yes,yes,yes",yes,both
get+v1_radar_value_list_items,data.livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0,satisfied,yes,yes,both
get+v1_radar_value_list_items,data.object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""radar.value_list_item""]}",1.0,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""radar.value_list_item""]}",0.0,unknown,yes,yes,both
get+v1_radar_value_list_items,data.value,"Attribute value is responded to by parameter radar.value_list_item with a description: Return items belonging to the parent list whose value matches the specified value (using an ""is like"" match)
The value of the item, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Attribute value is responded to by parameter value with a description: Return items belonging to the parent list whose value matches the specified value (using an ""is like"" match)
The value of the item, schema: {""maxLength"": 5000, ""type"": ""string""}",0.5,"unknown
satisfied","yes,yes",yes,both
get+v1_radar_value_list_items,data.value_list,"Attribute value_list is responded to by parameter radar.value_list_item with a description: Identifier for the parent value list this item belongs to
The identifier of the value list this item belongs to, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Attribute value_list is responded to by parameter value_list with a description: Identifier for the parent value list this item belongs to
The identifier of the value list this item belongs to, schema: {""maxLength"": 5000, ""type"": ""string""}",0.5,"unknown
satisfied","yes,yes",yes,both
