operation,response resource,attribute,description,TP
get-/v1/apple_pay/domains,apple_pay_domain,id,"Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1
get-/v1/apple_pay/domains,apple_pay_domain,domain_name,"{""maxLength"": 5000, ""type"": ""string""}",1
get-/v1/apple_pay/domains,apple_pay_domain,livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,1
get-/v1/apple_pay/domains,apple_pay_domain,created,"Time at which the object was created. Measured in seconds since the Unix epoch. schema: {""format"": ""unix-time"", ""type"": ""integer""}_x000D_",1
get-/v1/apple_pay/domains,apple_pay_domain,domain_name,"{""maxLength"": 5000, ""type"": ""string""}",1
get-/v1/radar/value_list_items,radar.value_list_item,id,"Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1
get-/v1/radar/value_list_items,radar.value_list_item,created_by,"The name or email address of the user who added this item to the value list, schema: {""maxLength"": 5000, ""type"": ""string""}",1
get-/v1/radar/value_list_items,radar.value_list_item,object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""radar.value_list_item""]}",1
get-/v1/radar/value_list_items,radar.value_list_item,value_list,"The identifier of the value list this item belongs to, schema: {""maxLength"": 5000, ""type"": ""string""}",1
get-/v1/radar/value_list_items,radar.value_list_item,value,"The value of the item, schema: {""maxLength"": 5000, ""type"": ""string""}",1
get-/v1/reporting/report_types,reporting.report_type,data_available_end,"Most recent time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1
get-/v1/reporting/report_types,reporting.report_type,updated,"When this Report Type was latest updated. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1
get-/v1/reporting/report_types,reporting.report_type,data_available_start,"Earliest time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1
get-/v1/reporting/report_types,reporting.report_type,object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""reporting.report_type""]}",1
get-/v1/reporting/report_types,reporting.report_type,name,"Human-readable name of the Report Type, schema: {""maxLength"": 5000, ""type"": ""string""}",1
