endpoint,group,response resource,attribute,description,tp
get+v1_apple_pay_domains,data.id,apple_pay_domain,id,"Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list",1.0
get+v1_apple_pay_domains,data.id,apple_pay_domain,id,"Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list",1.0
get+v1_radar_value_list_items,data.id,radar.value_list_item,id,"Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list",1.0
get+v1_radar_value_list_items,data.id,radar.value_list_item,id,"Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list",1.0
get+v1_radar_value_list_items,data.value,radar.value_list_item,value,"Attribute value is responded to by parameter value with a description: Return items belonging to the parent list whose value matches the specified value (using an ""is like"" match)",1.0
get+v1_radar_value_list_items,data.value_list,radar.value_list_item,value_list,Attribute value_list is responded to by parameter value_list with a description: Identifier for the parent value list this item belongs to,1.0
get+v1_tax_rates,data.active,tax_rate,active,Attribute active is responded to by parameter active with a description: Optional flag to filter by tax rates that are either active or inactive (archived),1.0
get+v1_tax_rates,data.inclusive,tax_rate,inclusive,Attribute inclusive is responded to by parameter inclusive with a description: Optional flag to filter by tax rates that are inclusive (or those that are not inclusive),1.0
get+v1_test_helpers_test_clocks,data.id,test_helpers.test_clock,id,"Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list",1.0
get+v1_webhook_endpoints,data.id,webhook_endpoint,id,"Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list",1.0
get+v1_webhook_endpoints,data.id,webhook_endpoint,id,"Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list",1.0
post+v1_account_links,url,account_link,url,Attribute url is responded to by parameter return_url with a description: The URL that the user will be redirected to upon leaving or completing the linked flow,0.0
get+v1_apple_pay_domains,data.id,apple_pay_domain,id,"Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get+v1_apple_pay_domains,data.domain_name,apple_pay_domain,domain_name,"{""maxLength"": 5000, ""type"": ""string""}",1.0
get+v1_apple_pay_domains,data.livemode,apple_pay_domain,livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,1.0
get+v1_apple_pay_domains,data.created,apple_pay_domain,created,"Time at which the object was created. Measured in seconds since the Unix epoch. schema: {""format"": ""unix-time"", ""type"": ""integer""}_x000D_",1.0
get+v1_radar_value_list_items,data.id,radar.value_list_item,id,"Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get+v1_radar_value_list_items,data.created_by,radar.value_list_item,created_by,"The name or email address of the user who added this item to the value list, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get+v1_radar_value_list_items,data.object,radar.value_list_item,object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""radar.value_list_item""]}",1.0
get+v1_radar_value_list_items,data.livemode,radar.value_list_item,livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0
get+v1_radar_value_list_items,data.value_list,radar.value_list_item,value_list,"The identifier of the value list this item belongs to, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get+v1_radar_value_list_items,data.value,radar.value_list_item,value,"The value of the item, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get+v1_reporting_report_types,data.data_available_end,reporting.report_type,data_available_end,"Most recent time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0
get+v1_reporting_report_types,data.updated,reporting.report_type,updated,"When this Report Type was latest updated. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0
get+v1_reporting_report_types,data.data_available_start,reporting.report_type,data_available_start,"Earliest time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0
get+v1_reporting_report_types,data.object,reporting.report_type,object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""reporting.report_type""]}",1.0
get+v1_reporting_report_types,data.livemode,reporting.report_type,livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0
get+v1_reporting_report_types,data.name,reporting.report_type,name,"Human-readable name of the Report Type, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get+v1_tax_rates,data.object,tax_rate,object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""tax_rate""]}",1.0
get+v1_tax_rates,data.jurisdiction,tax_rate,jurisdiction,"The jurisdiction for the tax rate. You can use this label field for tax reporting purposes. It also appears on your customer’s invoice, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get+v1_tax_rates,data.jurisdiction,tax_rate,jurisdiction,"The jurisdiction for the tax rate. You can use this label field for tax reporting purposes. It also appears on your customer’s invoice. schema: {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}_x000D_",1.0
get+v1_tax_rates,data.livemode,tax_rate,livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,1.0
get+v1_tax_rates,data.percentage,tax_rate,percentage,"Tax rate percentage out of 100. For tax calculations with automatic_tax[enabled]=true, this percentage includes the statutory tax rate of non-taxable jurisdictions, schema: {""type"": ""number"", ""format"": ""uri""}",1.0
get+v1_tax_rates,data.state,tax_rate,state,[ISO 3166-2 subdivision code](https://en.wikipedia.org/wiki/ISO_3166-2:US,1.0
get+v1_tax_rates,data.display_name,tax_rate,display_name,"The display name of the tax rates as it will appear to your customer on their receipt email, PDF, and the hosted invoice page, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get+v1_tax_rates,data.description,tax_rate,description,"An arbitrary string attached to the tax rate for your internal use only. It will not be visible to your customers, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0
get+v1_tax_rates,data.active,tax_rate,active,"Defaults to `true`. When set to `false`, this tax rate cannot be used with new applications or Checkout Sessions, but will still work for subscriptions and invoices that already have it set",1.0
get+v1_tax_rates,data.tax_type,tax_rate,tax_type,"The high-level tax type, such as `vat` or `sales_tax`, schema: {""type"": ""string"", ""enum"": [""amusement_tax"", ""communications_tax"", ""gst"", ""hst"", ""igst"", ""jct"", ""lease_tax"", ""pst"", ""qst"", ""rst"", ""sales_tax"", ""vat""]}",1.0
get+v1_tax_rates,data.inclusive,tax_rate,inclusive,This specifies if the tax rate is inclusive or exclusive,1.0
