endpoint,group,description,tp
get+api_v1_holidays,holidays.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_holidays,holidays.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1.0
get+api_v1_holidays,holidays.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1.0
get+api_v1_holidays,holidays.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0.0
get+api_v1_holidays,holidays.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0.0
get+api_v1_holidays,holidays.observedDate,"ISO date: when this holiday is observed, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_holidays,holidays.optional,"Whether this is a province-wide statutory holiday, or one that is optional for employers, schema: {""type"": ""integer"", ""enum"": [1]}",1.0
get+api_v1_holidays,holidays.provinces.id,"Canadian province abbreviations, schema: {""type"": ""string"", ""enum"": [""AB"", ""BC"", ""MB"", ""NB"", ""NL"", ""NS"", ""NT"", ""NU"", ""ON"", ""PE"", ""QC"", ""SK"", ""YT""]}",1.0
get+api_v1_holidays,holidays.provinces.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Manitoba""}",0.0
get+api_v1_holidays,holidays.provinces.optional,"Whether this province optionally observes a given holiday, schema: {""type"": ""integer"", ""enum"": [1]}",1.0
get+api_v1_holidays,holidays.provinces.sourceLink,"URL to public holidays reference for this region, schema: {""type"": ""string"", ""format"": ""uri""}",1.0
get+api_v1_holidays_{holidayid},holiday.date,"ISO date: the literal date of the holiday, schema: {""type"": ""string"", ""format"": ""date""}",1.0
get+api_v1_holidays_{holidayid},holiday.federal,"Whether this holiday is observed by federally-regulated industries, schema: {""type"": ""integer"", ""enum"": [1, 0]}",1.0
get+api_v1_holidays_{holidayid},holiday.id,"Primary key for a holiday, schema: {""maximum"": 32, ""minimum"": 1, ""type"": ""integer""}",1.0
get+api_v1_holidays_{holidayid},holiday.nameEn,"English name, schema: {""type"": ""string"", ""example"": ""Louis Riel Day""}",0.0
get+api_v1_holidays_{holidayid},holiday.nameFr,"French name, schema: {""type"": ""string"", ""example"": ""Journ\u00e9e Louis Riel""}",0.0
